id,moniker,first_name,second_name,position,club_1,club_2,date_transfer,gw1_pts,gw2_pts,gw3_pts,gw4_pts,gw5_pts,gw6_pts,gw7_pts,gw8_pts,gw9_pts,gw10_pts,gw11_pts,gw12_pts,gw13_pts,gw14_pts,gw15_pts,gw16_pts,gw17_pts,gw18_pts,gw19_pts,gw20_pts,gw21_pts,gw22_pts,gw23_pts,gw24_pts,gw25_pts,gw26_pts,gw27_pts,gw28_pts,gw29_pts,gw30_pts,gw31_pts,gw32_pts,gw33_pts,gw34_pts,gw35_pts,gw36_pts,gw37_pts,gw38_pts,12/09-00,12/09-12,13/09-00,14/09-00,15/09-00,16/09-00,17/09-00,18/09-00,19/09-00,19/09-12,20/09-00,21/09-00,22/09-00,23/09-00,24/09-00,25/09-00,26/09-00,26/09-12,27/09-00,28/09-00,29/09-00,30/09-00,01/10-00,02/10-00,03/10-00,03/10-12,04/10-00,05/10-00,06/10-00,07/10-00,08/10-00,09/10-00,10/10-00,11/10-00,12/10-00,13/10-00,14/10-00,15/10-00,16/10-00,17/10-00,17/10-12,18/10-00,19/10-00,20/10-00,21/10-00,22/10-00,23/10-00,23/10-12,24/10-00,25/10-00,26/10-00,27/10-00,28/10-00,29/10-00,30/10-00,30/10-12,31/10-00,01/11-00,02/11-00,03/11-00,04/11-00,05/11-00,06/11-00,06/11-12,07/11-00,08/11-00,09/11-00,10/11-00,11/11-00,12/11-00,13/11-00,14/11-00,15/11-00,16/11-00,17/11-00,18/11-00,19/11-00,20/11-00,21/11-00,21/11-12,22/11-00,23/11-00,24/11-00,25/11-00,26/11-00,27/11-00,27/11-12,28/11-00,29/11-00,30/11-00,01/12-00,02/12-00,03/12-00,04/12-00,05/12-00,05/12-12,06/12-00,07/12-00,08/12-00,09/12-00,10/12-00,11/12-00,11/12-12,12/12-00,13/12-00,14/12-00,15/12-00,15/12-12,16/12-00,17/12-00,18/12-00,19/12-00,19/12-12,20/12-00,21/12-00,22/12-00,23/12-00,24/12-00,25/12-00,26/12-00,26/12-12,27/12-00,28/12-00,28/12-12,29/12-00,30/12-00,31/12-00,01/01-00,01/01-12,02/01-00,03/01-00,04/01-00,05/01-00,06/01-00,07/01-00,08/01-00,09/01-00,10/01-00,11/01-00,12/01-00,12/01-12,13/01-00,14/01-00,15/01-00,16/01-00,16/01-12,17/01-00,18/01-00,19/01-00,20/01-00,21/01-00,22/01-00,23/01-00,24/01-00,25/01-00,26/01-00,26/01-12,27/01-00,28/01-00,29/01-00,30/01-00,30/01-12,31/01-00,01/02-00,02/02-00,02/02-12,03/02-00,04/02-00,05/02-00,06/02-00,06/02-12,07/02-00,08/02-00,09/02-00,10/02-00,11/02-00,12/02-00,13/02-00,13/02-12,14/02-00,15/02-00,16/02-00,17/02-00,18/02-00,19/02-00,19/02-12,20/02-00,21/02-00,22/02-00,23/02-00,24/02-00,25/02-00,26/02-00,27/02-00,27/02-12,28/02-00,01/03-00,02/03-00,03/03-00,04/03-00,05/03-00,06/03-00,06/03-12,07/03-00,08/03-00,09/03-00,10/03-00,11/03-00,12/03-00,12/03-12,13/03-00,14/03-00,15/03-00,16/03-00,17/03-00,18/03-00,19/03-00,19/03-12,20/03-00,21/03-00,22/03-00,23/03-00,24/03-00,25/03-00,26/03-00,27/03-00,28/03-00,29/03-00,30/03-00,31/03-00,01/04-00,02/04-00,03/04-00,03/04-12,04/04-00,05/04-00,06/04-00,07/04-00,08/04-00,09/04-00,09/04-12,10/04-00,11/04-00,12/04-00,13/04-00,14/04-00,15/04-00,16/04-00,16/04-12,17/04-00,18/04-00,19/04-00,20/04-00,21/04-00,22/04-00,23/04-00,23/04-12,24/04-00,25/04-00,26/04-00,27/04-00,28/04-00,29/04-00,30/04-00,30/04-12,01/05-00,02/05-00,03/05-00,04/05-00,05/05-00,06/05-00,07/05-00,07/05-12,08/05-00,09/05-00,10/05-00,11/05-00,12/05-00,13/05-00,14/05-00,14/05-12,15/05-00,16/05-00,17/05-00,18/05-00,18/05-12,19/05-00,20/05-00,21/05-00,22/05-00,23/05-00,23/05-12,,
1,Ozil,Mesut,Özil,MID,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£7.0,£7.0,£7.0,£7.0,£7.0,£7.0,£7.0,£7.0,£6.9,£6.9,£6.9,£6.9,£6.9,£6.9,£6.9,£6.9,£6.9,£6.9,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.8,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,£6.7,,
2,Sokratis,Sokratis,Papastathopoulos,DEF,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,,
3,Luiz,David,Luiz Moreira Marinho,DEF,Arsenal,,,,1,1,2,2,1,,,,0,,,1,1,,,,5,6,2,6,-3,,1,1,8,2,2,1,,,,,1,,,,,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.5,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,£5.4,,
4,Aubameyang,Pierre-Emerick,Aubameyang,MID,Arsenal,,,7,5,2,2,2,2,8,2,3,2,2,0,10,,,3,3,3,15,,,1,1,20,2,1,8,,2,2,,,,12,6,,2,3,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£12.0,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.9,£11.8,£11.8,£11.8,£11.8,£11.8,£11.8,£11.8,£11.8,£11.8,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.7,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.6,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.5,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.4,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,£11.3,,
5,Cedric,Cédric,Soares,DEF,Arsenal,,,,,,,,,,,,,,,1,,,,,,12,2,5,1,2,1,,2,,2,,0,,,,,,,,,£5.0,£5.0,£5.0,£5.0,£5.0,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.9,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.8,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.7,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,£4.6,,
6,Lacazette,Alexandre,Lacazette,FWD,Arsenal,,,7,7,7,,1,1,2,2,,1,1,1,,1,8,7,12,2,2,11,2,4,1,,1,8,1,8,11,2,13,2,,,2,,,1,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.5,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.1,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.2,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.3,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,£8.4,,
7,Mustafi,Shkodran,Mustafi,DEF,Arsenal,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,£5.0,,
