ID,Name,Pos,Price,Team,Pts,32,33,34,35,36,37,38
24083,Chilwell,DEF,6.4,CHE,,3.941874463,4.178398114,4.508540924,4.31078799,7.54724617,6.669042841,5.088443717
24087,Pope,GK,5.5,BUR,,4.147224206,7.105238796,4.163412656,3.930326137,3.968493203,6.738738043,4.109281525
131312,Gayle,FWD,6,NEW,,4.369813528,8.245906931,4.704018934,4.087498005,3.400173888,3.945043214,3.805594002
291491,Kulusevski,MID,6.8,TOT,,4.261024302,4.797630437,4.499626854,4.887585992,6.563459825,5.033308069,4.96005992
23360,Wilson,FWD,7.6,NEW,,4.369813528,8.245906931,4.681529476,4.002581853,3.29987126,3.94182145,4.028134765
139204,Saint-Maximin,MID,6.8,NEW,,4.453468644,7.908012826,4.627146322,3.913964592,3.351913154,4.098494844,4.050662358
45079,Lacazette,FWD,7.7,ARS,,4.219957586,6.10056121,4.221884653,3.901822556,6.930827937,4.012988442,4.4794514
23404,Ward-Prowse,MID,6.8,SOU,,4.099839696,7.760714048,4.089375367,4.498210338,4.225487776,4.048461479,4.129552523
283052,Weghorst,FWD,5.6,BUR,,4.26132283,6.649466765,4.123138622,4.067385197,4.084707116,5.989526845,4.165963723
23097,Vardy,FWD,9.5,LEI,,4.258454608,5.502536395,3.766951723,3.232533285,6.677706276,6.040104205,4.447030878
45120,Robertson,DEF,7.9,LIV,,2.829592638,4.324039812,5.241017088,4.612670641,7.439384068,4.23581012,5.16374131
192988,R Sanchez,GK,4.7,BHA,,3.89245165,7.018307051,4.225310347,4.132868553,3.969388718,4.084050256,4.159228716
132424,Trossard,MID,6.4,BHA,,3.910625326,6.164168207,4.527976605,4.115855733,4.324128152,4.341601418,4.466063809
96761,McNeil,MID,5.8,BUR,,4.063400032,6.237945541,3.991386526,3.85919283,3.916087595,5.654942542,4.064000547
45074,Rudiger,DEF,5.5,CHE,,3.568656405,3.807623201,4.100088439,3.941782697,7.288365218,6.353198832,4.612182268
187806,Partey,MID,5.5,ARS,,3.47392756,6.337110458,3.824983673,3.587415907,6.868904488,3.720962369,4.102889457
77347,Laporte,DEF,6.2,MCI,,3.501260572,4.653057887,4.828590238,4.04460751,7.111059258,3.795097923,4.402010765
35693,Westwood,MID,5.5,BUR,,3.812945666,6.487482383,3.825252319,3.653261459,3.757024833,6.011092456,3.906269641
186737,Dias,DEF,6.3,MCI,,3.26362958,4.488838457,4.805480616,4.00233987,7.454011239,3.775408344,4.403608294
192214,Mbeumo,MID,5.8,BRE,,4.604592193,4.507287539,4.328356461,3.990517659,4.680600291,4.320518493,5.019045901
189709,Benrahma,MID,6.1,WHU,,4.574027372,4.97765158,3.857571762,4.493186979,4.902217849,3.922379331,4.280047647
184630,Gallagher,MID,6.2,CRY,,3.900676363,3.920842431,4.6562571,3.891967905,4.709528363,7.067850618,4.149647578
23433,Pickford,GK,4.9,EVE,,3.656253867,3.81214724,3.603821432,3.778740437,6.926229011,7.464460668,3.598741942
23259,Lloris,GK,5.6,TOT,,3.84571703,4.355385513,4.030400976,4.01329819,7.020405648,4.38409812,4.270741309
88507,S Armstrong,MID,5.7,SOU,,3.842697259,6.574552114,3.870380625,4.234604877,4.025873701,3.789216622,3.936509943
242910,Elyounoussi,MID,5.3,SOU,,3.897471001,6.438650108,3.866783252,4.270605066,4.044905391,3.797016046,3.953360239
23324,Walcott,MID,5.9,SOU,,3.839613923,6.5120437,3.867403874,4.228570002,4.021634961,3.78674816,3.932982389
132429,Djenepo,MID,5.9,SOU,,3.83778116,6.510988461,3.865056732,4.226976371,4.0194176,3.784954125,3.930741087
283021,Diaz,MID,5.6,LIV,,3.556989434,4.295931926,4.584745244,4.229481391,6.021883349,4.138684394,4.439680184
160700,Soucek,MID,6,WHU,,4.380822634,4.888467824,3.800282583,4.4180331,4.790023495,3.876124257,4.211063866
23238,van Dijk,DEF,6.8,LIV,,2.693994392,4.042396385,4.913289111,4.358965772,7.120297174,3.98608888,4.87977619
24380,Pogba,MID,6.7,MUN,,3.966070484,6.369586799,3.628362239,4.314484136,3.783241692,3.757821226,3.775174725
115171,M Greenwood,MID,7.2,MUN,,3.966070484,6.369586799,3.628362239,4.314484136,3.783241692,3.757821226,3.775174725
77662,Dubravka,GK,4.7,NEW,,4.027798702,7.045003935,3.972989105,3.371957065,3.296929095,3.649593753,3.799613911
23492,Doucoure,MID,5.9,EVE,,3.823009463,3.958432402,3.241990286,3.572250805,6.596379076,7.074183397,3.431925779
132425,Fornals,MID,6.1,WHU,,4.396617958,4.829057473,3.735948126,4.358959453,4.741163365,3.809317311,4.146082304
23482,Alli,MID,6.1,EVE,,3.926322892,4.055052795,3.356945875,3.667248719,6.151373937,6.569035202,3.540551088
23226,Redmond,MID,6,SOU,,3.812081203,5.966193491,3.843067484,4.174788059,3.986879216,3.766275875,3.905243065
45474,Richarlison,FWD,6.8,EVE,,3.830643836,4.028658637,3.181869094,3.446960935,6.410035097,6.818779187,3.35443763
192758,Pukki,FWD,6.1,NOR,,4.157104687,3.654254332,4.165251209,3.684776199,7.04967155,3.671848065,3.895568848
23364,King,FWD,5.4,WAT,,4.408161996,4.221811453,3.195060482,4.212140764,6.30031272,4.176793575,3.340820884
187805,Raphinha,MID,7.4,LEE,,5.082166626,0,4.55262612,4.140491055,7.690809863,5.156555415,4.841149938
23337,Xhaka,MID,4.9,ARS,,3.58073792,5.828657399,3.422218832,3.233700315,6.216867996,3.345288025,3.650504836
161009,Brownhill,MID,5.1,BUR,,3.531396309,6.056274226,3.574660714,3.376240778,3.483150243,5.62964124,3.601810138
176631,Ziyech,MID,7.1,CHE,,3.796162259,3.789095955,3.923722665,3.738750579,5.47087181,5.308027394,4.164700611
283053,Eriksen,MID,5.6,BRE,,4.292650934,4.216828712,4.062775531,3.78839963,4.355370455,4.06434735,4.632491979
183010,Fraser,MID,5.8,NEW,,3.836094841,6.140694043,4.211154432,3.581232114,3.141975565,3.70157032,3.652770605
131313,Martinez,GK,5.4,AVL,,3.951937169,0,3.954200728,4.670451932,7.613671292,8.149940212,3.951760255
181081,Gabriel,DEF,5.5,ARS,,4.039696851,5.27355905,3.201398636,3.01563753,5.879824033,3.51674136,4.161343598
139989,Tierney,DEF,5.7,ARS,,4.039696851,5.27355905,3.201398636,3.01563753,5.879824033,3.51674136,4.161343598
24079,Gudmundsson,MID,5.4,BUR,,3.531396309,6.034138721,3.580958133,3.402668661,3.522725807,5.174892505,3.694851202
88464,Doherty,DEF,5.2,TOT,,3.60096484,4.407359897,3.777265461,4.07028114,4.823369439,4.629625882,4.42410476
192217,Toney,FWD,6.5,BRE,,4.28229744,4.139871944,4.082028773,3.728843417,4.34905321,3.939243739,4.69492309
23550,Antonio,FWD,7.4,WHU,,4.290041364,4.649140782,3.478742913,4.185358666,4.615065205,3.569935828,3.880610442
88639,Jorginho,MID,5.5,CHE,,3.503976548,3.664944473,3.756050388,3.581140509,5.975266437,5.802520424,3.919360152
233400,Lokonga,MID,5,ARS,,3.400811792,5.681433586,3.406383266,3.22254882,6.054334217,3.331419225,3.629059385
77665,Lucas Moura,MID,6.3,TOT,,3.722838697,4.134084439,3.882835785,4.07175069,5.176814592,4.18446683,4.098055774
45042,Shelvey,MID,6,NEW,,3.71924087,6.493718799,3.803408906,3.372244645,3.025543921,3.563565441,3.535465809
163914,Mac Allister,MID,5.6,BHA,,3.541276412,5.374254523,3.982883008,3.66568487,3.822049905,3.802996377,3.937284967
176641,B White,DEF,5.1,ARS,,3.929299717,5.159282248,3.080756139,2.930318065,5.635380675,3.42309848,4.008252515
234800,D Gray,MID,5.8,EVE,,3.754592995,3.894051735,3.135042553,3.424859414,5.595165626,5.96324535,3.331152578
23192,Lingard,MID,6.4,MUN,,3.625378992,5.991120741,3.361785131,3.911245206,3.499240853,3.506685998,3.488535558
183114,Watkins,FWD,7.1,AVL,,4.06983263,0,3.957824608,4.997279385,6.752225847,7.466645563,3.192821496
40951,McTominay,MID,5.5,MUN,,3.55219702,6.194770593,3.288858673,3.84556868,3.429622153,3.441324203,3.418271185
184661,Reguilon,DEF,5.3,TOT,,3.467838399,4.228213442,3.672326953,3.966393322,4.454841783,4.487043082,4.290077384
184638,Thiago,MID,5.5,LIV,,3.305042797,3.825327028,4.049523683,3.785453629,5.931560503,3.706200564,3.973370013
23325,Chamberlain,MID,5.6,LIV,,3.317674245,3.83448578,4.056937837,3.795076436,5.843372769,3.716627898,3.980672762
23134,Ings,FWD,7.6,AVL,,4.208193439,0,4.078258583,4.993531848,6.409750412,6.994318984,3.415398678
225295,Rashica,MID,5.4,NOR,,3.960624295,3.401773448,3.918729503,3.478906596,6.331588509,3.531978928,3.588824131
23331,Welbeck,FWD,5.9,BHA,,3.527830025,5.175781294,3.91366305,3.528342507,3.800923441,3.795459139,3.868160354
45084,Gross,MID,5.8,BHA,,3.534335056,5.011588795,3.930167007,3.632772271,3.780853422,3.760879076,3.887784946
257277,Saul,MID,6,CHE,,3.417977921,3.563957373,3.652247653,3.491208351,5.477629377,5.324181835,3.810489623
88550,Fabinho,MID,5.4,LIV,,3.233107344,3.741234444,3.956778064,3.691816103,6.200210104,3.611710292,3.892527171
225321,Dennis,FWD,5.2,WAT,,4.034830266,3.850752268,2.821621653,3.841226307,6.233310967,3.806252099,2.965729165
160697,Bergwijn,MID,5.9,TOT,,3.478507648,3.934428781,3.644305174,3.80361831,5.255813309,3.921623722,3.821330631
242911,Wissa,MID,5.4,BRE,,4.00777134,3.929660058,3.81475167,3.573594696,4.059228246,3.808312193,4.281636736
192202,Dasilva,MID,5.5,BRE,,4.00777134,3.929660058,3.81475167,3.573594696,4.059228246,3.808312193,4.281636736
192199,Fosu,MID,5.5,BRE,,4.004841683,3.926787499,3.811963109,3.570982419,4.056260974,3.80552834,4.278506885
241953,Elliott,MID,5.5,LIV,,3.227406637,3.727672437,3.939404938,3.684179492,5.663816114,3.607932062,3.868701606
88473,Guaita,GK,4.7,CRY,,3.167768608,3.630757919,3.837421866,3.507101517,3.959648482,6.561213773,3.48834468
69539,Hudson-Odoi,MID,5.5,CHE,,3.377526239,3.482728165,3.605131009,3.457140282,5.19538432,5.036909399,3.824245514
28849,Alonso,DEF,5.5,CHE,,3.200365221,3.391735943,3.624085499,3.498840975,5.525521706,4.87652298,4.030768658
23448,Fabianski,GK,5.1,WHU,,3.84072729,4.18640066,3.567351289,3.778754613,4.076654044,3.553682715,3.911486665
92389,Kovacic,MID,5.1,CHE,,3.301128079,3.410307316,3.526776621,3.380427909,5.421434214,5.251678403,3.735312729
257177,Vlasic,MID,5.9,WHU,,3.741483143,4.218880706,3.514942473,3.923225937,4.112059115,3.595115823,3.773674033
23058,Barkley,MID,5.5,CHE,,3.298232353,3.407315819,3.523682958,3.377462622,5.41667857,5.247071667,3.732036139
23394,Loftus-Cheek,MID,5.5,CHE,,3.340872312,3.446283142,3.561109666,3.41844551,5.234454001,5.075091054,3.766696209
23287,Tarkowski,DEF,4.8,BUR,,3.466443181,5.305462456,3.627954778,2.991344836,3.192720674,4.179791501,3.610434032
131333,McGinn,MID,5.6,AVL,,3.821655374,0,3.666051838,4.469623707,6.670086414,7.340345484,3.181793967
23170,Iheanacho,FWD,7.2,LEI,,4.263361758,5.79725761,3.610096738,2.757562896,3.501315817,2.522828078,2.365823
164449,Joao Pedro,FWD,5.4,WAT,,3.908806336,3.756529532,2.903903477,3.748706586,5.560643924,3.719650423,3.023381181
257280,C Roberts,DEF,4.5,BUR,,3.444002027,5.227295634,3.598161185,2.993515216,3.172609339,4.193625379,3.569920672
240547,Bailey,MID,6.4,AVL,,4.012796338,0,3.869543282,4.669094916,6.060462039,6.633955455,3.36750308
23379,Mee,DEF,5.1,BUR,,3.281915601,5.04469364,3.696016321,3.072302191,3.260571929,4.320359952,3.680344319
192735,Buendia,MID,6.4,AVL,,4.01346294,0,3.889073667,4.710762947,5.992118994,6.561852488,3.358629973
257276,Tomiyasu,DEF,4.8,ARS,,3.984008184,4.667339431,2.969411997,2.701010779,4.681378022,3.27670055,3.831516086
23521,Evans,DEF,4.9,LEI,,3.253244081,4.927107725,3.046312225,1.789948916,6.260723355,4.205520243,3.047449793
184648,B Traore,MID,5.9,AVL,,3.846639821,0,3.7012139,4.496101971,6.361202284,6.987395454,3.214383523
192208,Raya,GK,4.6,BRE,,3.802139293,3.831986129,3.551247289,3.508387514,3.872189953,3.765167768,3.96590838
134588,Pieters,DEF,4.6,BUR,,3.444002027,5.154064047,3.557819289,2.954953554,3.127393143,4.034802493,3.508536739
180322,T Silva,DEF,5.4,CHE,,2.983609541,3.178278339,3.389135647,3.293676937,5.76138307,5.018509188,3.756785946
139797,Maupay,FWD,5.7,BHA,,3.169765615,5.153017883,3.628630565,3.217213572,3.515063008,3.486329066,3.582790028
180321,Eze,MID,6,CRY,,3.298978732,3.370158929,3.885585669,3.415594975,3.927735714,5.227326975,3.563415241
88575,Yarmolenko,MID,5.6,WHU,,3.523685251,4.102259742,3.399643863,3.810106236,3.97825531,3.491614679,3.655564306
23103,Schlupp,MID,5.6,CRY,,3.258263547,3.342406438,3.869465709,3.39235731,3.912337844,5.317580799,3.542591197
23376,Lowton,DEF,4.6,BUR,,3.376412782,4.99689152,3.543697886,2.958802587,3.132289225,4.053650087,3.516333765
23539,Lanzini,MID,5.5,WHU,,3.462782265,4.094692651,3.383296546,3.798420748,3.967740376,3.476605264,3.64287573
24092,Hojbjerg,MID,5.1,TOT,,3.210719923,3.643018229,3.374506203,3.510007205,5.342952596,3.631125381,3.520603774
