ID,Name,Pos,Price,Team,Pts,34,35,36,37,38
186737,Dias,DEF,6.3,MCI,,5.05837334,4.070531315,4.721070453,6.629071592,4.417652535
181873,Cash,DEF,5.1,AVL,,2.85294357,4.525147662,5.272767473,7.16722791,1.617589317
134708,Konsa,DEF,4.6,AVL,,2.559361007,4.223035944,4.792979875,6.003107472,1.54573719
23135,Matip,DEF,5.8,LIV,,3.716619608,3.30818278,4.813742797,3.108994226,3.722509435
181081,Gabriel,DEF,5.5,ARS,,3.349912392,3.142872751,6.088226882,3.598881632,4.278279336
131314,Mings,DEF,4.8,AVL,,2.674284318,4.119360388,4.820813362,6.918103163,1.50847231
176641,B White,DEF,5.1,ARS,,3.168780297,3.003072492,5.749947474,3.464140347,4.068510127
45074,Rudiger,DEF,5.6,CHE,,6.461225593,3.924268875,7.059679318,4.207244032,4.798436232
23346,Ake,DEF,5,MCI,,1.152685377,2.486577635,3.215784289,4.169728488,2.861606475
23479,Dier,DEF,4.8,TOT,,3.011620693,3.312866623,4.327048063,3.835481941,3.596518181
257275,Emerson R,DEF,5,TOT,,3.143144692,3.536080981,4.413691975,4.057717403,3.807425126
187804,Andersen,DEF,4.7,CRY,,3.301333976,2.642453135,3.677151592,5.246412316,2.692749778
231961,Guehi,DEF,4.8,CRY,,3.342280091,2.671683985,3.723731301,5.327397824,2.723256161
45111,Christensen,DEF,5,CHE,,3.061363593,1.398380564,3.437432935,1.987820904,2.227669891
23490,Ben T Davies,DEF,4.8,TOT,,3.043552353,3.367986059,4.293620832,3.878963315,3.641594983
23287,Tarkowski,DEF,4.8,BUR,,3.632371214,3.010286643,3.130049617,4.114107833,3.546346428
225290,Young,DEF,5,AVL,,2.660814951,4.063268614,4.692762221,6.322200579,1.666861441
45008,Dunk,DEF,5,BHA,,3.770823308,3.536513152,3.182380359,3.172929787,3.629887389
174861,Mitchell,DEF,4.8,CRY,,3.268468001,2.67321879,3.642646656,5.005756422,2.694162886
241033,Varane,DEF,5.4,MUN,,4.816684008,3.660267807,3.200999922,0,3.150369733
139208,Webster,DEF,4.5,BHA,,3.682174219,3.442076248,3.102833847,3.082788714,3.543688049
