ID,Name,Pos,Price,Team,Pts,30,31,32,33,34,35,36,37,38
45079,Lacazette,FWD,7.8,ARS,,3.908999892,3.9214057,4.227216679,6.293656934,4.355411688,3.975565587,4.84730219,6.616577769,4.58131319
184648,B Traore,MID,5.9,AVL,,3.947711875,3.773661181,3.896188671,0,3.749256954,4.479076499,6.593853016,7.258572797,3.258666751
23550,Antonio,FWD,7.5,WHU,,3.676611331,4.978318626,4.418708463,5.053480105,3.681164097,4.550019083,4.874655965,3.888403233,4.109377534
131333,McGinn,MID,5.6,AVL,,3.932859538,3.755609426,3.878087141,0,3.72745646,4.463270174,6.769829328,7.460196047,3.236559905
176642,Meslier,GK,4.9,LEE,,3.867312271,3.936518007,3.823320067,0,3.797789419,3.832365663,7.029526983,4.059809142,3.866801416
160975,Podence,MID,5.3,WOL,,4.021592247,3.09091732,2.826856541,0,2.825726506,2.892004638,3.685291215,3.251728656,2.463313898
88466,Neves,MID,6.1,WOL,,3.880101345,3.672824678,3.505807111,0,3.598392122,3.739515328,5.567493526,4.137731122,3.135334495
23397,Schmeichel,GK,5,LEI,,3.905240056,3.210946407,3.841274591,6.604268811,3.645728524,3.124681531,7.374645797,6.406353761,3.706413294
192217,Toney,FWD,6.4,BRE,,3.889533525,3.286026908,4.241477499,4.114773189,4.093015101,3.725701337,4.32048147,3.898644304,4.647529965
283053,Eriksen,MID,5.5,BRE,,3.831477964,3.345223383,4.054722745,3.978551482,3.896184093,3.627774509,4.123279366,3.845392557,4.334421814
186002,J Ramsey,MID,4.7,AVL,,3.828578344,3.483562742,3.60921477,0,3.472058248,4.211600108,6.14832342,6.818149969,2.95490916
202398,Sanson,MID,5,AVL,,3.825103878,3.485035111,3.60945751,0,3.473529926,4.206366596,6.091059024,6.751022407,2.961164819
186746,Lookman,MID,6,LEI,,3.887449086,2.996217024,3.475742851,4.888914417,3.404274985,3.084065288,5.373768125,4.742473379,3.462057047
160697,Bergwijn,MID,5.9,TOT,,3.708366553,3.690791332,3.147816785,3.412404274,3.259312191,3.460814758,2.904367963,5.572482248,3.429242182
257177,Vlasic,MID,5.9,WHU,,3.607653739,4.052110467,3.671008053,4.035558033,3.327844628,3.748847047,3.863887714,3.445861486,3.560003887
137792,Douglas Luiz,MID,5,AVL,,3.688905513,3.547454568,3.630313933,0,3.481559279,4.119507087,6.327377628,6.93363684,3.082031047
