ID,Name,Pos,Price,Team,Pts,33,34,35,36,37,38
45120,Robertson,DEF,7.9,LIV,,4.331813158,5.248820625,4.585028387,7.435512081,4.225531137,5.201573685
23238,van Dijk,DEF,6.8,LIV,,4.022636147,4.894924279,4.308895414,7.040332498,3.943177369,4.886838969
148332,R James,DEF,5.8,CHE,,4.142318008,6.652720206,4.328409363,7.459303838,4.495537745,5.080498791
77347,Laporte,DEF,6.2,MCI,,4.642978349,4.819952512,4.033767186,7.137579927,3.857719768,4.375351605
180322,T Silva,DEF,5.4,CHE,,3.284927904,5.47318422,3.459209781,6.198458567,3.482259795,3.944129041
186737,Dias,DEF,6.3,MCI,,4.547939782,4.848733006,4.011604624,7.522381777,3.855058444,4.397067202
181081,Gabriel,DEF,5.5,ARS,,5.302962416,3.314087294,3.147511604,6.017933345,3.588882472,4.274345894
176641,B White,DEF,5.1,ARS,,5.078211309,3.128455574,3.004999306,5.661307601,3.44539182,4.057546553
23135,Matip,DEF,5.8,LIV,,3.210920927,3.872470215,3.428560056,5.092565246,3.147941259,3.871477811
187802,Telles,DEF,5.1,MUN,,5.401752638,4.973930205,3.690254245,3.139261453,0,3.103143186
23393,Azpilicueta,DEF,5.4,CHE,,2.932841521,4.282463422,3.076156364,4.779006731,3.128783094,3.509792146
23287,Tarkowski,DEF,4.8,BUR,,5.254209126,3.644246577,3.000593709,3.114912658,4.094828692,3.566657349
23076,Maguire,DEF,5.1,MUN,,5.249632892,4.673277398,3.391076843,2.879300532,0,2.845083044
23521,Evans,DEF,4.9,LEI,,5.011874218,3.044055333,1.845698637,6.314049293,4.228806121,3.078554633
28849,Alonso,DEF,5.5,CHE,,3.765996391,5.507871839,3.81292126,6.172178553,3.926735714,4.425672967
138601,Cedric,DEF,4.5,ARS,,4.613058886,2.897439499,2.678983968,3.310222232,2.439122774,2.859650477
23379,Mee,DEF,5.1,BUR,,4.801198751,3.744136567,3.108260014,3.209264801,4.286528082,3.668089434
45068,Taylor,DEF,4.4,BUR,,4.620086325,3.229563125,2.651535727,2.743420398,3.66104871,3.128522831
257275,Emerson R,DEF,5,TOT,,3.877302991,3.185028446,3.547481386,4.511018331,4.135399606,3.867095826
