ID,Name,Pos,Price,Team,Pts,35,36,37,38
92422,Mina,DEF,5,EVE,,2.291602128,4.86676371,5.936479452,1.964546024
231961,Guehi,DEF,4.8,CRY,,2.737277889,3.780823311,5.396617653,2.745430288
187804,Andersen,DEF,4.7,CRY,,2.66274989,3.687215164,5.241628208,2.673800486
174861,Mitchell,DEF,4.8,CRY,,2.72886331,3.69256793,5.046749998,2.704958228
241952,Romero,DEF,4.7,TOT,,3.182649734,3.691719888,3.616111955,3.371019656
225296,Sessegnon,DEF,4.6,TOT,,2.889891809,3.079494689,2.661395669,2.240462605
23287,Tarkowski,DEF,4.8,BUR,,2.969443267,3.044833495,3.987604222,3.529796063
185167,Semedo,DEF,4.8,WOL,,3.667748722,3.658602316,4.314274888,1.406955924
45008,Dunk,DEF,5,BHA,,3.518216347,3.033892505,3.09113341,3.509118427
88496,Coady,DEF,5,WOL,,3.534349996,3.577898636,4.082767766,1.195137263
186823,Fofana,DEF,4.5,LEI,,1.52232405,5.239922803,3.412843325,2.676366378
139208,Webster,DEF,4.5,BHA,,3.434762999,2.9580326,3.004009634,3.426322701
45068,Taylor,DEF,4.4,BUR,,2.669962756,2.720726724,3.555275856,3.073571964
88556,Boly,DEF,4.5,WOL,,3.312788993,3.238622212,3.463482995,1.052229047
92428,Soyuncu,DEF,4.4,LEI,,1.266674493,4.078754132,2.68622613,2.17794626
45111,Christensen,DEF,5,CHE,,1.073803164,2.915579481,2.022042772,2.234819627
23521,Evans,DEF,4.9,LEI,,1.687662,5.391015737,3.549612388,2.881886607
138601,Cedric,DEF,4.5,ARS,,2.28440607,3.126307867,1.600655458,1.868969423
278660,Samir,DEF,4.5,WAT,,2.927411798,4.768989953,2.367359274,1.087271559
177020,Veltman,DEF,4.3,BHA,,3.057252669,2.524706512,2.558058199,2.932271346
23543,A Cresswell,DEF,5.3,WHU,,2.969029884,3.844727798,1.945520551,3.156981683
234803,Collins,DEF,4.4,BUR,,2.870110048,2.860525153,2.54717502,1.656908069
23000,Zouma,DEF,5.2,WHU,,2.848999169,3.711353283,1.854099495,3.069109408
257276,Tomiyasu,DEF,4.8,ARS,,2.769506433,4.066907825,3.236921791,3.847474229
45060,Femenia,DEF,4.3,WAT,,2.912563331,4.687554922,2.477189268,1.306541022
137292,Justin,DEF,4.9,LEI,,1.88934094,5.214653927,3.498388513,2.918775922
192193,Jansson,DEF,4.5,BRE,,1.925526195,3.294361416,2.976076799,3.383167324
230250,Tavares,DEF,4.6,ARS,,2.810549681,3.966672067,2.310088922,2.691547158
182119,Castagne,DEF,4.9,LEI,,1.657459722,5.19327533,3.469117176,2.808229823
241033,Varane,DEF,5.4,MUN,,3.620935358,3.172573115,0,3.132539065
189201,Clyne,DEF,4.6,CRY,,1.99840045,2.6366727,3.442492243,1.987710655
276427,H Kamara,DEF,4,WAT,,2.593942709,4.213020786,2.069497451,0.902723986
192195,Henry,DEF,4.6,BRE,,2.095884456,3.363861563,3.105096057,3.442345912
187802,Telles,DEF,5.1,MUN,,3.634440128,3.147855978,0,3.139008556
88539,Saiss,DEF,4.9,WOL,,3.666032777,3.367194244,4.070584234,1.409822849
23265,Kabasele,DEF,4,WAT,,2.312117519,3.512959264,1.914734951,1.03196481
257280,C Roberts,DEF,4.5,BUR,,2.803225028,2.853426707,3.548812806,3.24422244
23148,Zinchenko,DEF,5.5,MCI,,3.456215987,4.821528043,2.765798877,3.075953422
234799,Ajer,DEF,4.4,BRE,,1.645176242,2.927420032,2.697466783,2.985084646
88564,R Pereira,DEF,5.2,LEI,,1.764485182,5.240625842,3.517185943,2.98676067
23544,Kouyate,DEF,4.6,CRY,,2.048410991,2.502112858,3.057846548,1.952888969
176652,Ayling,DEF,4.3,LEE,,1.266831769,3.559942862,3.143238369,2.372475126
46637,Walker-Peters,DEF,4.8,SOU,,3.338399108,2.609102648,1.519106077,2.354821552
156990,Lamptey,DEF,4.6,BHA,,3.423878508,3.043610418,3.081826432,3.470660982
23044,Stones,DEF,5.8,MCI,,3.456215987,4.709273543,3.131295332,3.472985547
45003,Bednarek,DEF,4.2,SOU,,3.161773784,2.438458804,1.383998839,2.189574082
132438,Dawson,DEF,5,WHU,,2.705495938,3.891058816,1.910503721,3.133813522
23076,Maguire,DEF,5,MUN,,2.811872295,2.678687917,0,2.804763686
242908,Dalot,DEF,5,MUN,,3.171482754,2.369392721,0,2.258864769
192743,Hanley,DEF,4.4,NOR,,1.626894549,3.784823714,2.333383697,1.565319841
226790,Perraud,DEF,5,SOU,,3.2846156,2.572375285,1.500967497,2.319196154
45018,March,DEF,4.9,BHA,,3.566217263,3.223451321,3.277248074,3.621682141
192745,Aarons,DEF,4.2,NOR,,1.458928163,3.363048677,2.096283113,1.41974
192733,Gibson,DEF,4.3,NOR,,1.511388839,3.57128667,2.211566416,1.454252626
187323,Ait-Nouri,DEF,4.8,WOL,,3.201830071,2.954535786,3.581470893,1.28949387
186817,Coufal,DEF,4.9,WHU,,2.705495938,2.488391911,1.475365305,2.139397902
175378,L Thomas,DEF,4.5,LEI,,1.465500272,4.075823508,2.769385577,2.35760823
225319,Konate,DEF,5.5,LIV,,1.270000354,1.495042191,1.299341941,1.553208736
92386,Targett,DEF,4.8,NEW,,1.818182411,1.290075016,2.804016751,3.18146534
176667,Chambers,DEF,4.5,AVL,,1.163087858,0.822027881,1.034743941,0.447805413
178201,Salisu,DEF,4.4,SOU,,3.06947036,2.392167419,1.409991324,2.15470658
185165,Llorente,DEF,4.3,LEE,,1.089102903,2.687632796,2.555890947,1.918591229
67736,Johnson,DEF,4.3,WHU,,2.001644767,1.505231419,0.893476927,1.314620557
92423,Burn,DEF,4.6,NEW,,1.636471559,1.117928181,2.48174076,2.777546613
242981,T Chalobah,DEF,5.1,CHE,,1.724146374,3.03546529,2.254011977,2.482423038
131320,Holgate,DEF,4.5,EVE,,2.136856638,3.879014527,4.619415266,1.876911771
91161,Schar,DEF,4.8,NEW,,1.692739174,1.154497826,2.654497764,2.995479562
56987,D Sanchez,DEF,4.6,TOT,,0.834726463,0.765406461,0.918604593,0.896635182
184661,Reguilon,DEF,5.3,TOT,,3.741291899,4.243528489,4.184875663,4.155824805
45053,Lindelof,DEF,4.8,MUN,,1.841581501,1.071154486,0,0.801306177
150363,B Williams,DEF,4.2,NOR,,1.160590944,2.781684277,1.768700123,1.134055133
192205,M Sorensen,DEF,4.5,BRE,,1.763120968,2.835258264,2.630145563,2.890057441
182753,Marcal,DEF,4.7,WOL,,3.204748102,3.001763057,3.454681177,1.198870612
176637,Cooper,DEF,4.4,LEE,,1.288330587,3.103547581,2.908438611,2.228173329
262617,M Sarr,DEF,5,CHE,,0.591698321,0.672558519,0.598789767,0.651230545
192204,Roerslev,DEF,4.4,BRE,,1.328690179,1.272299756,1.063205108,0.909089598
23018,J Ward,DEF,4.3,CRY,,0.729722502,0.923784672,1.18547666,0.730405514
192197,Pinnock,DEF,4.5,BRE,,1.645176242,2.895225618,2.70213199,3.207208961
