ID,Name,Pos,Price,Team,Pts,37,38
192195,Henry,DEF,4.7,BRE,,2.81917847,3.195025815
234799,Ajer,DEF,4.4,BRE,,2.528349745,2.838337539
185165,Llorente,DEF,4.3,LEE,,3.000121996,2.524604219
92386,Targett,DEF,4.9,NEW,,2.656498952,2.951757409
176643,Struijk,DEF,4.1,LEE,,2.691842458,2.290247912
180456,Koch,DEF,4.3,LEE,,3.03964776,2.613784226
176667,Chambers,DEF,4.5,AVL,,1.645906832,0.576160712
45018,March,DEF,4.9,BHA,,3.388118461,3.831252649
88556,Boly,DEF,4.5,WOL,,3.909264305,1.160628187
225319,Konate,DEF,5.5,LIV,,1.55397971,1.552094314
88496,Coady,DEF,4.9,WOL,,4.108426737,1.192540098
176637,Cooper,DEF,4.5,LEE,,2.929776157,2.477700975
23287,Tarkowski,DEF,4.8,BUR,,3.406134007,3.345194534
92423,Burn,DEF,4.7,NEW,,2.318408564,2.549636923
187323,Ait-Nouri,DEF,4.8,WOL,,4.157586488,1.340531615
88564,R Pereira,DEF,5.3,LEI,,3.438383787,2.982356696
91161,Schar,DEF,4.8,NEW,,2.502822518,2.760000552
131352,Godfrey,DEF,4.5,EVE,,5.046261467,1.95992699
226984,Firpo,DEF,4.3,LEE,,3.002222035,2.511187523
242981,T Chalobah,DEF,5.1,CHE,,2.256306702,2.535285007
241033,Varane,DEF,5.4,MUN,,0,2.947172831
278659,Trippier,DEF,4.7,NEW,,1.701203048,2.387634805
187802,Telles,DEF,5,MUN,,0,2.8380772
192205,M Sorensen,DEF,4.5,BRE,,2.493701131,2.716339105
132438,Dawson,DEF,4.9,WHU,,1.783713446,2.894965149
178132,Tsimikas,DEF,4.4,LIV,,0.77251095,0.477922963
262617,M Sarr,DEF,5,CHE,,0.60334369,0.669124922
23076,Maguire,DEF,5,MUN,,0,2.785472286
23543,A Cresswell,DEF,5.2,WHU,,1.874335358,2.994256738
175378,L Thomas,DEF,4.5,LEI,,2.027123516,1.789164995
92422,Mina,DEF,5,EVE,,5.425400086,2.080830531
23544,Kouyate,DEF,4.6,CRY,,2.664140457,1.956883475
242908,Dalot,DEF,4.9,MUN,,0,2.127101802
23000,Zouma,DEF,5.2,WHU,,1.79506954,2.903660734
156990,Lamptey,DEF,4.6,BHA,,3.075786959,3.522482031
189708,Rodon,DEF,4.5,TOT,,0.702035486,0.69315778
23101,Amartey,DEF,4.1,LEI,,1.231671966,1.08311869
92428,Soyuncu,DEF,4.4,LEI,,1.576556664,1.463203918
45072,Lascelles,DEF,4.3,NEW,,0.941916033,0.979787547
242874,Kenny,DEF,4.4,EVE,,5.711390505,1.978281127
192197,Pinnock,DEF,4.5,BRE,,2.528349745,2.789711503
23289,K Long,DEF,4,BUR,,1.390397014,0.265146327
23376,Lowton,DEF,4.6,BUR,,3.330662048,3.137495221
182753,Marcal,DEF,4.7,WOL,,3.739523769,1.267679871
192204,Roerslev,DEF,4.4,BRE,,1.630090093,1.245584246
32948,Wan-Bissaka,DEF,5.3,MUN,,0,2.719505301
45053,Lindelof,DEF,4.8,MUN,,0,0.827307312
23120,Gomez,DEF,5,LIV,,0.91063484,0.66261876
139838,Krafth,DEF,4.7,NEW,,1.606735966,1.344839559
230254,Duffy,DEF,4.6,BHA,,2.880431088,3.368595674
186817,Coufal,DEF,4.9,WHU,,1.436721377,2.053552676
23015,Tomkins,DEF,4.5,CRY,,2.442772395,1.65997873
280711,Toti,DEF,4.5,WOL,,0.388957778,0.113956611
225312,Mosquera,DEF,4.5,WOL,,0.378441076,0.109260727
225290,Young,DEF,5,AVL,,6.130840806,1.519109547
242875,Branthwaite,DEF,4,EVE,,0.07354858,0
24075,Holding,DEF,4.6,ARS,,2.569776824,1.940019671
23037,Kelly,DEF,4,CRY,,0.053405351,0.058658021
280662,Hjelde,DEF,4.5,LEE,,2.964302482,2.50888432
134588,Pieters,DEF,4.6,BUR,,3.484498215,3.175354171
260200,C Cresswell,DEF,4.5,LEE,,2.962701145,2.50622598
230255,Jach,DEF,4.5,CRY,,2.442211385,1.621419541
23252,Bardsley,DEF,4,BUR,,0.067704287,0.090916197
132423,Hause,DEF,4.5,AVL,,0.026898316,0.036762671
