ID,Name,Pos,Price,Team,Pts,33,34,35,36,37,38
291491,Kulusevski,MID,6.8,TOT,,4.723502818,4.38367859,4.798161935,6.47356338,4.96914965,4.898451256
139204,Saint-Maximin,MID,6.8,NEW,,7.948500918,4.664435136,3.950969772,3.362964817,4.102208506,4.07536768
283052,Weghorst,FWD,5.6,BUR,,6.679889246,4.114465502,4.030959923,4.055391366,5.97848863,4.117805256
139971,I Sarr,MID,6.2,WAT,,4.845481676,3.510123105,4.942854462,7.91082389,4.768331412,3.725202456
23097,Vardy,FWD,9.5,LEI,,5.457564542,3.747065948,3.256879077,6.684804019,6.029070134,4.520147036
45074,Rudiger,DEF,5.5,CHE,,3.806206843,4.182335815,3.999294343,7.353379756,6.423136712,4.667595702
77347,Laporte,DEF,6.2,MCI,,4.847766417,4.854064962,4.037275632,7.151356227,3.861197538,4.39959804
45079,Lacazette,FWD,7.7,ARS,,6.041826546,4.098222726,3.803546874,6.552884166,3.839251022,4.283289435
186737,Dias,DEF,6.3,MCI,,4.492373807,4.855244662,4.012041597,7.524736947,3.85553564,4.417460335
132424,Trossard,MID,6.4,BHA,,6.223946258,4.629086967,4.172605507,4.372552179,4.375228333,4.553328537
96761,McNeil,MID,5.8,BUR,,6.37411786,4.068997314,3.921558026,3.969400879,5.733304693,4.113790725
23238,van Dijk,DEF,6.8,LIV,,4.022873307,4.894924542,4.308895414,7.059592363,3.943177719,4.886902594
192988,R Sanchez,GK,4.7,BHA,,6.951220648,4.178662312,4.147579996,3.981156904,4.031945607,4.171995859
35693,Westwood,MID,5.5,BUR,,6.533557364,3.84496793,3.657953412,3.753627236,6.022148283,3.897118138
23433,Pickford,GK,4.9,EVE,,3.827411538,3.641017456,3.799629767,6.982759309,7.485526418,3.624599294
283021,Diaz,MID,5.6,LIV,,4.32739957,4.612359214,4.241984296,6.165767139,4.198989666,4.491533113
192214,Mbeumo,MID,5.8,BRE,,4.664315996,4.519042939,4.118242531,4.919443017,4.460350412,5.196543732
23259,Lloris,GK,5.6,TOT,,4.313213318,3.99387265,3.998405362,7.046149948,4.344321895,4.237087503
184630,Gallagher,MID,6.2,CRY,,3.884535251,4.608360476,3.912286504,4.673613219,7.032635863,4.128863093
88507,S Armstrong,MID,5.7,SOU,,6.545591044,3.854277796,4.220048201,3.975175058,3.792966978,3.91747204
23324,Walcott,MID,5.9,SOU,,6.483579303,3.85156397,4.214301778,3.971500734,3.790599674,3.914253106
132429,Djenepo,MID,5.9,SOU,,6.482552147,3.849260981,4.21275913,3.969311172,3.788858737,3.912056341
242910,Elyounoussi,MID,5.3,SOU,,6.408771249,3.850219154,4.253838289,3.989552657,3.801613024,3.932321815
23337,Xhaka,MID,4.9,ARS,,5.9791751,3.51606129,3.333243561,6.374087225,3.422071179,3.743086872
45474,Richarlison,FWD,6.8,EVE,,4.080143412,3.255024148,3.504980558,6.561001688,6.951610878,3.40173005
77662,Dubravka,GK,4.7,NEW,,7.137980665,3.992264326,3.429556023,3.318719268,3.69351031,3.820911456
