ID,Name,Pos,Price,Team,Pts,31,32,33,34,35,36,37,38
131338,Grealish,MID,7.5,MCI,,4.723948355,4.319360729,4.79300974,5.426707854,4.80028453,7.105670024,4.460693858,4.866108736
132437,Adams,FWD,6.9,SOU,,4.732443261,4.159630645,7.909861591,4.219177763,4.779509617,4.49918262,4.311805501,4.519318503
45081,B Silva,MID,7.3,MCI,,4.754567776,4.22955609,4.703695779,5.286582271,4.674252349,7.794958821,4.37537265,4.764534737
45113,Ederson,GK,6.2,MCI,,4.64892951,4.203856643,4.810905438,4.837184558,4.476084647,8.433946561,4.590708432,4.674034925
23023,Zaha,MID,7.1,CRY,,3.934465107,4.353199498,4.567978989,5.353655329,4.50028054,8.980422128,4.379922878,4.835514031
139835,Cancelo,DEF,6.9,MCI,,4.77860934,3.584884676,4.908641207,5.381864646,4.421799159,7.931005069,4.507591056,4.825138745
140080,Ramsdale,GK,5.3,ARS,,2.859923164,3.879045542,8.028192565,4.386496954,4.33529453,8.140115768,4.424081743,4.654696907
23492,Doucoure,MID,5.9,EVE,,6.776290029,3.901473002,4.033875741,3.280508701,3.573204027,6.824351736,7.058086116,3.475620212
291491,Kulusevski,MID,6.8,TOT,,4.973433549,4.255789696,4.607936601,4.41444922,4.864294482,6.526444881,4.983096569,4.827755887
23173,de Gea,GK,5.2,MUN,,4.261034894,4.191487474,8.056566254,4.048104131,4.507329026,4.250079297,4.214569161,4.20350034
192988,R Sanchez,GK,4.7,BHA,,4.678027972,4.010087026,7.29410218,4.335189603,4.242811714,4.119195384,4.198470051,4.286836882
45120,Robertson,DEF,7.8,LIV,,5.307183512,2.821662059,4.331355724,5.183155819,4.547153727,7.429624674,4.218743415,5.138111336
23482,Alli,MID,6.1,EVE,,6.173607915,4.037598728,4.123619233,3.388554152,3.656526411,6.266583208,6.4750673,3.576775241
132424,Trossard,MID,6.4,BHA,,5.100743878,3.944994149,6.15687534,4.576694228,4.141759508,4.392729839,4.365316244,4.519044947
139204,Saint-Maximin,MID,6.9,NEW,,3.922612662,4.585764604,8.057867426,4.592042108,3.920664244,3.389529712,4.127567732,4.121154297
139971,I Sarr,MID,6.2,WAT,,3.771361578,5.115560014,4.914336061,3.564254782,4.986861264,4.263978716,8.544333325,3.710051389
23404,Ward-Prowse,MID,6.8,SOU,,4.262755188,4.030755799,7.72571628,4.018081666,4.519140494,4.184220395,4.033961566,4.119477769
57345,Wood,FWD,5.9,NEW,,4.117330197,4.596898886,8.093435245,4.464736574,3.881057571,3.290159966,3.878160018,3.771554483
45074,Rudiger,DEF,5.5,CHE,,4.586715467,3.69680603,3.91152091,4.213205491,4.015651951,7.441698834,6.577182931,4.668380029
131312,Gayle,FWD,6,NEW,,4.087232754,4.563295824,8.057292201,4.432099611,3.852687267,3.266109089,3.849810895,3.74398464
24079,Gudmundsson,MID,5.4,BUR,,5.998087244,3.453304651,5.951759779,5.804863307,3.352291458,3.463111046,3.140036229,3.616544552
