ID,Name,Pos,Price,Team,Pts,36,37,38
182119,Castagne,DEF,4.9,LEI,,4.936598666,3.374311059,2.800992745
186823,Fofana,DEF,4.5,LEI,,4.611550666,3.103210173,2.563406422
137292,Justin,DEF,4.9,LEI,,4.896740121,3.368551686,2.894080633
176641,B White,DEF,5,ARS,,4.580015872,3.257356825,3.948813106
225296,Sessegnon,DEF,4.6,TOT,,3.078618971,2.625935582,2.228825969
88564,R Pereira,DEF,5.3,LEI,,4.999644242,3.431497612,2.98248217
45068,Taylor,DEF,4.5,BUR,,2.774813045,3.615106999,3.076076185
45008,Dunk,DEF,5,BHA,,3.149378937,3.149143839,3.573324744
192193,Jansson,DEF,4.5,BRE,,3.310719023,2.888669147,3.364243627
189201,Clyne,DEF,4.6,CRY,,2.654359678,3.434388432,2.033982405
139208,Webster,DEF,4.4,BHA,,3.073436327,3.063005417,3.491429631
192195,Henry,DEF,4.7,BRE,,3.389746272,3.029092621,3.434614858
176652,Ayling,DEF,4.3,LEE,,3.523292823,3.0590078,2.408068784
257280,C Roberts,DEF,4.6,BUR,,2.893193731,3.58796762,3.231813394
132438,Dawson,DEF,4.9,WHU,,3.870261157,1.920073185,3.057560512
23044,Stones,DEF,5.8,MCI,,4.398591563,3.01228191,3.366430321
234803,Collins,DEF,4.5,BUR,,2.896092214,2.550377476,1.649500348
234799,Ajer,DEF,4.4,BRE,,2.956429148,2.629849192,2.98050346
23544,Kouyate,DEF,4.6,CRY,,2.518116947,3.049562876,1.990186191
177020,Veltman,DEF,4.3,BHA,,2.622937232,2.605068963,2.987395414
185167,Semedo,DEF,4.8,WOL,,3.36683905,4.30943673,1.404045878
88496,Coady,DEF,4.9,WOL,,3.530939644,4.066311313,1.174634013
23543,A Cresswell,DEF,5.2,WHU,,3.844472811,1.958880246,3.092870987
23000,Zouma,DEF,5.2,WHU,,3.741061855,1.888581,3.035020028
88556,Boly,DEF,4.5,WOL,,3.267999434,3.521253901,1.075691272
184661,Reguilon,DEF,5.3,TOT,,4.252552401,4.142927694,4.154155976
276427,H Kamara,DEF,4,WAT,,4.564049074,2.292301111,1.067628428
175378,L Thomas,DEF,4.5,LEI,,3.8428595,2.664669801,2.326934953
225319,Konate,DEF,5.5,LIV,,1.502054438,1.3104581,1.557872114
242981,T Chalobah,DEF,5.1,CHE,,2.974829395,2.236821298,2.488872247
241033,Varane,DEF,5.4,MUN,,3.116811062,0,3.1507557
138601,Cedric,DEF,4.5,ARS,,1.31285923,1.078583842,1.228779309
