ID,Name,Pos,Price,Team,xPts GW4-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,DGWHive,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,GWpts|p,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,GW P(p),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,GW pts,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Gwgoals,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
424,Pope,GK,5.5,NEW,137.4501479,137.818569,28.089045,,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,93.275,93.275,93.275,93.275,,3.399272808,4.127104988,4.284655479,4.509595177,3.675259164,4.447314798,4.098098625,3.575724507,4.003497157,3.791152408,3.464441609,4.025801844,3.482141474,4.170096654,4.446251295,4.507566966,3.160293293,3.281085594,3.700646169,4.78377206,4.155988893,4.346703408,3.288885508,4.451254614,3.479594454,4.095843993,4.012213716,4.349715996,3.814536955,3.798874082,3.169861393,4.630583937,4.15800102,3.683700059,3.807867299,,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,,3.381381898,4.105383383,4.262104661,4.485860465,3.655915695,4.423907878,4.076529685,3.556904904,3.98242612,3.771198975,3.446207705,4.004613413,3.463814414,4.148148777,4.422849973,4.483842929,3.14366017,3.263816722,3.681169084,4.758594312,4.134115267,4.323826021,3.271575584,4.427826959,3.461280799,4.074286919,3.991096802,4.326822754,3.794460444,3.778880008,3.153177912,4.606212442,4.136116804,3.664312164,3.787825892,,7.87E-04,9.08E-04,8.82E-04,9.56E-04,8.14E-04,8.26E-04,8.27E-04,6.98E-04,8.66E-04,8.42E-04,9.29E-04,8.78E-04,7.36E-04,1.09E-03,8.83E-04,1.05E-03,6.59E-04,6.02E-04,6.83E-04,1.09E-03,8.46E-04,1.07E-03,5.65E-04,1.02E-03,6.81E-04,6.67E-04,1.01E-03,1.09E-03,8.80E-04,9.11E-04,7.51E-04,1.09E-03,7.72E-04,9.73E-04,7.34E-04
352,Ederson,GK,5.6,MCI,124.8454986,129.1059637,25.55591378,,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,0,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,89.78207071,8.98E+01,8.98E+01,8.98E+01,8.98E+01,8.98E+01,1.80E+02,89.78207071,89.78207071,89.78207071,89.78207071,,3.993661567,3.449597448,4.314111539,3.902391328,3.007791447,3.420839038,2.882826081,4.145128319,3.199260274,3.198355585,3.58626837,3.456241426,4.238408479,4.232748061,0.001259,3.794405399,4.422201185,3.147134572,4.295398235,3.538499791,4.139506072,3.556076446,3.786832536,3.238221042,2.85462654,3.088955869,3.352444973,3.809960279,3.87348944,4.571473602,6.883321565,3.961475606,4.260579388,3.614588992,3.816334421,,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.998714829,0.965789474,0.965789474,0.965789474,0.965789474,,3.857036303,3.331584904,4.166523512,3.768888466,2.904893319,3.303810334,2.784203084,4.003321298,3.089811896,3.088938157,3.463580241,3.338001588,4.093410295,4.087943522,0,3.664596793,4.270915355,3.039469442,4.148450401,3.417445851,3.99789139,3.434421199,3.657283002,3.127439796,2.756968263,2.983281063,3.237756066,3.679619532,3.740975327,4.415081084,6.87447532,3.82595144,4.114822725,3.490932,3.685775612,,4.32E-04,3.23E-04,4.15E-04,3.28E-04,2.24E-04,3.86E-04,2.98E-04,4.25E-04,2.70E-04,3.23E-04,3.61E-04,2.71E-04,3.50E-04,3.28E-04,0.00E+00,3.48E-04,4.33E-04,2.37E-04,3.79E-04,2.91E-04,4.31E-04,3.34E-04,3.43E-04,3.69E-04,2.61E-04,3.12E-04,2.77E-04,3.35E-04,2.65E-04,4.33E-04,6.52E-04,3.36E-04,4.06E-04,3.49E-04,4.00E-04
291,Alisson,GK,5.5,LIV,130.7726829,131.1411039,26.71220834,,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,93.275,93.275,93.275,93.275,,3.791738412,3.892119211,3.8089338,3.320115894,3.30025063,4.143111768,4.285453508,4.229059639,3.935772328,2.899399449,3.965301031,4.064719092,3.900143743,3.300375171,3.41313868,3.945065529,3.568614772,3.809319385,3.609771645,3.174143962,4.283360562,3.645325299,4.5609155,3.946484823,3.123749677,3.838565762,3.524903031,4.402445988,3.053859957,4.233268192,3.630522142,3.500309423,3.599522692,3.533674114,4.231147013,,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,,3.771781894,3.871634373,3.78888678,3.3026416,3.282880889,4.121305917,4.262898489,4.206801431,3.915057737,2.884139452,3.944431025,4.043325833,3.879616671,3.283004775,3.395174792,3.924302026,3.549832589,3.789270336,3.590772847,3.157437941,4.260816559,3.626139376,4.536910682,3.92571385,3.10730889,3.818362784,3.50635091,4.37927522,3.03778701,4.210987833,3.61141413,3.481886741,3.580577836,3.515075829,4.208877818,,0.000382232,0.000374388,0.000456085,0.000333333,0.000356156,0.000491822,0.000473885,0.00039963,0.000411107,0.000220366,0.000492534,0.000399292,0.000302037,0.000420451,0.000316174,0.000349625,0.000334199,0.000391833,0.000381154,0.000255569,0.000432534,0.000332306,0.000494396,0.00038305,0.000272623,0.000397549,0.000440613,0.000493979,0.000339858,0.000373662,0.000398124,0.000368661,0.000412378,0.000308965,0.000463169
520,Vicario,GK,5,TOT,131.886921,132.255342,27.0671557,,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,93.275,93.275,93.275,93.275,,3.897520294,4.275079315,3.432344215,3.414531838,4.152812319,3.910543862,3.89445389,3.658039316,3.870027931,3.847158139,3.190235282,3.811758841,3.693800961,3.901816374,4.099583795,3.533880878,4.074965046,3.296874323,3.945465006,3.867928478,3.64907926,4.142031523,3.481604689,4.157076304,3.651300288,3.649561989,4.430160007,3.589045063,4.177642824,3.566793883,3.289690504,3.557288771,3.302693045,4.179248308,3.992698795,,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,,3.87700703,4.252578898,3.414279245,3.396560618,4.130955412,3.889962052,3.873956764,3.638786477,3.849659363,3.826909938,3.17344457,3.791696953,3.674359904,3.881280498,4.078007038,3.515281505,4.053517862,3.279522353,3.924699401,3.847570959,3.62987358,4.120231357,3.463280454,4.135196955,3.632082918,3.630353768,4.406843375,3.570155352,4.15565523,3.548021284,3.272376343,3.538566198,3.28531045,4.157252265,3.971684591,,2.63E-05,3.72E-05,1.92E-05,2.78E-05,3.01E-05,3.71E-05,2.27E-05,2.87E-05,2.82E-05,2.88E-05,1.66E-05,3.43E-05,2.51E-05,2.88E-05,3.70E-05,2.68E-05,3.65E-05,2.56E-05,3.09E-05,2.99E-05,3.32E-05,3.48E-05,2.32E-05,2.81E-05,2.32E-05,3.00E-05,3.72E-05,2.77E-05,3.57E-05,2.03E-05,2.05E-05,2.38E-05,2.24E-05,3.25E-05,3.00E-05
49,E Martinez,GK,5,AVL,132.3728913,132.7413124,26.80798695,,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,93.275,93.275,93.275,93.275,,3.100396111,4.349230923,3.409464838,3.618788465,3.969342583,3.901018212,4.696015173,4.034075458,4.05811741,3.397995128,3.894970408,3.207427565,3.507537773,3.730527822,4.541552209,3.124530002,4.417442632,3.924727344,3.649765999,4.173269694,3.377651196,3.699627998,4.403332991,4.331354514,3.694121272,3.57300788,4.337309982,2.978302363,4.04217759,3.260407947,4.246033916,3.699109268,3.384564963,3.35516056,3.984918831,,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,,3.084078236,4.326340234,3.391520287,3.59974221,3.948451306,3.880486537,4.671299304,4.012843482,4.036758897,3.380110943,3.874470564,3.190546368,3.489077048,3.710893465,4.517649303,3.108085107,4.394192933,3.904070885,3.630556704,4.151305116,3.359874084,3.680156272,4.380157554,4.308557911,3.674678528,3.554202576,4.314482035,2.962627087,4.020902971,3.243247905,4.223686369,3.679640271,3.366751463,3.33750182,3.963945574,,2.85E-05,3.57E-05,2.94E-05,4.21E-05,3.58E-05,4.36E-05,4.72E-05,3.66E-05,4.70E-05,3.18E-05,3.74E-05,2.60E-05,3.02E-05,3.17E-05,4.72E-05,3.25E-05,4.13E-05,3.80E-05,3.19E-05,3.81E-05,4.02E-05,3.80E-05,4.53E-05,3.82E-05,3.94E-05,3.52E-05,4.42E-05,2.10E-05,3.93E-05,2.44E-05,4.63E-05,3.64E-05,3.40E-05,3.52E-05,2.88E-05
145,Sanchez,GK,4.5,CHE,119.2752261,119.8831208,24.71355693,,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,92.06255051,9.21E+01,9.21E+01,9.21E+01,9.21E+01,9.21E+01,9.21E+01,92.06255051,92.06255051,92.06255051,92.06255051,,4.08182565,3.538884221,3.5446514,3.358816082,3.696372267,3.096781691,3.676089406,2.977103057,2.770531129,2.926109941,3.208381925,2.667859367,3.555844527,4.238296151,3.630242369,4.012448914,4.002248858,3.754071564,2.646498396,4.028618995,3.620005659,2.483724365,3.321236195,3.319703174,3.231704113,2.796252821,4.094749,2.978487386,3.84329343,3.924841131,2.912905029,3.194117389,3.55597052,3.704260704,3.92718445,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.046378217,3.508151806,3.513868901,3.329647416,3.664272192,3.069888587,3.644165472,2.951249267,2.746471254,2.900698986,3.180519661,2.644691115,3.524964824,4.201489895,3.59871658,3.977603963,3.967492487,3.721470417,2.623515647,3.99363362,3.588568768,2.46215518,3.292393881,3.290874172,3.203639314,2.771969573,4.059189338,2.952621574,3.809917461,3.890756984,2.887608748,3.166379001,3.525089723,3.672092124,3.893079954,,4.47E-05,3.69E-05,3.60E-05,3.75E-05,3.30E-05,2.98E-05,3.88E-05,3.14E-05,2.57E-05,2.55E-05,4.15E-05,3.20E-05,3.75E-05,4.66E-05,3.53E-05,3.52E-05,3.77E-05,4.64E-05,2.81E-05,4.37E-05,2.85E-05,2.08E-05,3.89E-05,3.13E-05,3.15E-05,2.41E-05,4.08E-05,3.96E-05,3.76E-05,4.64E-05,3.36E-05,2.91E-05,4.30E-05,3.61E-05,4.57E-05
28,Turner,GK,4,NFO,39.67993718,82.20625297,17.32917595,,88.56818182,58.77272727,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,34.89393939,3.49E+01,3.49E+01,3.49E+01,3.49E+01,3.49E+01,3.49E+01,34.89393939,34.89393939,34.89393939,34.89393939,,2.608970376,3.745978444,1.984625795,3.11288995,3.080234225,3.858797431,2.123716536,2.976839342,2.646924733,2.644156769,3.361936802,2.830408744,3.080047908,2.757247598,3.377267956,2.390237119,2.435126223,2.770885246,2.579297092,2.99289061,2.665493898,2.999451216,2.647201095,2.384319191,2.377125402,3.455746903,3.471208999,3.214157378,2.438290561,3.477421893,2.997875926,2.238795203,3.300932524,2.754039195,3.146638865,,0.947368421,0.631578947,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,0.368421053,,2.471656146,2.365881122,0.731177924,1.146854192,1.134823135,1.421662211,0.782421882,1.096730284,0.975182796,0.97416302,1.238608296,1.042782169,1.134754492,1.015828062,1.244256616,0.880613676,0.897151766,1.020852459,0.95026735,1.102643909,0.982024068,1.105060974,0.975284614,0.878433386,0.875783043,1.273169912,1.278866473,1.184163244,0.898317575,1.281155434,1.104480604,0.824819285,1.216133035,1.014646019,1.159288003,,6.09E-05,8.34E-05,4.16E-05,7.76E-05,5.70E-05,9.33E-05,5.63E-05,7.22E-05,6.96E-05,8.32E-05,9.28E-05,7.51E-05,7.07E-05,7.78E-05,9.15E-05,5.10E-05,7.94E-05,6.27E-05,5.97E-05,7.40E-05,6.31E-05,8.61E-05,5.83E-05,6.97E-05,6.72E-05,7.54E-05,7.05E-05,9.30E-05,6.29E-05,8.74E-05,7.50E-05,5.15E-05,7.54E-05,7.19E-05,6.60E-05
275,Leno,GK,4.5,FUL,121.3749835,121.7434046,24.75941912,,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,93.275,93.275,93.275,93.275,,2.796201927,4.319908765,3.637328959,3.362070502,4.16271759,3.10982764,3.172817602,3.068294864,3.302676119,3.948919583,2.906591738,4.021833576,3.533258348,3.17250512,4.035187929,3.552207883,3.222522349,3.144372698,3.887594972,3.682262171,3.87533544,3.546488484,2.907254731,3.320596972,3.602829325,3.335415773,3.801628051,3.670499204,3.33079621,3.259439382,3.045547823,3.973591401,3.436656327,2.915488162,3.956511598,,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,,2.781485075,4.297172403,3.618185122,3.344375394,4.14080855,3.093460126,3.156118562,3.052145944,3.285293613,3.928135795,2.891293887,4.000666031,3.514662252,3.155807724,4.013950097,3.533512052,3.205561705,3.127823368,3.867133946,3.662881844,3.854938938,3.527822755,2.891953391,3.303120146,3.583867065,3.317860953,3.781619483,3.651180787,3.313265703,3.242284438,3.029518624,3.952677762,3.418568662,2.900143488,3.935687853,,2.13E-05,4.77E-05,2.91E-05,3.68E-05,4.77E-05,3.22E-05,3.44E-05,4.06E-05,2.98E-05,4.47E-05,2.88E-05,4.57E-05,4.40E-05,2.61E-05,4.17E-05,3.78E-05,3.05E-05,2.97E-05,4.74E-05,3.37E-05,4.68E-05,3.69E-05,3.28E-05,4.25E-05,3.61E-05,3.98E-05,3.85E-05,3.70E-05,3.22E-05,3.56E-05,3.56E-05,3.60E-05,3.21E-05,2.63E-05,3.86E-05
597,Andre Onana,GK,5,MUN,112.1116801,112.4801012,22.73691623,,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,9.33E+01,93.275,93.275,93.275,93.275,,2.553954848,2.950998895,3.504162706,3.836201948,3.449993253,3.64507984,2.528511778,3.161118958,4.204829948,3.334043694,2.677264992,3.087849374,3.715332816,2.391361696,2.963407007,3.323988501,3.520007097,3.082953312,3.440389432,3.336726293,2.969057088,3.817984074,3.554736381,2.227118571,3.702681866,4.037649334,3.087661407,2.747257578,2.694372726,3.327550682,2.99383063,3.892410846,3.434048225,2.864153706,2.646174107,,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,0.994736842,,2.54051298,2.935467322,3.485719744,3.816011412,3.431835394,3.62589521,2.515203821,3.14448149,4.182699264,3.316496095,2.663174123,3.071597535,3.695778433,2.378775582,2.947810128,3.306493824,3.501480744,3.066727242,3.42228212,3.319164576,2.953430472,3.797889421,3.536027242,2.215396894,3.683194066,4.016398548,3.071410557,2.732798328,2.680191817,3.310037257,2.978073626,3.871924473,3.415974287,2.849079212,2.632246875,,5.03E-05,8.68E-05,6.89E-05,7.36E-05,8.10E-05,7.87E-05,5.37E-05,7.84E-05,9.74E-05,7.83E-05,5.32E-05,7.51E-05,9.55E-05,5.88E-05,7.26E-05,7.53E-05,7.55E-05,8.12E-05,7.38E-05,8.98E-05,6.09E-05,7.87E-05,9.70E-05,4.34E-05,9.69E-05,9.73E-05,6.55E-05,6.07E-05,7.27E-05,7.72E-05,6.58E-05,8.52E-05,5.95E-05,6.23E-05,7.02E-05
