ID,Name,Pos,Price,Team,xPts GW34-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,34,35,36,37,38,xPts if play,34,35,36,37,38,Probability to play,34,35,36,37,38,xPts,34,35,36,37,38,npG,34,35,36,37,38
143,E Mendy,GK,6.1,CHE,27.66730907,27.82824686,21.7158772,,172.6190476,86.30952381,172.6190476,86.30952381,86.30952381,,7.309133922,4.103675616,8.130025184,4.011278675,4.455749197,,0.999239237,0.973684211,0.999239237,0.973684211,0.973684211,,7.303573407,3.995684152,8.123840166,3.90571871,4.338492639,,0,0,0,0,0.00E+00
30,Martinez,GK,5.5,AVL,26.36020126,26.41263821,19.52575115,,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,,3.462620087,4.535092112,7.022386746,8.424176004,3.012824977,,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,,3.432549965,4.495708417,7.021804443,8.423477463,2.986660971,,6.96E-05,0.000115052,0.000128496,0.00016363,3.50E-05
231,Alisson,GK,6,LIV,25.72929098,25.83493477,19.51007713,,87.42857143,87.42857143,174.8571429,87.42857143,87.42857143,,4.716471563,4.357062296,7.993051846,4.122700648,4.778029312,,0.986842105,0.986842105,0.999809683,0.986842105,0.986842105,,4.654412726,4.299732529,7.991530629,4.068454586,4.715160505,,1.04E-03,0.000812298,0.001612307,0.000868877,9.26E-04
257,Ederson,GK,6.1,MCI,25.86479413,25.93443365,19.17077843,,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,,4.635256498,4.085253215,4.596402078,8.324083433,4.378156845,,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,,4.595002955,4.049776016,4.556485955,8.323393192,4.340136009,,0.001387105,0.001094989,0.001148625,0.001763649,1.06E-03
559,Ramsdale,GK,5.1,ARS,24.27520155,24.34484107,18.17698943,,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,3.915223972,3.932578386,7.775084574,4.187484097,4.610026636,,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,3.881223343,3.898427048,7.774439857,4.151119103,4.569992195,,0.000520251,0.00045319,0.001074109,0.000463404,5.93E-04
353,Lloris,GK,5.4,TOT,22.63560767,22.7052472,16.98205449,,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,3.774929921,3.830236948,6.66881861,4.297713382,4.204340293,,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,3.742147634,3.796974364,6.668265625,4.260391134,4.167828917,,0,0,0,0,0.00E+00
170,Pickford,GK,4.8,EVE,23.23805932,23.29049626,16.94102882,,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,,2.692757937,3.267917006,6.713085748,7.543257364,3.100916175,,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,,2.66937346,3.239537727,6.712529092,7.54263187,3.073987166,,1.08E-04,0.000132,3.61E-04,0.000380681,1.27E-04
200,Schmeichel,GK,4.9,LEI,22.85992746,22.91236441,16.85327144,,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,,3.3718478,2.529486343,7.624720531,6.057302703,3.358115623,,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,,3.342565964,2.507519751,7.624088282,6.056800425,3.32895304,,2.87E-04,0.000216113,0.000749998,0.000470147,3.33E-04
112,Pope,GK,5.4,BUR,22.3394642,22.445108,16.71684883,,87.42857143,87.42857143,87.42857143,174.8571429,87.42857143,,4.266259551,3.890026577,3.859613786,6.421414706,4.115628645,,0.986842105,0.986842105,0.986842105,0.999809683,0.986842105,,4.210124557,3.838842017,3.808829394,6.420192599,4.061475636,,0.000115288,0.000122112,0.000115387,0.000180112,0.000125096
270,de Gea,GK,5.1,MUN,18.20340984,20.28273784,16.33145228,,174.8571429,87.42857143,87.42857143,0,87.42857143,,6.83018742,3.95665466,3.838412725,0.00127,3.731115232,,0.999809683,0.986842105,0.986842105,0,0.986842105,,6.828887517,3.904593415,3.787907294,0,3.68202161,,0.00E+00,0,0.00E+00,0,0.00E+00
146,Guaita,GK,4.6,CRY,21.22123696,21.54044756,15.96396504,,85.19047619,85.19047619,85.19047619,170.3809524,85.19047619,,3.853596879,3.438256101,4.201746371,6.946314991,3.380333678,,0.960526316,0.960526316,0.960526316,0.998289435,0.960526316,,3.701481213,3.302535466,4.035887962,6.934432866,3.246899453,,1.87E-04,0.000137201,1.92E-04,2.51E-04,1.44E-04
475,Sa,GK,5.3,WOL,20.80783202,20.87747155,15.58411336,,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,,3.683078192,4.021811841,3.133866328,7.26870088,2.819589459,,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,,3.651093566,3.986885581,3.106651173,7.268098153,2.79510355,,0.00E+00,0,0,0,0.00E+00
199,Meslier,GK,4.8,LEE,20.10699337,20.1766329,15.12644216,,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,3.490619376,2.976203327,6.432147548,3.910213122,3.418143599,,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,3.460306102,2.950357351,6.431614188,3.876256008,3.388459721,,0.00E+00,0,0,0,0.00E+00
69,R Sanchez,GK,4.6,BHA,18.52706287,18.61390497,14.13422009,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.88507546,3.88430536,3.493831827,3.593386534,3.832766067,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.851336647,3.850573234,3.463490656,3.562180809,3.79948152,,0,0,0,0,0
