ID,Name,Pos,Price,Team,xPts GW27-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,27,28,29,30,31,32,33,34,35,36,37,38,xPts,27,28,29,30,31,32,33,34,35,36,37,38,npG,27,28,29,30,31,32,33,34,35,36,37,38
295,Dubravka,GK,4.4,NEW,47.63869679,47.90261596,26.18747294,,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,3.603854845,7.160358971,6.394728561,3.991639671,2.940140913,3.975542447,3.473471574,3.887285216,2.833874489,2.783684896,3.34480663,3.706370869,,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,3.556435703,7.15899623,6.393511533,3.939118097,2.901454848,3.923232678,3.427768001,3.836136726,2.796586667,2.747057463,3.300796017,3.657602832,,0.00E+00,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0.00E+00
112,Pope,GK,5.4,BUR,57.54774618,57.78601567,28.49715513,,173.9828571,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,174.8571429,87.42857143,,7.642592676,3.595408944,3.958545868,4.047343671,3.267897243,4.317017032,3.584695292,4.334357484,3.958696697,7.586478226,7.363023123,4.363227719,,0.999666945,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.999809683,0.986842105,,7.640047269,3.548100932,3.906459738,3.994089149,3.224898595,4.260214176,3.537528249,4.277326464,3.906608582,7.585034387,7.361621811,4.305816828,,2.95E-04,0.000101503,1.31E-04,0.000158759,8.96E-05,0.000162978,1.26E-04,0.000144831,0.000159908,0.000284352,0.000288369,1.71E-04
30,Martinez,GK,5.5,AVL,53.87751731,54.11101215,27.21042891,,85.17477619,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,3.937697318,7.7859622,3.670447316,3.774483849,3.951516081,3.652950636,3.277192835,3.551748061,4.638700709,8.49457541,4.369104828,3.22199113,,0.961576316,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,3.78639648,7.78531658,3.638572379,3.741705436,3.917200284,3.621227643,3.248733002,3.520903933,4.598417255,8.493871032,4.331162602,3.194010681,,7.14E-05,0.000208044,8.24258E-05,9.40054E-05,7.67E-05,9.68307E-05,7.63E-05,9.02405E-05,0.000132152,0.000209162,0.000101043,4.75E-05
475,Sa,GK,5.2,WOL,48.34669714,48.53791562,25.81492547,,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.479585385,8.21770731,3.661675903,3.908682839,3.878463694,3.793296737,3.225842169,3.893053187,4.087831618,3.206002433,4.418967557,2.927817156,,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.449367933,8.21702589,3.629877138,3.874739014,3.844782299,3.76035495,3.197828277,3.859245094,4.052332028,3.178160833,4.380592312,2.902391375,,0.00E+00,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0.00E+00
69,R Sanchez,GK,4.6,BHA,48.68951489,50.90564131,25.26365185,,85.17477619,87.80904762,175.6180952,0,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.099438005,4.01530897,6.892014404,0.001069,4.616878441,3.468167716,3.353680433,4.095415403,3.969599295,6.788251683,3.785717012,4.035862037,,0.961576316,0.991315789,0.999917079,0,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,3.941922494,3.980439182,6.891442912,0,4.576784497,3.438049418,3.324556366,4.059849953,3.935126459,6.787688795,3.752841049,4.000813761,,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.00E+00
353,Lloris,GK,5.4,TOT,53.19787382,55.33731871,26.58533324,,87.80904762,87.80904762,175.6180952,0,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,175.6180952,87.80904762,87.80904762,,3.66721635,4.109917177,7.023175701,0.001353,4.274601787,3.641405064,4.188861104,7.495887664,3.761204135,6.813982315,4.350456316,4.152095689,,0.991315789,0.991315789,0.999917079,0,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.999917079,0.991315789,0.991315789,,3.635369471,4.074225791,7.022593332,0,4.237480245,3.609782336,4.152484152,7.495266098,3.728541046,6.813417293,4.312676038,4.116038016,,0,0,0,0,0,0,0,0,0,0,0,0.00E+00
231,Alisson,GK,6,LIV,49.4714127,53.68270028,25.28397318,,0,87.42857143,174.8571429,0,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,87.42857143,87.42857143,,0.001231,4.339918175,7.971099576,0.001231,4.593058685,3.467042172,4.092977218,4.527040242,4.336736241,7.8699798,4.077052768,4.647967294,,0,0.986842105,0.999809683,0,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.986842105,0.986842105,,0,4.282813988,7.969582536,0,4.532623703,3.421423196,4.039122254,4.467473923,4.279673922,7.868482006,4.023407336,4.58680983,,0.00E+00,0.001147588,1.66E-03,0,1.46E-03,0.000534115,9.38E-04,1.25E-03,0.00102088,0.002214825,0.000946576,1.07E-03
199,Meslier,GK,4.8,LEE,44.41091114,44.60212961,23.49702566,,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.174526733,6.681586298,4.159700919,3.488775562,3.590565765,3.508888815,3.24541409,3.521903324,3.00040338,3.048252825,3.81570678,3.506265245,,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.146958474,6.681032255,4.1235772,3.458478301,3.559384536,3.478416886,3.217230231,3.491318375,2.974347245,3.021781156,3.782570379,3.4758161,,0,0,0,0,0,0,0,0,0,0,0,0
559,Ramsdale,GK,5.1,ARS,55.13547949,57.34714771,27.05071973,,0,87.42857143,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,,0.001579,4.164744881,7.446137251,3.919121311,4.178836534,4.46827219,3.92146626,7.294207192,7.379707855,4.267304021,4.143839479,4.396314171,,0,0.986842105,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,,0,4.109945606,7.444720121,3.867553926,4.123851842,4.409479135,3.86986802,7.292818978,7.378303368,4.211155284,4.089315275,4.338467931,,0,0.000697827,1.25E-03,0.000554678,0.000543799,0.000587817,0.000560014,0.001186758,0.000906842,0.00085654,0.000603973,0.000737293
