ID,Name,Pos,Price,Team,xPts GW35-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,35,36,37,38,xPts if play,35,36,37,38,Probability to play,35,36,37,38,xPts,35,36,37,38,npG,35,36,37,38
30,Martinez,GK,5.5,AVL,22.74826581,22.78333434,18.54456195,,87.80904762,175.6180952,175.6180952,87.80904762,,4.50123617,6.9375342,8.395660935,2.980075234,,0.991315789,0.999917079,0.999917079,0.991315789,,4.462146487,6.936958933,8.394964758,2.954195633,,0.000114333,0.000125785,0.000161647,3.45E-05
257,Ederson,GK,6.1,MCI,21.12083825,21.17310936,17.33094269,,87.80904762,175.6180952,87.80904762,87.80904762,,4.04530934,8.878147478,3.974669707,4.330703841,,0.991315789,0.999917079,0.991315789,0.991315789,,4.010179022,8.877411293,3.940152839,4.293095097,,0.001058411,0.001947689,0.000876701,9.67E-04
231,Alisson,GK,6,LIV,20.97958648,21.05891448,17.15531217,,87.42857143,174.8571429,87.42857143,87.42857143,,4.318988678,7.940599896,4.102274813,4.793107633,,0.986842105,0.999809683,0.986842105,0.986842105,,4.26215988,7.939088662,4.048297513,4.730040427,,0.000797483,0.001542417,0.000844883,9.23E-04
143,E Mendy,GK,6.1,CHE,20.39708751,20.55650377,16.78751135,,86.30952381,172.6190476,86.30952381,86.30952381,,4.091363136,8.171699442,4.05702078,4.413804789,,0.973684211,0.999239237,0.973684211,0.973684211,,3.983695685,8.165482719,3.950257075,4.297652032,,0,0,0,0.00E+00
170,Pickford,GK,4.8,EVE,20.40178218,20.4368507,16.43634428,,87.80904762,175.6180952,175.6180952,87.80904762,,3.234096418,6.636204365,7.515921066,3.071492901,,0.991315789,0.999917079,0.999917079,0.991315789,,3.206010843,6.635654085,7.515297839,3.04481941,,0.000126307,0.000346387,0.000368193,1.25E-04
559,Ramsdale,GK,5.1,ARS,19.88699705,19.93926815,16.18634485,,87.80904762,175.6180952,87.80904762,87.80904762,,3.818748284,7.58506663,4.086584015,4.505001028,,0.991315789,0.999917079,0.991315789,0.991315789,,3.78558547,7.584437669,4.051095259,4.465878651,,0.000442433,0.001055154,0.000456481,5.67E-04
200,Schmeichel,GK,4.9,LEI,19.58935238,19.6244209,15.75474455,,87.80904762,175.6180952,175.6180952,87.80904762,,2.57691032,7.642428211,6.037527019,3.385399134,,0.991315789,0.999917079,0.999917079,0.991315789,,2.554531889,7.641794494,6.037026382,3.355999615,,0.000210326,7.25E-04,0.000438825,3.20E-04
353,Lloris,GK,5.4,TOT,18.47778851,18.53005961,15.04156773,,87.80904762,175.6180952,87.80904762,87.80904762,,3.78844509,6.463102813,4.220322447,4.111710868,,0.991315789,0.999917079,0.991315789,0.991315789,,3.755545435,6.462566887,4.183672279,4.076003905,,0,0,0,0.00E+00
475,Sa,GK,5.3,WOL,17.73846058,17.79073168,14.69725123,,87.80904762,175.6180952,87.80904762,87.80904762,,4.141868077,6.374522077,4.398254303,2.923900694,,0.991315789,0.999917079,0.991315789,0.991315789,,4.105899223,6.373993496,4.360058936,2.898508924,,0,0,0,0
112,Pope,GK,5.4,BUR,18.17088143,18.25020943,14.53634928,,87.42857143,87.42857143,174.8571429,87.42857143,,3.867021278,3.869081747,6.459990841,4.132178615,,0.986842105,0.986842105,0.999809683,0.986842105,,3.816139419,3.818172777,6.458761392,4.077807844,,0.00011376,1.06E-04,0.000169602,1.22E-04
146,Guaita,GK,4.6,CRY,17.2662856,17.50654884,13.96353414,,85.19047619,85.19047619,170.3809524,85.19047619,,3.405737591,4.11334383,6.832506587,3.355650789,,0.960526316,0.960526316,0.998289435,0.960526316,,3.271300581,3.950974994,6.820819139,3.223190889,,0.000127762,1.74E-04,2.28E-04,1.36E-04
199,Meslier,GK,4.8,LEE,16.29938942,16.35166053,13.26191465,,87.80904762,175.6180952,87.80904762,87.80904762,,2.907333477,6.288680312,3.858675587,3.33292276,,0.991315789,0.999917079,0.991315789,0.991315789,,2.882085581,6.288158848,3.825166036,3.303978957,,0,0,0,0.00E+00
69,R Sanchez,GK,4.6,BHA,14.52300339,14.59247707,11.825374,,87.80904762,87.80904762,87.80904762,87.80904762,,3.884792358,3.459347178,3.528587939,3.777501589,,0.991315789,0.991315789,0.991315789,0.991315789,,3.851056003,3.429305479,3.497944938,3.74469697,,0,0,0,0.00E+00
376,Foster,GK,4.1,WAT,13.56650024,14.05384091,11.7245119,,81.41666667,162.8333333,81.41666667,81.41666667,,3.413443046,5.803820494,2.868091144,2.189544749,,0.921052632,0.993171773,0.921052632,0.921052632,,3.1439607,5.764190693,2.641662896,2.016685953,,0.000269868,0.000440027,0.000257355,0.000131136
314,Krul,GK,4.5,NOR,13.42222664,13.63006014,11.16045918,,85.20119048,170.402381,85.20119048,85.20119048,,2.668876071,5.401144683,3.123192106,2.520326571,,0.965789474,0.998714829,0.965789474,0.965789474,,2.577572416,5.394203289,3.016346061,2.434104872,,0.000222899,0.000567906,0.000240166,0.000271544
80,Raya,GK,4.3,BRE,13.79623304,13.86570673,11.09233195,,87.80904762,87.80904762,87.80904762,87.80904762,,2.995926086,3.646683351,3.609686356,3.664796204,,0.991315789,0.991315789,0.991315789,0.991315789,,2.969908833,3.615014786,3.57833908,3.632970342,,0,0,0,0
270,de Gea,GK,5.1,MUN,11.40527013,13.4842175,11.06901339,,87.42857143,87.42857143,0,87.42857143,,3.946966791,3.855988502,0.00127,3.754385102,,0.986842105,0.986842105,0,0.986842105,,3.895033018,3.805251811,0,3.704985298,,0,0,0,0
