ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,37,38,xPts if play,37,38,Probability to play,37,38,xPts,37,38,npG,37,38
170,Pickford,GK,4.8,EVE,11.16661545,11.18414972,10.7336253,,175.6180952,87.80904762,,7.966612931,3.22870185,,0.999917079,0.991315789,,7.965952332,3.200663123,,0.00040395,1.33E-04
30,Martinez,GK,5.5,AVL,11.07610383,11.09363809,10.68586101,,175.6180952,87.80904762,,8.181457192,2.920688929,,0.999917079,0.991315789,,8.180778778,2.895325052,,0.000187907,4.08E-05
112,Pope,GK,5.4,BUR,10.44059925,10.46729567,9.886702222,,174.8571429,87.42857143,,6.321021962,4.175724025,,0.999809683,0.986842105,,6.319818961,4.120780287,,0.000183954,1.42E-04
200,Schmeichel,GK,4.9,LEI,9.361980439,9.379514702,8.913800447,,175.6180952,87.80904762,,6.053320414,3.33815118,,0.999917079,0.991315789,,6.052818466,3.309161972,,0.000419496,3.11E-04
231,Alisson,GK,6,LIV,8.742969339,8.795600918,8.138348633,,87.42857143,87.42857143,,4.128954295,4.730587969,,0.986842105,0.986842105,,4.074625949,4.66834339,,0.000805498,8.71E-04
559,Ramsdale,GK,5.1,ARS,8.443575259,8.478312101,7.869545282,,87.80904762,87.80904762,,4.148636894,4.368906505,,0.991315789,0.991315789,,4.112609257,4.330966001,,0.000465966,5.22E-04
353,Lloris,GK,5.4,TOT,8.407378947,8.442115789,7.855245779,,87.80904762,87.80904762,,4.269899433,4.211130564,,0.991315789,0.991315789,,4.232818727,4.174560219,,1.97724E-05,2.13E-05
143,E Mendy,GK,6.1,CHE,8.270348004,8.375611162,7.756953852,,86.30952381,86.30952381,,4.009512277,4.484358646,,0.973684211,0.973684211,,3.903998796,4.366349208,,2.37277E-05,2.59E-05
146,Guaita,GK,4.6,CRY,7.795138118,8.306146258,7.845482104,,124.6904762,75.11904762,,5.341887413,3.532419169,,0.902390667,0.842105263,,4.820469345,2.974668774,,0.000244416,0.000165798
257,Ederson,GK,6.1,MCI,8.192894142,8.227630984,7.627940171,,87.80904762,87.80904762,,3.96115627,4.303509973,,0.991315789,0.991315789,,3.926756755,4.266137387,,0.000821465,9.41E-04
199,Meslier,GK,4.8,LEE,7.308285721,7.343022563,6.845785333,,87.80904762,87.80904762,,3.807020609,3.565287791,,0.991315789,0.991315789,,3.77395964,3.534326081,,1.89E-05,1.92E-05
69,R Sanchez,GK,4.5,BHA,7.289309238,7.324046081,6.78672705,,87.80904762,87.80904762,,3.499071253,3.854094425,,0.991315789,0.991315789,,3.468684581,3.820624657,,2.04391E-05,2.22E-05
475,Sa,GK,5.2,WOL,7.204002083,7.238738925,6.830584267,,87.80904762,87.80904762,,4.343701709,2.923409498,,0.991315789,0.991315789,,4.305980089,2.898021994,,3.56433E-05,1.34E-05
80,Raya,GK,4.3,BRE,6.838638514,6.873375356,6.385538011,,87.80904762,87.80904762,,3.400989381,3.497557567,,0.991315789,0.991315789,,3.371454473,3.467184041,,2.30444E-05,3.27737E-05
295,Dubravka,GK,4.5,NEW,6.645943975,6.698575554,6.218204292,,87.42857143,87.42857143,,3.284250284,3.450306277,,0.986842105,0.986842105,,3.241036464,3.40490751,,1.98377E-05,2.20353E-05
408,Fabianski,GK,5,WHU,6.133044186,6.290938923,5.806166492,,85.19047619,85.19047619,,2.862317552,3.522769546,,0.960526316,0.960526316,,2.749331333,3.383712853,,9.42999E-06,1.19373E-05
270,de Gea,GK,5.1,MUN,3.511701235,5.538017025,5.042694641,,0,87.42857143,,0.00127,3.558523918,,0,0.986842105,,0,3.511701235,,0,1.31143E-05
156,Butland,GK,4.4,CRY,2.638826195,5.275601414,4.965071296,,54.83947368,14.58947368,,4.082044634,3.255567636,,0.50792818,0.173684211,,2.0733855,0.565440695,,8.71511E-05,5.63173E-05
314,Krul,GK,4.5,NOR,5.12538554,5.262227646,4.933938708,,85.20119048,85.20119048,,2.949799814,2.357138892,,0.965789474,0.965789474,,2.84888561,2.27649993,,0.000246683,0.00025609
376,Foster,GK,4.1,WAT,4.994624744,5.20515106,4.88808321,,83.64285714,83.64285714,,2.992624075,2.279479821,,0.947368421,0.947368421,,2.835117545,2.159507199,,0.000257631,0.000129833
333,Forster,GK,4.4,SOU,4.344487936,5.13396162,4.766528634,,78.78571429,62.64285714,,2.569374443,2.878955944,,0.894736842,0.710526316,,2.298913976,2.04557396,,2.62875E-05,3.36809E-05
334,McCarthy,GK,4.3,SOU,1.083668073,4.231036494,3.922663234,,10.63684211,26.93421053,,2.229377287,2.669679437,,0.123684211,0.302631579,,0.27573877,0.807929303,,0.002508043,0.003361682
129,Kepa,GK,4.5,CHE,0.331645302,4.152697933,3.860715765,,3.489473684,3.489473684,,3.500128613,3.913119309,,0.044736842,0.044736842,,0.156584701,0.175060601,,0.008136181,0.008891232
489,Areola,GK,4.7,WHU,0.323969825,4.113443509,3.823427053,,4.526315789,4.526315789,,2.796050483,3.359376196,,0.052631579,0.052631579,,0.147160552,0.176809273,,3.36102E-05,4.25466E-05
242,Kelleher,GK,4.3,LIV,0.198538157,4.093275,3.805856179,,2.105263158,2.105263158,,3.530770212,4.01367977,,0.026315789,0.026315789,,0.092915006,0.105623152,,7.03991E-05,7.60808E-05
691,Olsen,GK,4,AVL,0.224526182,4.083643659,3.802681289,,3.684210526,1.842105263,,3.739802088,2.261214711,,0.044125472,0.026315789,,0.165020531,0.05950565,,9.43488E-05,2.04917E-05
389,Bachmann,GK,4,WAT,0.364648972,4.080438446,3.797069314,,5.968421053,5.968421053,,2.793400788,2.33869586,,0.071052632,0.071052632,,0.198478477,0.166170495,,5.39281E-05,2.7177E-05
480,Hennessey,GK,4.5,BUR,0.247939816,4.078329636,3.793034551,,4.736842105,2.368421053,,2.761047084,3.197697788,,0.053226143,0.031578947,,0.146959886,0.10097993,,0.000207947,0.000160109
481,Begovic,GK,4,EVE,0.199091284,4.072547266,3.791400346,,3.315789474,1.657894737,,3.62562669,2.345896451,,0.039587799,0.023684211,,0.143530579,0.055560705,,0.000259015,8.51813E-05
486,Gollini,GK,4.2,TOT,0.156867416,4.062130574,3.777848224,,1.657894737,1.657894737,,3.331788647,3.291502244,,0.023684211,0.023684211,,0.078910784,0.077956632,,9.20203E-05,9.91979E-05
1,Leno,GK,4.5,ARS,0.167007194,4.061744036,3.777097077,,1.842105263,1.842105263,,3.084955768,3.261317613,,0.026315789,0.026315789,,0.081183047,0.085824148,,3.49481E-05,3.91555E-05
260,Steffen,GK,4.4,MCI,0.156470315,4.061733473,3.776942831,,1.657894737,1.657894737,,3.161727423,3.444797003,,0.023684211,0.023684211,,0.074883018,0.081587297,,6.03315E-05,6.91005E-05
294,Darlow,GK,4.5,NEW,0.174922024,4.048606235,3.764960163,,2.273684211,2.273684211,,2.714490698,2.824706739,,0.031578947,0.031578947,,0.085720759,0.089201265,,3.15922E-05,3.50919E-05
54,Steele,GK,3.9,BHA,0.146875507,4.041612349,3.758186544,,1.842105263,1.842105263,,2.651407957,2.929861308,,0.026315789,0.026315789,,0.069773894,0.077101613,,6.36124E-05,6.90028E-05
490,Klaesson,GK,4.3,LEE,0.145216673,4.039953515,3.75751526,,1.842105263,1.842105263,,2.856421516,2.661812047,,0.026315789,0.026315789,,0.075168987,0.070047685,,6.83345E-05,6.93521E-05
204,D Ward,GK,4,LEI,0.166173585,4.039629567,3.757862031,,3.315789474,1.657894737,,2.682137195,2.533066417,,0.039587799,0.023684211,,0.106179907,0.059993678,,0.004636955,0.003438756
448,Gunn,GK,4,NOR,0.244611259,4.034084943,3.753681461,,4.263157895,4.263157895,,2.592855592,2.054758324,,0.052631579,0.052631579,,0.136466084,0.108145175,,3.64995E-05,3.78914E-05
