ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
688,McGill,GK,4,BHA,0.007158752,2.001895594,2.001895594,,0.184210526,,2.72032571,,0.002631579,,0.007158752,,5.39E-05
556,A Fernandez L,GK,4.5,BRE,0.006842028,2.00157887,2.00157887,,0.184210526,,2.599970575,,0.002631579,,0.006842028,,3.46E-05
572,Okonkwo,GK,3.9,ARS,0.004208748,2.001577169,2.001577169,,0.092105263,,3.198648182,,0.001315789,,0.004208748,,9.40739E-05
509,Heaton,GK,3.9,MUN,0.006744338,2.00148118,2.00148118,,0.184210526,,2.562848357,,0.002631579,,0.006744338,,1.73E-04
561,Matthews,GK,3.9,CRY,0.006730099,2.001466941,2.001466941,,0.184210526,,2.55743773,,0.002631579,,0.006730099,,8.08E-05
606,Bettinelli,GK,4,CHE,0.004036406,2.001404827,2.001404827,,0.078947368,,3.067668411,,0.001315789,,0.004036406,,8.12E-05
407,Randolph,GK,4.3,WHU,0.006027244,2.001290402,2.001290402,,0.165789474,,2.544836235,,0.002368421,,0.006027244,,4.63E-05
573,Jakupovic,GK,3.9,LEI,0.006406338,2.00114318,2.00114318,,0.184210526,,2.434408256,,0.002631579,,0.006406338,,7.77E-05
656,Pitaluga,GK,4,LIV,0.003532764,2.000901185,2.000901185,,0.065789474,,2.684900728,,0.001315789,,0.003532764,,5.38E-05
619,Cox,GK,4,BRE,0.003049226,2.000417647,2.000417647,,0.092105263,,2.317412086,,0.001315789,,0.003049226,,5.77E-05
223,Adrian,GK,4.3,LIV,0.000920287,2.000393971,2.000393971,,0.018421053,,3.497089371,,0.000263158,,0.000920287,,5.69E-05
615,Slicker,GK,4,MCI,0.000778569,2.000252254,2.000252254,,0.015789474,,2.958563914,,0.000263158,,0.000778569,,6.66E-05
514,Gillespie,GK,3.9,NEW,0.000707676,2.000181361,2.000181361,,0.018421053,,2.689170639,,0.000263158,,0.000707676,,7.96E-05
0,D Martin,GK,4,WHU,0.000645748,2.000119432,2.000119432,,0.018421053,,2.453843453,,0.000263158,,0.000645748,,4.73E-05
333,Forster,GK,4.4,SOU,0,2,2,,0,,0.001333,,0,,0,,0.00E+00
