ID,Name,Pos,Price,Team,xPts GW30-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,31,32,33,34,35,36,37,38,xPts if play,31,32,33,34,35,36,37,38,Probability to play,31,32,33,34,35,36,37,38,xPts,31,32,33,34,35,36,37,38,npG,31,32,33,34,35,36,37,38
112,Pope,GK,5.4,BUR,42.02025002,42.15297087,28.30827473,,174.8571429,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,,7.420955513,4.338114417,7.417086116,7.858337267,3.917883555,3.933702202,3.119022118,4.277177559,,0.999809683,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,,7.419543175,4.281033964,7.415674515,7.856841688,3.866332455,3.881942962,3.077982353,4.220898907,,2.35E-04,0.000153239,2.62E-04,0.000242072,0.00014238,0.000134116,0.000102472,1.48E-04
143,E Mendy,GK,6.1,CHE,40.73773345,41.05656598,24.24088828,,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,172.6190476,172.6190476,86.30952381,,4.517895045,3.964204158,4.060536928,4.228810518,4.188666413,8.399515923,7.568517018,4.491515015,,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.999239237,0.999239237,0.973684211,,4.39900307,3.859882996,3.953680693,4.117526031,4.07843835,8.393125886,7.562759175,4.373317251,,0.00E+00,0,0.00E+00,0,0,0,0,0.00E+00
559,Ramsdale,GK,5.1,ARS,38.01878836,39.29912004,23.94857018,,49.5,74.35714286,175.6180952,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.155414135,4.509299109,7.641403587,3.901403975,3.922766299,7.859379951,4.182724581,4.562570439,,0.552631579,0.842105263,0.999917079,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,2.296413075,3.797304513,7.640769954,3.867523361,3.888700171,7.858728244,4.14640092,4.522948117,,4.77E-04,5.45E-04,8.40E-04,5.95E-04,0.000504398,0.001208561,0.000525457,6.75E-04
231,Alisson,GK,6,LIV,37.77882667,37.96341783,23.00941912,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,87.42857143,87.42857143,,4.671368008,3.503207094,4.061621941,4.685033182,4.36657275,7.994845169,4.119419733,4.775420394,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.986842105,0.986842105,,4.609902639,3.457112263,4.008179547,4.623388008,4.309117845,7.993323611,4.065216842,4.712585915,,1.33E-03,0.000490791,1.03E-03,0.001162655,0.000904739,0.001773524,0.000897858,1.01E-03
170,Pickford,GK,4.9,EVE,36.34807843,36.43541806,22.70651192,,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,,6.742984545,3.158288229,3.44509808,2.695664757,3.250231954,6.894778079,7.2744975,3.023506731,,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,,6.742425411,3.130860989,3.415180123,2.672255037,3.222006255,6.894206357,7.273894291,2.997249962,,3.81E-04,0.00021495,0.000243107,0.00013181,0.000142498,0.000414424,0.000465142,1.57E-04
257,Ederson,GK,6.1,MCI,37.06725313,37.18899792,22.53511715,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.289125863,3.484741714,4.429205831,4.429174922,3.973935352,8.25860955,4.228101735,4.227420956,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,4.251878191,3.454479483,4.390741675,4.390711035,3.93942486,8.257924738,4.191384009,4.190709143,,0.001074547,0.000882163,0.001076476,0.001506825,0.001199508,0.002254878,0.000924255,1.15E-03
69,R Sanchez,GK,4.6,BHA,33.32803401,33.4497788,21.40761792,,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.556225546,3.443667638,6.313320817,3.990479546,3.970954679,3.60375473,3.753374065,3.93344171,,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.516658324,3.413762104,6.31279731,3.955825381,3.936470073,3.572458965,3.720778975,3.899282874,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00
353,Lloris,GK,5.4,TOT,34.56259746,34.68434225,21.17869298,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.201401734,3.572942113,4.195257382,3.892323827,3.819910175,6.574533614,4.367023276,4.184938744,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,4.164915877,3.541913932,4.158824884,3.858522067,3.786737271,6.573988448,4.329099126,4.148595855,,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,0.00E+00
270,de Gea,GK,5.2,MUN,32.73354415,32.91813531,20.99068104,,87.42857143,87.42857143,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,3.68972341,3.721865846,7.244487071,3.336550493,4.055642772,3.749553596,3.550516649,3.726455542,,0.986842105,0.986842105,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,3.641174417,3.672893927,7.243108319,3.292648513,4.002279051,3.700217365,3.503799325,3.677423232,,0,0,0,0,0,0,0,0
