ID,Name,Pos,Price,Team,xPts GW36-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,36,37,38,xPts if play,36,37,38,Probability to play,36,37,38,xPts,36,37,38,npG,36,37,38
30,Martinez,GK,5.5,AVL,18.04332986,18.06102996,16.13315648,,175.6180952,175.6180952,87.80904762,,6.847969886,8.240650686,2.981855511,,0.999917079,0.999917079,0.991315789,,6.847402045,8.239967363,2.95596045,,0.000118171,0.000152289,3.33E-05
170,Pickford,GK,4.8,EVE,17.84398857,17.86168868,15.93959905,,175.6180952,175.6180952,87.80904762,,6.864108827,7.822619014,3.186147745,,0.999917079,0.999917079,0.991315789,,6.863539649,7.821970355,3.158478567,,0.000352956,0.000371069,1.24E-04
257,Ederson,GK,6.1,MCI,16.98847183,17.02337451,15.35553421,,175.6180952,87.80904762,87.80904762,,8.802014785,3.946711719,4.312197297,,0.999917079,0.991315789,0.991315789,,8.801284914,3.912437644,4.274749268,,0.001891035,0.00084357,9.54E-04
231,Alisson,GK,6,LIV,16.92676462,16.97977684,15.15105307,,174.8571429,87.42857143,87.42857143,,8.045807181,4.164540241,4.83638164,,0.999809683,0.986842105,0.986842105,,8.044275923,4.109743659,4.772745039,,0.001489744,0.000816208,8.98E-04
200,Schmeichel,GK,4.9,LEI,16.94553132,16.96323142,15.22536372,,175.6180952,175.6180952,87.80904762,,7.479865825,6.077738703,3.418740055,,0.999917079,0.999917079,0.991315789,,7.479245587,6.077234732,3.389050997,,0.000692834,0.000442905,3.17E-04
143,E Mendy,GK,6.1,CHE,16.32145155,16.42823623,14.74307751,,172.6190476,86.30952381,86.30952381,,8.124856525,4.025518242,4.398954523,,0.999239237,0.973684211,0.973684211,,8.118675439,3.919583551,4.283192561,,0,0,0.00E+00
559,Ramsdale,GK,5.1,ARS,16.07992071,16.1148234,14.39275633,,175.6180952,87.80904762,87.80904762,,7.620798953,4.08704687,4.446816681,,0.999917079,0.991315789,0.991315789,,7.620167029,4.051554094,4.408199589,,1.04E-03,0.000444368,5.41E-04
353,Lloris,GK,5.4,TOT,14.64114608,14.67604877,13.04734876,,175.6180952,87.80904762,87.80904762,,6.494324724,4.187752895,4.030980188,,0.999917079,0.991315789,0.991315789,,6.493786208,4.151385567,3.995974307,,0,0,0.00E+00
112,Pope,GK,5.4,BUR,14.26325248,14.31626469,12.35751144,,87.42857143,174.8571429,87.42857143,,3.844818352,6.432174986,4.091913983,,0.986842105,0.999809683,0.986842105,,3.794228637,6.430950831,4.03807301,,0.00010433,0.000165229,0.000116887
146,Guaita,GK,4.6,CRY,14.02247478,14.18379065,12.35982228,,85.19047619,170.3809524,85.19047619,,4.133323543,6.778120002,3.420815347,,0.960526316,0.998289435,0.960526316,,3.970166035,6.766525586,3.285783163,,1.70E-04,0.000216605,1.32E-04
475,Sa,GK,5.2,WOL,13.74187505,13.77677774,12.3940517,,175.6180952,87.80904762,87.80904762,,6.475648615,4.327392842,3.003029495,,0.999917079,0.991315789,0.991315789,,6.475111648,4.289812851,2.976950554,,0.00E+00,0.00E+00,0.00E+00
199,Meslier,GK,4.8,LEE,13.23197021,13.2668729,11.8766013,,175.6180952,87.80904762,87.80904762,,6.20783425,3.735946776,3.350241902,,0.999917079,0.991315789,0.991315789,,6.207319491,3.703503028,3.321147696,,0,0,0.00E+00
314,Krul,GK,4.5,NOR,11.05666772,11.19608017,10.09301896,,170.402381,85.20119048,85.20119048,,5.516217255,3.172605701,2.571440905,,0.998714829,0.965789474,0.965789474,,5.509127973,3.06406919,2.483470558,,0.000576611,0.000245636,2.74E-04
69,R Sanchez,GK,4.5,BHA,10.98367005,11.03577531,9.527187526,,87.80904762,87.80904762,87.80904762,,3.59121966,3.615129444,3.873541044,,0.991315789,0.991315789,0.991315789,,3.560032752,3.583734899,3.839902398,,0,0,0
80,Raya,GK,4.3,BRE,10.77919532,10.83130059,9.385896319,,87.80904762,87.80904762,87.80904762,,3.669275117,3.529578951,3.674770098,,0.991315789,0.991315789,0.991315789,,3.637410359,3.498927345,3.642857621,,0,0,0
376,Foster,GK,4.1,WAT,10.27810301,10.60754894,9.653007401,,162.8333333,81.41666667,81.41666667,,5.685219076,2.838504495,2.190202599,,0.993171773,0.921052632,0.921052632,,5.646399112,2.614412035,2.017291868,,0.000412622,0.000248098,0.000129209
408,Fabianski,GK,5,WHU,9.90913541,10.14597751,8.825817563,,85.19047619,85.19047619,85.19047619,,3.809388756,2.931161464,3.575809933,,0.960526316,0.960526316,0.960526316,,3.659018147,2.815457722,3.434659541,,0,0,0
295,Dubravka,GK,4.5,NEW,9.637642097,9.716589466,8.306152035,,87.42857143,87.42857143,87.42857143,,2.731555565,3.432233356,3.602355071,,0.986842105,0.986842105,0.986842105,,2.695614045,3.38707239,3.554955662,,0,0,0
270,de Gea,GK,5.1,MUN,7.430463044,9.483094623,8.228473958,,87.42857143,0,87.42857143,,3.763515889,0.00127,3.766019996,,0.986842105,0,0.986842105,,3.713995943,0,3.716467101,,0,0,0
333,Forster,GK,4.4,SOU,6.492481334,8.045112913,7.049947025,,77.67857143,65.25,51.17857143,,3.237102551,2.600092428,2.851943158,,0.881578947,0.75,0.592105263,,2.853761459,1.950069321,1.688650554,,0,0,0
334,McCarthy,GK,4.3,SOU,2.183490831,6.551911883,5.653329452,,11.84210526,23.94736842,38.54761905,,3.002248067,2.365962694,2.768861518,,0.131578947,0.263157895,0.421052632,,0.39503264,0.622621762,1.165836429,,0.003156654,0.002612596,0.003331595
