Name,Pos,Price,Team,xMins,Total,Adjusted
Nketiah,FWD,£5.5,ARS,3.2,7.7,75.7
Perica,FWD,£4.5,WAT,0.8,1.6,75.6
Dennis,FWD,£5.0,WAT,0.8,1.6,75.6
Origi,FWD,£5.0,LIV,0.5,1.6,75.6
Success,FWD,£5.0,WAT,0.7,1.4,75.4
Mebude,FWD,£4.5,WAT,0.8,1.4,75.4
Cucho,FWD,£5.0,WAT,1.8,3.4,75.4
Fletcher,FWD,£5.0,WAT,1.6,3.3,75.3
Dervi?o?lu,FWD,£5.5,BRE,4.2,7.1,75.1
Gayle,FWD,£5.5,NEW,14.2,35.0,75.0
Wesley,FWD,£5.5,AVL,1.1,2.9,74.9
Idah,FWD,£5.0,NOR,3.7,6.8,74.8
Hugill,FWD,£5.5,NOR,14.7,26.6,74.6
Davis,FWD,£4.5,AVL,2.6,6.4,74.4
Rodriguez,FWD,£5.5,BUR,36.8,68.1,74.1
Obafemi,FWD,£4.5,SOU,18.9,33.9,73.9
Joelinton,FWD,£6.0,NEW,22.1,42.3,70.3
Barnes,FWD,£5.5,BUR,15.8,41.0,69.0
