ID,Name,Pos,Price,Team,Pts,38
180456,Koch,DEF,4.3,LEE,,2.354392734
189708,Rodon,DEF,4.5,TOT,,0.560845845
45111,Christensen,DEF,5,CHE,,0.236552581
23101,Amartey,DEF,4.1,LEI,,1.020796365
92428,Soyuncu,DEF,4.4,LEI,,1.250702453
176637,Cooper,DEF,4.5,LEE,,2.225913877
24075,Holding,DEF,4.6,ARS,,2.784128999
23376,Lowton,DEF,4.6,BUR,,2.974069521
230254,Duffy,DEF,4.6,BHA,,2.979939618
280703,Kenedy,DEF,5,CHE,,0.208347509
23018,J Ward,DEF,4.3,CRY,,0.623359245
67736,Johnson,DEF,4.3,WHU,,0.946839268
176643,Struijk,DEF,4.1,LEE,,1.677973212
23188,Shaw,DEF,5.4,MUN,,2.59914036
134588,Pieters,DEF,4.6,BUR,,2.989950486
23015,Tomkins,DEF,4.5,CRY,,0.710505418
192204,Roerslev,DEF,4.4,BRE,,1.008409421
23252,Bardsley,DEF,4,BUR,,0.085966318
23120,Gomez,DEF,5,LIV,,0.46970751
45117,Ritchie,DEF,4.2,NEW,,0.143619119
23037,Kelly,DEF,4,CRY,,0.054884847
23544,Kouyate,DEF,4.6,CRY,,0.976153855
88625,Vestergaard,DEF,4.9,LEI,,2.37433905
230255,Jach,DEF,4.5,CRY,,0.643677576
25865,Manquillo,DEF,4,NEW,,0.048955382
23171,Bailly,DEF,5,MUN,,2.291415063
45114,Dummett,DEF,4.5,NEW,,1.273170258
274845,P Jones,DEF,4.5,MUN,,0
226984,Firpo,DEF,4.3,LEE,,2.224925192
192723,Omobamidele,DEF,4,NOR,,0
225300,Troost-Ekong,DEF,4.2,WAT,,0.988488121
176652,Ayling,DEF,4.3,LEE,,1.677973212
203020,Kabak,DEF,4.3,NOR,,0.354346189
23466,F Fernandez,DEF,4.4,NEW,,1.2863345
192734,Zimmermann,DEF,4.4,NOR,,0.354346189
192197,Pinnock,DEF,4.5,BRE,,2.630608071
132423,Hause,DEF,4.5,AVL,,0
23241,Bertrand,DEF,4.5,LEI,,1.250702453
274923,Patterson,DEF,4.5,EVE,,1.473137977
259132,Zanka,DEF,4.5,BRE,,2.630608071
178020,N Ferguson,DEF,4.5,CRY,,0.623359245
225299,Sierralta,DEF,4.5,WAT,,1.109643425
134708,Konsa,DEF,4.6,AVL,,0
157546,Tanganga,DEF,4.6,TOT,,0.560845845
241952,Romero,DEF,4.7,TOT,,3.994635092
185167,Semedo,DEF,4.8,WOL,,0.339141495
106466,Kilman,DEF,4.8,WOL,,0.339141495
88539,Saiss,DEF,4.9,WOL,,0.339141495
237976,Livramento,DEF,4.9,SOU,,2.004599628
88449,Diop,DEF,4.9,WHU,,1.066381466
226790,Perraud,DEF,4.9,SOU,,2.004599628
23278,Ogbonna,DEF,5.1,WHU,,2.761738031
88464,Doherty,DEF,5.2,TOT,,4.265589367
184661,Reguilon,DEF,5.3,TOT,,4.265589367
139989,Tierney,DEF,5.7,ARS,,4.289409028
186737,Dias,DEF,6.3,MCI,,4.077139434
24083,Chilwell,DEF,6.4,CHE,,4.993638716
274593,Bradley,DEF,4,LIV,,0
274594,Beck,DEF,4,LIV,,0
274592,Koumetio,DEF,4,LIV,,0
273787,Ashby,DEF,4,WHU,,0
273846,McCarron,DEF,4,LEE,,0
280662,Hjelde,DEF,4.5,LEE,,2.279182804
260200,C Cresswell,DEF,4.5,LEE,,2.278573626
242872,Valery,DEF,4,SOU,,0.166316426
46637,Walker-Peters,DEF,4.7,SOU,,2.004599628
262155,Nkoulou,DEF,4.5,WAT,,1.12608215
92422,Mina,DEF,5,EVE,,1.550539841
24382,Masuaku,DEF,4.9,WHU,,1.183278288
88479,Masina,DEF,4.4,WAT,,1.109643425
88450,Fredericks,DEF,4.5,WHU,,1.066381466
225312,Mosquera,DEF,4.5,WOL,,0.100799348
131352,Godfrey,DEF,4.5,EVE,,1.488700965
45003,Bednarek,DEF,4.2,SOU,,1.614708617
242875,Branthwaite,DEF,4,EVE,,0.508328424
184652,Hoever,DEF,4.5,WOL,,0.190200489
242874,Kenny,DEF,4.4,EVE,,1.473137977
182753,Marcal,DEF,4.7,WOL,,0.339141495
178201,Salisu,DEF,4.4,SOU,,1.785078586
256301,Lyanco,DEF,4.5,SOU,,1.758875648
192733,Gibson,DEF,4.3,NOR,,0.664314765
23242,J Stephens,DEF,4.5,SOU,,1.79114257
192749,J Sorensen,DEF,4.5,NOR,,0.722709033
150363,B Williams,DEF,4.2,NOR,,0.354346189
225298,Ngakia,DEF,4.5,WAT,,1.19348769
23378,Keane,DEF,4.7,EVE,,1.533901776
274827,Mykolenko,DEF,4.5,EVE,,1.624528711
23059,Coleman,DEF,4.3,EVE,,1.401587697
23503,Cathcart,DEF,4.1,WAT,,0.988488121
131320,Holgate,DEF,4.5,EVE,,1.38444247
192718,Byram,DEF,4.5,NOR,,1.161162569
225290,Young,DEF,5,AVL,,1.083953224
280711,Toti,DEF,4.5,WOL,,0.678008107
91162,Jonny,DEF,4.7,WOL,,1.122397221
192743,Hanley,DEF,4.4,NOR,,1.138559288
225479,Giannoulis,DEF,4.5,NOR,,0.982111829
45060,Femenia,DEF,4.3,WAT,,1.082093823
192745,Aarons,DEF,4.2,NOR,,0.986478243
187323,Ait-Nouri,DEF,4.8,WOL,,0.954394006
278660,Samir,DEF,4.5,WAT,,0.933542995
23265,Kabasele,DEF,4,WAT,,0.880906036
88556,Boly,DEF,4.5,WOL,,0.944984499
88496,Coady,DEF,4.9,WOL,,0.929094244
91483,Digne,DEF,5.2,AVL,,0.971994162
176667,Chambers,DEF,4.5,AVL,,0.859759601
181873,Cash,DEF,5.2,AVL,,0.840341539
276427,H Kamara,DEF,4,WAT,,0.787490335
131314,Mings,DEF,4.9,AVL,,0.687086477
23472,Son,MID,10.5,TOT,,8.077400532
23126,Mane,MID,10.6,LIV,,7.419717237
23161,De Bruyne,MID,11.6,MCI,,6.687453354
139802,Mount,MID,7.2,CHE,,6.221410316
55898,Foden,MID,8.2,MCI,,6.34841655
106430,Saka,MID,7,ARS,,6.047415257
23153,Sterling,MID,9.5,MCI,,6.756721772
88492,Maddison,MID,7,LEI,,5.657413226
45106,Salah,MID,13.6,LIV,,7.341302546
283021,Diaz,MID,5.7,LIV,,5.699308306
187805,Raphinha,MID,7.5,LEE,,5.199234231
182529,Havertz,MID,7.9,CHE,,6.318822523
45081,B Silva,MID,7.3,MCI,,5.23282022
283053,Eriksen,MID,5.8,BRE,,4.990762874
88567,Jota,MID,7.9,LIV,,6.320940269
23023,Zaha,MID,7.2,CRY,,4.901014782
160701,Fernandes,MID,11.3,MUN,,4.810373878
192214,Mbeumo,MID,6,BRE,,5.037801038
201990,Odegaard,MID,6.3,ARS,,5.210841385
291491,Kulusevski,MID,6.9,TOT,,5.325773536
161049,Bowen,MID,6.9,WHU,,4.752647467
140008,Martinelli,MID,5.5,ARS,,5.15634098
256300,Cornet,MID,5.7,BUR,,4.901383438
132424,Trossard,MID,6.6,BHA,,4.809471988
132974,Rodri,MID,5,MCI,,3.959208643
45039,H Barnes,MID,7.2,LEI,,5.604868846
283020,Guimaraes,MID,5.3,NEW,,4.190878491
24092,Hojbjerg,MID,5.1,TOT,,4.178712139
23121,J Henderson,MID,5.1,LIV,,4.027684899
139204,Saint-Maximin,MID,6.8,NEW,,4.298836864
176658,Harrison,MID,6.1,LEE,,4.303028811
23404,Ward-Prowse,MID,6.9,SOU,,4.06476073
23337,Xhaka,MID,4.9,ARS,,4.03200501
163914,Mac Allister,MID,5.6,BHA,,4.276866993
184630,Gallagher,MID,6.2,CRY,,4.157989728
23394,Loftus-Cheek,MID,5.5,CHE,,3.605131216
88518,Keita,MID,5.1,LIV,,3.655901311
161009,Brownhill,MID,5.2,BUR,,3.810705169
242878,Dewsbury-Hall,MID,4.5,LEI,,3.472719203
96761,McNeil,MID,5.7,BUR,,4.092457497
23109,Mahrez,MID,8.7,MCI,,6.243663042
132425,Fornals,MID,6.1,WHU,,4.029870549
197966,Smith Rowe,MID,6.4,ARS,,5.199967872
291492,Bentancur,MID,5,TOT,,3.331691353
203010,Caicedo,MID,4.5,BHA,,3.232674959
184638,Thiago,MID,5.5,LIV,,4.179539399
110910,Tielemans,MID,6.4,LEI,,4.061216894
192201,Norgaard,MID,4.5,BRE,,3.264349988
257179,Cucurella,MID,4.5,BHA,,3.32931588
23464,Cork,MID,4.5,BUR,,3.280081026
183359,Elneny,MID,4.5,ARS,,3.234990563
77665,Lucas Moura,MID,6.3,TOT,,4.84268297
160700,Soucek,MID,6,WHU,,3.845334072
176631,Ziyech,MID,6.9,CHE,,4.345858375
219749,Elanga,MID,4.5,MUN,,2.997273379
242911,Wissa,MID,5.5,BRE,,4.299508248
180321,Eze,MID,6,CRY,,3.850375765
176655,Klich,MID,5.3,LEE,,3.603556604
132434,Pulisic,MID,7.7,CHE,,5.920458984
176648,K Phillips,MID,5,LEE,,3.110740197
95817,S Longstaff,MID,5,NEW,,2.954367679
32973,Rice,MID,5.1,WHU,,3.132467671
88532,Fred,MID,5.1,MUN,,3.489368371
40951,McTominay,MID,5.5,MUN,,3.472649178
23103,Schlupp,MID,5.6,CRY,,3.402783522
242910,Elyounoussi,MID,5.3,SOU,,3.58810772
90433,Bissouma,MID,4.5,BHA,,2.872422634
23226,Redmond,MID,6,SOU,,3.82437347
160697,Bergwijn,MID,5.9,TOT,,4.685771888
131338,Grealish,MID,7.4,MCI,,5.001166927
186746,Lookman,MID,6,LEI,,3.912872692
230256,Lees-Melou,MID,5,NOR,,3.116341721
28842,Sissoko,MID,4.5,WAT,,2.835639684
192730,Dowell,MID,5,NOR,,3.154592482
23160,Gundogan,MID,7.4,MCI,,5.165538605
23326,Iwobi,MID,5.5,EVE,,3.243397915
278661,Coutinho,MID,6.5,AVL,,3.494246297
110898,Almiron,MID,5.5,NEW,,3.92178074
225295,Rashica,MID,5.4,NOR,,3.393318663
242870,A Gordon,MID,4.5,EVE,,2.952446632
88507,S Armstrong,MID,5.7,SOU,,3.674470246
131333,McGinn,MID,5.6,AVL,,2.868845873
189709,Benrahma,MID,5.8,WHU,,3.868985961
45084,Gross,MID,5.7,BHA,,4.176166877
91130,Moutinho,MID,5.7,WOL,,2.866633204
88639,Jorginho,MID,5.5,CHE,,2.180615308
234800,D Gray,MID,5.6,EVE,,3.482707119
23194,Rashford,MID,7.9,MUN,,3.768992983
186002,J Ramsey,MID,4.7,AVL,,2.546462802
257277,Saul,MID,6,CHE,,3.684526571
23102,Kante,MID,5.1,CHE,,1.432285564
88466,Neves,MID,6.1,WOL,,2.958179184
192211,Janelt,MID,5,BRE,,3.50843024
23539,Lanzini,MID,5.5,WHU,,3.427070525
23058,Barkley,MID,5.5,CHE,,2.126248928
257281,Normann,MID,5,NOR,,2.774195119
192736,Rupp,MID,4.5,NOR,,2.214531081
23492,Doucoure,MID,5.9,EVE,,3.130842713
228177,Sancho,MID,7.7,MUN,,3.607408844
92413,Dendoncker,MID,5,WOL,,2.036270076
23236,Romeu,MID,4.5,SOU,,2.447089139
192212,Canos,MID,5.3,BRE,,3.606168387
226985,Mwepu,MID,5.5,BHA,,3.412181257
183010,Fraser,MID,5.8,NEW,,3.867345793
138306,Pepe,MID,7.4,ARS,,6.012723915
278691,Kayembe,MID,4.5,WAT,,2.179405272
92389,Kovacic,MID,5.1,CHE,,1.034678638
137792,Douglas Luiz,MID,5,AVL,,2.707136194
45036,W Hughes,MID,4.5,CRY,,1.703176175
23053,Cleverley,MID,5,WAT,,2.883018248
192210,Jensen,MID,5,BRE,,3.643583678
160975,Podence,MID,5.4,WOL,,2.584498807
185623,Murphy,MID,5,NEW,,1.232571486
139207,Neto,MID,5.9,WOL,,3.199510126
184926,Tella,MID,5,SOU,,2.759568068
255775,Lennon,MID,5,BUR,,3.340931266
94552,N Mendy,MID,4.5,LEI,,1.365610626
23310,Fernandinho,MID,5,MCI,,0.5627156
182530,Allan,MID,4.4,EVE,,1.792051327
154682,C Jones,MID,4.6,LIV,,0.581503963
88550,Fabinho,MID,5.4,LIV,,3.929615575
45069,Perez,MID,6,LEI,,3.760084871
23099,Albrighton,MID,5.5,LEI,,3.447441391
144450,Gilmour,MID,4.5,NOR,,0.687957968
181309,van de Beek,MID,5.8,EVE,,3.384244487
23008,Matic,MID,5,MUN,,2.964897416
23117,Milner,MID,5,LIV,,1.274842972
225311,Sema,MID,5.4,WAT,,2.96158657
69539,Hudson-Odoi,MID,5.5,CHE,,1.568966882
282728,Kalu,MID,5.5,WAT,,3.034762158
274590,Vale,MID,4,CHE,,0.369746052
23482,Alli,MID,6.1,EVE,,3.195101705
23028,McArthur,MID,4.5,CRY,,0.467272993
23353,Gosling,MID,4.5,WAT,,1.354769805
23177,Mata,MID,5,MUN,,3.195107493
233400,Lokonga,MID,5,ARS,,3.899781817
230249,Olise,MID,5.4,CRY,,1.824355632
192735,Buendia,MID,6.3,AVL,,3.111236798
241953,Elliott,MID,5.5,LIV,,3.946140041
242906,Palmer,MID,4.5,MCI,,0
225306,Baah,MID,4,WAT,,0
192744,Skipp,MID,4.5,TOT,,0
259750,Summerville,MID,4.5,LEE,,0
230251,Etebo,MID,4.5,WAT,,0
33589,Ndidi,MID,5,LEI,,3.472719203
206669,Moder,MID,5,BHA,,3.232674959
192747,McLean,MID,5,NOR,,2.214531081
176657,Forshaw,MID,5,LEE,,0
192216,Ghoddos,MID,5,BRE,,3.264349988
176664,T Roberts,MID,5.1,LEE,,3.110740197
84632,Willock,MID,5.4,NEW,,4.190878491
176640,Dallas,MID,5.4,LEE,,3.603556604
272775,Sarmiento,MID,5.5,BHA,,3.232674959
35693,Westwood,MID,5.5,BUR,,3.808863635
242864,Kucka,MID,5.5,WAT,,2.96158657
225310,Louza,MID,5.5,WAT,,2.96158657
187806,Partey,MID,5.5,ARS,,3.899781817
23016,Townsend,MID,5.6,EVE,,3.243397915
45042,Shelvey,MID,6,NEW,,3.867345793
132426,D James,MID,6,LEE,,3.603556604
139971,I Sarr,MID,6.2,WAT,,3.034762158
