fbref ID,FPL code,FPL ID,FT ID
77e84962,61558,310,184638
f315ca93,214285,311,178132
e06683ca,97032,313,23238
0480ebc7,174310,314,3584405
f098c03e,208904,315,3591231
399e9474,165183,316,3584378
a681b7b7,156658,318,3584406
858409be,193195,319,3584401
7c5fa6cf,96784,320,3584393
bf33b257,244262,321,3584388
636b64cd,49083,322,3584404
5c42b6b6,422303,324,3584399
2da834f1,156700,326,3584386
788c0277,229164,328,3584410
cd889153,199056,330,3584398
ee7c0a5e,77818,335,3584394
d3085b49,91046,340,3584395
89ac64a6,211975,341,2258875
eaeca114,126184,342,23346
15ab5a2b,461358,343,1677502
3eb22ec9,165809,344,45081
e46012d4,61366,349,23161
31c69ef1,171314,350,186737
3bb7b8b4,121160,352,45113
ed1e53f3,209244,353,55898
b0b4fd3e,114283,354,131338
1f44ac21,223094,355,1677501
79c0821a,91651,356,92389
b57e066e,477064,358,2087563
c1242d4e,88248,361,1758327
dc7f8a28,244851,362,242906
4f565d77,155405,364,176648
6434f10d,220566,365,132974
5eecec3d,97299,368,23044
86dd77d1,58621,369,23260
99127249,467169,372,2229322
507c7bdf,141746,373,160701
4d224fe8,61256,376,2170280
d9565625,216051,377,242908
2fba6108,449434,378,219749
980522ec,80607,379,283053
7aa8adfe,493105,382,1214404
a6de6361,21205,384,176811
e5a76dfe,172649,385,137863
f5deef4c,184667,386,45053
d8931174,95658,387,23076
6b6c793c,222690,389,1777193
bac46a10,221820,391,1818085
d93c2511,195851,392,40951
9f8e9423,90152,395,241033
a1d5bd30,176297,396,23194
dbf053da,209243,397,228177
9c94165b,106760,398,23188
50dc94ce,180184,400,181309
9e525177,214590,401,32948
862a1c15,179018,402,110898
de31038e,215379,403,200376
ccce7025,220237,405,1727421
82518f62,208706,406,283020
b2d31e83,78916,407,92423
3a949a25,67089,409,77662
2bd83368,232826,412,242870
8e92be30,219168,415,2200000
c17bfb65,180974,416,137599
77cf6852,111773,417,139838
450ab6fc,101148,419,45072
a2b105e0,180135,421,95817
de112b84,114243,423,185623
4b40d9ca,98747,424,24087
c8aa95da,119471,427,91161
e514ab62,169359,428,92386
0db169ae,432422,429,3591232
21512407,77794,430,278659
a3b03921,200089,432,84632
c596fcb0,75115,433,23360
5c2b4f07,80226,436,2324889
e5478b87,210156,437,1727417
a4ac4b8f,90585,439,88556
a816dbfb,513046,442,2871381
2c44a35d,230251,443,225321
51a3c4c8,116404,445,2930175
98d2c2c4,89076,446,2079176
32f60ed8,222531,447,88531
76eca7e2,20066,448,233402
0cd31129,242898,450,230991
8d3c902d,55037,451,23544
a572e291,179519,453,1954997
4e5a4cbc,168281,455,230974
00242715,199170,457,1783668
089667a5,243345,458,1855090
a2d873dd,201440,466,3556541
dd323728,215136,467,156926
4e9a0555,60689,468,57345
a5212312,208912,469,230975
c1fe2a48,204968,470,230985
eab957a3,233821,471,3584339
394854c4,82691,473,3584381
1aa84968,40386,474,3584338
d0b6129f,207189,475,3584353
ae5019e6,226182,476,3584373
30e81a88,195473,477,3584352
71894777,102549,479,3584343
debe38a0,108416,480,3584384
b63e789d,47247,481,3584369
96cf7b61,82143,482,3584350
03edb878,523700,483,3584360
7af88b33,155197,484,3584355
78b8ac63,169432,485,3584364
43439614,79934,488,3584376
79bc4c45,167878,489,3584341
7b355808,538207,490,3584389
3b8674e6,202993,492,291492
6c203af0,227127,493,90433
44781702,115556,495,23490
ac861941,93264,496,23479
df8b52a5,241157,497,257275
c3e39f12,40383,498,178022
8b04d6c1,132015,499,24092
df3cda47,445044,501,291491
d7553721,200826,503,3556530
ee38d9c5,172780,504,88492
27d0a506,441164,506,2930177
6fe90922,45034,507,1677508
3353737a,199249,508,184661
fa031b34,212319,509,45474
a3d94a58,221632,511,241952
feb5d972,482442,513,1783664
6250083a,209042,515,192744
92e7e919,85971,516,23472
7cd520e8,487053,519,3556529
77d6fd4d,184254,520,3584409
288e1e13,210494,522,1695166
ac05f970,57531,523,23550
2f965a72,84182,524,183126
5a04fd92,172841,525,189709
79c84d1c,178186,526,161049
beb391dd,149519,527,256300
fdf3cb77,164555,528,186817
4f974391,55459,530,23543
e0bc6fdc,109533,532,2193866
9328b835,37096,533,23448
82927de4,217593,534,132425
07802f7f,84939,535,23134
9319781b,222018,536,67736
51dbeea9,201057,537,2139825
92868cb5,487837,538,3636596
9b6f7fd5,224024,539,2235927
1c7012b8,204480,540,32973
6613c819,215439,542,160700
ce4246f5,103192,544,23000
9b398aea,448514,545,187323
68db6358,79602,546,2911676
bfc3b3a0,490721,548,2584318
3e9e06cb,60232,551,132438
e7aa9d7c,449988,552,182752
73b1d65b,232351,553,3627792
