Name,FFS 17,FFS 18,FFS 19,FFS 20,FFS 21,FFS 22,FFS 23,fbref,fbref ID,FPL code,FPL ID,FPL name,FPL pos,Team,FPL price,FT ID,FanTeam name,FT pos,FT price,DOB
J Ramsey,,,,Jacob Ramsey,Jacob Ramsey,Jacob Ramsey,Jacob Ramsey,Jacob Ramsey,1544f145,232653,55,J.Ramsey,MID,Aston Villa,5.9,186002,Ramsey,MID,6.5,37039
Tielemans,,Tielemans,Tielemans,Tielemans,Tielemans,Tielemans,Tielemans,Youri Tielemans,56f7a928,166989,58,Tielemans,MID,Aston Villa,5.9,110910,Tielemans,MID,6,35557
Bailey,,,,,Bailey,Bailey,Bailey,Leon Bailey,3a233281,215711,34,Bailey,MID,Aston Villa,5.5,240547,Bailey,MID,6,35651
Luiz,,,Douglas Luiz,Douglas Luiz,Douglas Luiz,Douglas Luiz,Douglas Luiz,Douglas Luiz,6f7d826d,230046,43,Douglas Luiz,MID,Aston Villa,5.5,137792,Luiz,MID,6,35924
McGinn,,,McGinn,McGinn,McGinn,McGinn,McGinn,John McGinn,90f91999,122806,50,McGinn,MID,Aston Villa,5.5,131333,McGinn,MID,5.5,34625
Dendoncker,,Dendoncker,Dendoncker,Dendoncker (Leander),Dendoncker (Leander),Dendoncker (Leander),Dendoncker (Leander),Leander Dendoncker,5a7301ae,151589,40,Dendoncker,MID,Aston Villa,4.9,92413,Dendoncker,MID,4.5,34804
Kamara,,,,,,Kamara,Kamara,Boubacar Kamara,cc77354e,226944,47,Kamara,MID,Aston Villa,5,1697059,Kamara,MID,4.5,36487
Zaniolo,,,,,,,Zaniolo,NicolÚ Zaniolo,9907b1c8,245414,672,Zaniolo,MID,Aston Villa,5.5,3643324,Zaniolo,MID,5.5,36343
Watkins,,,,Watkins,Watkins,Watkins,Watkins,Ollie Watkins,aed3a70f,178301,60,Watkins,FWD,Aston Villa,8,183114,Watkins,FWD,8,35063
Archer,,,,,Archer,Archer,Archer,Cameron Archer,05e8ca6d,433979,33,Archer,FWD,Sheffield Utd,4.5,1783649,Archer,FWD,5,37093
N Neto,,,,,,Neto (Murara),Neto (Murara),Neto,a9dc785c,69752,77,Neto,GK,Bournemouth,4.5,2019410,Neto,GK,4.6,32708
Travers,,Travers,Travers,,,Travers,Travers,Mark Travers,fe558029,229600,88,Travers,GK,Bournemouth,4,230737,Travers,GK,4.5,36298
Fredericks,,Fredericks,Fredericks,Fredericks,Fredericks,Fredericks,Fredericks,Ryan Fredericks,c067631c,81012,68,Fredericks,DEF,Bournemouth,4.4,88450,Fredericks,DEF,4,33887
Kelly,,,Kelly (Lloyd),,,Kelly (Lloyd),Kelly,Lloyd Kelly,f31def1e,235530,70,Kelly,DEF,Bournemouth,4.5,230736,Kelly,DEF,4,36069
Mepham,,Mepham,Mepham,,,Mepham,Mepham,Chris Mepham,fed96827,223911,75,Mepham,DEF,Bournemouth,4.4,230738,Mepham,DEF,4,35739
Senesi,,,,,,Senesi,Senesi,Marcos Senesi,35141f4c,221466,83,Senesi,DEF,Bournemouth,4.4,2018115,Senesi,DEF,4,35560
Smith,A Smith,A Smith,A Smith,,,Smith (Adam),Smith (Adam),Adam Smith,20b104bc,54469,84,Smith,DEF,Bournemouth,4.4,230742,Smith,DEF,4,33357
Zabarnyi,,,,,,Zabarnyi,Zabarnyi,Illia Zabarnyi,88968486,477580,89,Zabarnyi,DEF,Bournemouth,4.5,2930173,Zabarnyi,DEF,4,37500
Kerkez,,,,,,,Kerkez,Milos Kerkez,0ad53bdc,544877,595,Kerkez,DEF,Bournemouth,4.5,3628155,Kerkez,DEF,4.4,37932
Aarons,,,Aarons (Maximillian),,Aarons,,Aarons,Max Aarons,774cf58b,232980,643,Aarons,DEF,Bournemouth,4.5,192745,Aarons,DEF,4,36529
Billing,Billing,Billing,Billing,,,Billing,Billing,Philip Billing,d328a254,168991,63,Billing,MID,Bournemouth,5.4,230745,Billing,MID,6,35227
Tavernier,,,,,,Tavernier,Tavernier,Marcus Tavernier,5c0da4a4,201658,86,Tavernier,MID,Bournemouth,5.4,1954998,Tavernier,MID,6,36241
Anthony,,,,,,Anthony,Anthony,Jaidon Anthony,e4238fb1,444180,62,Anthony,MID,Bournemouth,4.9,230755,Anthony,MID,5,36495
Brooks,,Brooks,Brooks,,,Brooks,Brooks (David),David Brooks,dc4cae05,111317,64,Brooks,MID,Bournemouth,4.9,230752,Brooks,MID,5,35619
Christie,,Christie,,,,Christie,Christie,Ryan Christie,26ce2263,158499,65,Christie,MID,Bournemouth,5,258290,Christie,MID,4.5,34752
Cook,L Cook,L Cook,L Cook,,,Cook (Lewis),Cook (Lewis),Lewis Cook,2afc7272,155408,66,L.Cook,MID,Bournemouth,5,230747,Cook,MID,4.5,35464
Kluivert,,,,,,,Kluivert,Justin Kluivert,4c3a6744,222683,72,Kluivert,MID,Bournemouth,4.9,3584408,Kluivert,MID,6,36285
Ouattara,,,,,,Dango Ouattara,Dango Ouattara,Dango Ouattara,2f9e4435,533463,78,O.Dango,MID,Bournemouth,4.9,2882402,Ouattara,MID,5,37298
Rothwell,,,,,,Rothwell,Rothwell,Joe Rothwell,10a10454,156685,81,Rothwell,MID,Bournemouth,5,1727419,Rothwell,MID,4.5,34710
H Traore,,,,,,Traore (Hamed),Traore (Hamed),Hamed Junior TraorË,570bb4b9,424044,87,Hamed TraorË,MID,Bournemouth,4.9,2930176,Traore,MID,5,36572
Scott,,,,,,,Scott,Alex Scott,104d0bb8,503139,644,Scott,MID,Bournemouth,5,3638526,Scott,MID,4.5,37854
Solanke,Solanke,Solanke,Solanke,,,Solanke,Solanke,Dominic Solanke,e77dc3b2,154566,85,Solanke,FWD,Bournemouth,6.5,230753,Solanke,FWD,6.5,35687
Moore,,,,,,Moore (Kieffer),Moore,Kieffer Moore,01ce9e70,128340,76,Moore,FWD,Bournemouth,4.9,230801,Moore,FWD,5.5,33824
Flekken,,,,,,,Flekken,Mark Flekken,a92ab7be,118342,101,Flekken,GK,Brentford,4.5,3556534,Flekken,GK,4.5,34133
Strakosha,,,,,,,Strakosha,Thomas Strakosha,339fe0e8,140200,116,Strakosha,GK,Brentford,4,1818084,Strakosha,GK,4,34777
Mee,Mee,Mee,Mee,Mee,Mee,Mee,Mee,Ben Mee,8df7a2fb,51927,109,Mee,DEF,Brentford,4.9,23379,Mee,DEF,4.5,32772
Ajer,,,,,Ajer,Ajer,Ajer,Kristoffer Ajer,a8c0acb7,191866,90,Ajer,DEF,Brentford,4.5,234799,Ajer,DEF,4.5,35902
Collins,,,,,Collins,Collins,Collins,Nathan Collins,a8c19eb8,432830,96,Collins,DEF,Brentford,4.5,234803,Collins,DEF,4.5,37011
Henry,,,,,Henry,Henry,Henry,Rico Henry,8a3c1dc7,194010,103,Henry,DEF,Brentford,4.6,192195,Henry,DEF,4.5,35619
Hickey,,,,,,Hickey,Hickey,Aaron Hickey,1780bb4a,472713,104,Hickey,DEF,Brentford,4.5,1803646,Hickey,DEF,4.5,37417
Pinnock,,,,,Pinnock,Pinnock,Pinnock,Ethan Pinnock,e541326e,231065,112,Pinnock,DEF,Brentford,4.5,192197,Pinnock,DEF,4.5,34118
Roerslev,,,,,Roerslev,Roerslev,Roerslev,Mads Roerslev,57c94db2,226956,114,Roerslev,DEF,Brentford,4.5,192204,Roerslev Rasmussen,DEF,4.5,36335
Mbeumo,,,,,Mbeumo,Mbeumo,Mbeumo,Bryan Mbeumo,6afaebf2,446008,108,Mbeumo,MID,Brentford,6.8,192214,Mbeumo,MID,7.1,36379
Janelt,,,,,Janelt,Janelt,Janelt,Vitaly Janelt,8449d35e,204580,105,Janelt,MID,Brentford,5.5,192211,Janelt,MID,5,35925
Jensen,,,,,Jensen,Jensen,Jensen,Mathias Jensen,0f134faf,207283,106,Jensen,MID,Brentford,5.4,192210,Jensen,MID,6,35065
Norgaard,,,,,Norgaard,Norgaard,Norgaard,Christian N¯rgaard,df0a4c90,128295,110,N¯rgaard,MID,Brentford,5.5,192201,Norgaard,MID,5,34403
Schade,,,,,,Schade,Schade,Kevin Schade,52afb588,513418,115,Schade,MID,Brentford,5.4,2833740,Schade,FWD,5.5,37222
Damsgaard,,,,,,Damsgaard,Damsgaard,Mikkel Damsgaard,215f3907,440089,98,Damsgaard,MID,Brentford,4.9,2064482,Damsgaard,MID,5,36710
Dasilva,,,,,Josh Da Silva,Dasilva,Dasilva,Josh Dasilva,60344e4f,183656,99,Dasilva,MID,Brentford,4.9,192202,Dasilva,MID,5.5,36091
Lewis-Potter,,,,,,Lewis-Potter,Lewis-Potter,Keane Lewis-Potter,41f08ac8,249231,107,Lewis-Potter,MID,Brentford,4.9,1814996,Lewis-Potter,MID,4.5,36944
Onyeka,,,,,Onyeka,Onyeka,Onyeka,Frank Onyeka,2944f86f,428580,111,Onyeka,MID,Brentford,4.9,233401,Onyeka,MID,4.5,35796
Baptiste,,,,,Baptiste (Shandon),Baptiste (Shandon),Baptiste (Shandon),Shandon Baptiste,2886c9b5,432160,92,Baptiste,MID,Brentford,4.5,192215,Baptiste,MID,4.5,35893
Toney,,,,,Toney,Toney,Toney,Ivan Toney,e09f279b,144485,117,Toney,FWD,Brentford,7.9,192217,Toney,FWD,8,35140
Wissa,,,,,Wissa,Wissa,Wissa,Yoane Wissa,2500cef9,216646,119,Wissa,FWD,Brentford,6.2,242911,Wissa,FWD,6.6,35311
Steele,,,,,Steele,Steele,Steele,Jason Steele,28300a16,49262,148,Steele,GK,Brighton,4.5,197282,Steele,GK,5,33103
Verbruggen,,,,,,,Verbruggen,Bart Verbruggen,cf134113,489639,152,Verbruggen,GK,Brighton,4.4,3591888,Verbruggen,GK,4.5,37486
Dunk,Dunk,Dunk,Dunk,Dunk,Dunk,Dunk,Dunk,Lewis Dunk,282f75f3,83299,129,Dunk,DEF,Brighton,5,45008,Dunk,DEF,4.5,33563
Estupinan,,,,,,EstupiÒ·n,EstupiÒ·n,Pervis EstupiÒ·n,d38fdf53,204214,131,EstupiÒan,DEF,Brighton,5.3,2131535,Estupinan,DEF,5.1,35816
Veltman,,,,Veltman,Veltman,Veltman,Veltman,JoÎl Veltman,dad4b285,111478,151,Veltman,DEF,Brighton,4.4,177020,Veltman,DEF,4.5,33618
Webster,,,Webster,Webster,Webster (Adam),Webster (Adam),Webster,Adam Webster,c40b6180,110735,153,Webster,DEF,Brighton,4.4,139208,Webster,DEF,4.5,34703
Igor,,,,,,,Igor,Igor,a4e85758,223434,606,Igor,DEF,Brighton,4.4,3629364,Igor,DEF,4.5,35833
Gross,Groﬂ,Groﬂ,Groﬂ,Groﬂ,Groﬂ,Groﬂ,Groﬂ,Pascal Groﬂ,8aec0537,60307,134,Gross,MID,Brighton,6.4,45084,GroSs,MID,6.9,33404
March,Solly March,Solly March,Solly March,Solly March,March,March,March,Solly March,bb5fbd2b,109345,140,March,MID,Brighton,6.6,45018,March,MID,6.7,34535
Mitoma,,,,,,Mitoma,Mitoma,Kaoru Mitoma,74618572,451340,143,Mitoma,MID,Brighton,6.6,1783652,Mitoma,MID,7.6,35570
Enciso,,,,,,Enciso,Enciso,Julio CÈsar Enciso,9cfbad36,474120,130,Enciso,MID,Brighton,5.4,1695163,Enciso,MID,6,38009
Buonanotte,,,,,,Buonanotte,Buonanotte,Facundo Buonanotte,468a7a91,536916,125,Buonanotte,MID,Brighton,4.9,2818757,Buonanotte,MID,5,38344
Dahoud,,,,,,,Dahoud,Mahmoud Dahoud,db4ed67b,168090,128,Dahoud,MID,Brighton,4.9,3556531,Dahoud,MID,5,35065
Gilmour,,,Gilmour,Gilmour,Gilmour,Gilmour,Gilmour,Billy Gilmour,df10e27c,243568,133,Gilmour,MID,Brighton,5,144450,Gilmour,MID,4.5,37053
Lallana,Lallana,Lallana,Lallana,Lallana,Lallana,Lallana,Lallana,Adam Lallana,99813635,39155,138,Lallana,MID,Brighton,4.9,23127,Lallana,MID,4.5,32273
Milner,Milner,Milner,Milner,Milner,Milner,Milner,Milner,James Milner,2f90f6b8,15157,142,Milner,MID,Brighton,5,23117,Milner,MID,5,31416
Kudus,,,,,,,Mohammed Kudus,Kudus Mohammed,b62878a5,460842,689,Kudus,MID,West Ham,6.5,3649502,Kudus,MID,6.5,36740
E Ferguson,,,,,,Ferguson (Evan),Ferguson (Evan),Evan Ferguson,4596da74,487117,132,Ferguson,FWD,Brighton,5.9,426576,Ferguson,FWD,6.5,38279
Welbeck,Welbeck,Welbeck,Welbeck,Welbeck,Welbeck,Welbeck,Welbeck,Danny Welbeck,ce5143da,50175,154,Welbeck,FWD,Brighton,5.9,23331,Welbeck,FWD,6.4,33203
Pedro,,,Jo„o Pedro,Jo„o Pedro,Jo„o Pedro,,Jo„o Pedro,Jo„o Pedro,e8832875,475168,135,Jo„o Pedro,FWD,Brighton,5.5,164449,Pedro,FWD,5.5,37160
Muric,,,,,,,Muric,Arijanet Muric,99aa1a84,232917,172,Muric,GK,Burnley,4.4,3584371,Muric,GK,4.5,36106
Trafford,,,,,,,Trafford,James Trafford,259fea27,432720,596,Trafford,GK,Burnley,4.5,3628567,Trafford,GK,4.5,37539
O'Shea,,,,,,,O'Shea,Dara O'Shea,1d042188,216616,173,O'Shea,DEF,Burnley,4.5,3584336,O'Shea,DEF,4,36223
Roberts,Roberts (Connor),,,,Roberts (Connor),,Roberts (Connor),Connor Roberts,24fae784,192290,176,Roberts,DEF,Burnley,4.5,3584335,Roberts,DEF,4.5,34965
Vitinho,,,,,,,Vitinho,Vitinho,9295dc1c,441455,182,Vitinho,DEF,Burnley,4.5,3584362,Vitinho,DEF,4.5,36364
Al-Dakhil,,,,,,,Al Dakhil,Ameen Al-Dakhil,93e08bce,487968,157,Al-Dakhil,DEF,Burnley,4,3584332,Al-Dakhil,DEF,4,37321
Beyer,,,,,,,Beyer,Jordan Beyer,9af1f9ff,241231,160,Beyer,DEF,Burnley,4,3584356,Beyer,DEF,4,36665
Ekdal,,,,,,,Ekdal,Hjalmar Ekdal,3d554589,478969,167,Ekdal,DEF,Burnley,4,3584351,Ekdal,DEF,4,36089
