ID,Name,Pos,Price,Team,xPts GW36-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,36,37,38,xPts if play,36,37,38,Probability to play,36,37,38,xPts,36,37,38,npG,36,37,38
30,Martinez,GK,5.5,AVL,18.02829615,18.04599625,16.11934756,,175.6180952,175.6180952,87.80904762,,6.840998615,8.233384189,2.981051404,,0.999917079,0.999917079,0.991315789,,6.840431353,8.232701469,2.955163326,,0.000118237,0.000152364,3.33E-05
170,Pickford,GK,4.8,EVE,17.63561508,17.65331518,15.75266105,,175.6180952,175.6180952,87.80904762,,6.774574289,7.743608265,3.145956535,,0.999917079,0.999917079,0.991315789,,6.774012535,7.742966157,3.118636387,,0.000344871,0.000364694,1.22E-04
200,Schmeichel,GK,4.9,LEI,17.17443692,17.19213703,15.44322027,,175.6180952,175.6180952,87.80904762,,7.651150961,6.110623603,3.443709393,,0.999917079,0.999917079,0.991315789,,7.650516521,6.110116904,3.413803495,,0.000716195,0.000446487,3.20E-04
257,Ederson,GK,6.1,MCI,16.98239179,17.01729448,15.35080429,,175.6180952,87.80904762,87.80904762,,8.803683375,3.941118304,4.309974349,,0.999917079,0.991315789,0.991315789,,8.802953365,3.906892802,4.272545624,,0.001891324,0.000843699,9.55E-04
231,Alisson,GK,6,LIV,16.9219191,16.97493131,15.14452245,,174.8571429,87.42857143,87.42857143,,8.035147064,4.163096743,4.843715206,,0.999809683,0.986842105,0.986842105,,8.033617835,4.108319154,4.779982111,,0.001490036,0.000816218,8.98E-04
143,E Mendy,GK,6.1,CHE,16.39548835,16.50227303,14.81208051,,172.6190476,86.30952381,86.30952381,,8.177523376,4.030136187,4.416325239,,0.999239237,0.973684211,0.973684211,,8.171302223,3.924079972,4.300106154,,0,0,0.00E+00
559,Ramsdale,GK,5.1,ARS,16.10944855,16.14435124,14.41631961,,175.6180952,87.80904762,87.80904762,,7.629233531,4.083094842,4.472047459,,0.999917079,0.991315789,0.991315789,,7.628600907,4.047636387,4.433211257,,1.04E-03,0.0004439,5.50E-04
353,Lloris,GK,5.4,TOT,14.72306263,14.75796532,13.1075957,,175.6180952,87.80904762,87.80904762,,6.492843105,4.188148651,4.114713066,,0.999917079,0.991315789,0.991315789,,6.492304713,4.151777887,4.078980032,,0,0,0.00E+00
112,Pope,GK,5.4,BUR,14.26932648,14.3223387,12.36238974,,87.42857143,174.8571429,87.42857143,,3.844951135,6.435097817,4.094974956,,0.986842105,0.999809683,0.986842105,,3.794359673,6.433873106,4.041093706,,0.000104377,0.000165272,0.000116893
146,Guaita,GK,4.6,CRY,14.02343502,14.18475088,12.36288293,,85.19047619,170.3809524,85.19047619,,4.134207268,6.795836512,3.402518282,,0.960526316,0.998289435,0.960526316,,3.971014876,6.784211791,3.26820835,,1.70E-04,0.000218754,1.32E-04
475,Sa,GK,5.2,WOL,13.80356118,13.83846386,12.44467417,,175.6180952,87.80904762,87.80904762,,6.458021684,4.407734159,3.002694562,,0.999917079,0.991315789,0.991315789,,6.457486179,4.369456467,2.976618531,,0.00E+00,0.00E+00,0.00E+00
199,Meslier,GK,4.8,LEE,13.24278457,13.27768725,11.88207998,,175.6180952,87.80904762,87.80904762,,6.180214159,3.775091189,3.34986632,,0.999917079,0.991315789,0.991315789,,6.17970169,3.742307502,3.320775376,,0,0,0.00E+00
314,Krul,GK,4.5,NOR,10.85472429,10.99413674,9.907833466,,170.402381,85.20119048,85.20119048,,5.39502358,3.135541561,2.524733673,,0.998714829,0.965789474,0.965789474,,5.388090052,3.028273034,2.438361205,,0.000552515,0.000236796,2.64E-04
69,R Sanchez,GK,4.5,BHA,10.82487804,10.87698331,9.388275648,,87.80904762,87.80904762,87.80904762,,3.529198634,3.569389305,3.821119139,,0.991315789,0.991315789,0.991315789,,3.49855033,3.538391977,3.787935736,,0,0,0
80,Raya,GK,4.3,BRE,10.81580771,10.86791297,9.418147972,,87.80904762,87.80904762,87.80904762,,3.674790496,3.560992956,3.674773835,,0.991315789,0.991315789,0.991315789,,3.642877841,3.530068543,3.642861325,,0,0,0
376,Foster,GK,4.1,WAT,10.2689984,10.59844432,9.651405708,,162.8333333,81.41666667,81.41666667,,5.711706399,2.823011235,2.167249544,,0.993171773,0.921052632,0.921052632,,5.672705574,2.600141927,1.996150895,,0.000416853,0.000244775,0.000127765
408,Fabianski,GK,5,WHU,10.02789399,10.2647361,8.935457598,,85.19047619,85.19047619,85.19047619,,3.896946281,2.930350438,3.612702505,,0.960526316,0.960526316,0.960526316,,3.743119454,2.814678711,3.470095828,,0,0,0
295,Dubravka,GK,4.5,NEW,9.63284165,9.711789019,8.301257128,,87.42857143,87.42857143,87.42857143,,2.728125711,3.428335614,3.604818214,,0.986842105,0.986842105,0.986842105,,2.69222932,3.383225935,3.557386396,,0,0,0
270,de Gea,GK,5.1,MUN,7.465639342,9.518270921,8.264108999,,87.42857143,0,87.42857143,,3.800946377,0.00127,3.764234823,,0.986842105,0,0.986842105,,3.750933925,0,3.714705417,,0,0,0
333,Forster,GK,4.4,SOU,6.486995231,8.03962681,7.046992647,,77.67857143,65.25,51.17857143,,3.242018155,2.599812273,2.835713815,,0.881578947,0.75,0.592105263,,2.858094952,1.949859204,1.679041075,,0,0,0
334,McCarthy,GK,4.3,SOU,2.17691638,6.545337432,5.648625286,,11.84210526,23.94736842,38.54761905,,3.007036225,2.365780912,2.751864511,,0.131578947,0.263157895,0.421052632,,0.395662661,0.622573924,1.158679794,,0.003157121,0.00261342,0.003288449
