Name,FFS17,vaastav17,FFS18,vaastav18,FFS19,vaastav19,FFS20,vaastav20
Firmino,Firmino,Roberto_Firmino,Firmino,Roberto_Firmino_257,Firmino,Roberto_Firmino_187,Firmino,
Fischer,,,,,,,Fischer,
Flamini,,,,,,,Flamini,
Flanagan,,Jon_Flanagan,,,,,Flanagan,
Fleck,,,,,Fleck,John_Fleck_301,Fleck,
A Fletcher,,Ashley_Fletcher,,,,,A Fletcher,
D Fletcher,Fletcher (Darren),Darren_Fletcher,,,,,Fletcher (Darren),
Foden,Foden,Phil_Foden,Foden,Phil_Foden_277,Foden,Phil_Foden_220,Foden,
Foderingham,,,,,,,Foderingham,
Fofana,,,,,,,Fofana,
Folivi,,Michael_Folivi,,,,,Folivi,
Fonte,Fonte,Jose_Fonte,,,,,Fonte,
Fornals,,,,,Fornals,Pablo_Fornals_399,Fornals,
Forshaw,,,,,,,Forshaw,
Forster,Forster,Fraser_Forster,Forster,Fraser_Forster_329,,Fraser_Forster_317,Forster,
Foster,Foster,Ben_Foster,Foster,Ben_Foster_445,Foster,Ben_Foster_366,Foster,
Fosu-Mensah,Fosu-Mensah,Timothy_Fosu-Mensah,Fosu-Mensah,Timothy_Fosu-Mensah_511,Fosu-Mensah,Timothy_Fosu-Mensah_658,Fosu-Mensah,
Foulquier,,,,,Foulquier,Dimitri_Foulquier_542,Foulquier,
Foyth,,Juan_Foyth,Foyth,Juan_Foyth_549,Foyth,Juan_Foyth_335,Foyth,
Francis,Francis,Simon_Francis,Francis,Simon_Francis_26,Francis (Simon),Simon_Francis_62,Francis (Simon),
Fraser,Fraser,Ryan_Fraser,Fraser,Ryan_Fraser_40,Fraser,Ryan_Fraser_75,Fraser,
Fred,,,Fred,Frederico_Rodrigues de Paula Santos_304,Fred,Frederico_Rodrigues de Paula Santos_244,Fred,
Fredericks,,,Fredericks,Ryan_Fredericks_408,Fredericks,Ryan_Fredericks_380,Fredericks,
K Freeman,,,,,Freeman (Kieron),Kieron_Freeman_292,Freeman (Kieron),
L Freeman,,,,,Freeman (Luke),Luke_Freeman_441,Freeman (Luke),
Friend,,,,,,,Friend,
Fryers,,,,,,,Fryers,
Fuchs,Fuchs,Christian_Fuchs,Fuchs,Christian_Fuchs_216,Fuchs,Christian_Fuchs_163,Fuchs,
Fulton,Fulton,Jay_Fulton,,,,,Fulton,
Furlong,,,,,,,Furlong,
Gabbiadini,Gabbiadini,Manolo_Gabbiadini,Gabbiadini,Manolo_Gabbiadini_349,,,Gabbiadini,
Gabriel,,,,,,,Gabriel Magalh„es,
Gallagher,,,Gallagher,Sam_Gallagher_574,,Sam_Gallagher_316,Gallagher,
Galloway,,,,,,,Galloway,
Gamez,Jes˙s G·mez,Jes˙s_G·mez Duarte,,,,,Jes˙s G·mez,
A Garcia,,,,,,,A Garcia,
E Garcia,,,,,Garcia,Eric_Garcia_544,Garcia,
Gardner,,,,,,,Gardner,
Garner,,,Garner,James_Garner_602,Garner,James_Garner_250,Garner,
Gayle,Gayle,Dwight_Gayle,,Dwight_Gayle_325,Gayle,Dwight_Gayle_554,Gayle,
Gazzaniga,Gazzaniga,Paulo_Gazzaniga,Gazzaniga,Paulo_Gazzaniga_536,Gazzaniga,Paulo_Gazzaniga_341,Gazzaniga,
Gbamin,,,,,Gbamin,Jean-Philippe_Gbamin_497,Gbamin,
Gestede,,,,,,Rachid_Ghezzal_173,Gestede,
El Ghazi,,,,,El Ghazi,Anwar_El Ghazi_30,El Ghazi,
Ghezzal,,,Ghezzal,Rachid_Ghezzal_492,,,Ghezzal,
Gibbs,Gibbs,Kieran_Gibbs,,,,,Gibbs,
Gibbs-White,,,Gibbs-White,Morgan_Gibbs-White_448,Gibbs-White,Morgan_Gibbs-White_416,Gibbs-White,
B Gibson,,,Gibson,Ben_Gibson_491,,Ben_Gibson_89,Gibson,
D Gibson,,,,,,,D Gibson,
Gillespie,,,,,,,Gillespie,
Gilmour,,,,,Gilmour,Billy_Gilmour_533,Gilmour,
Giroud,Giroud,Olivier_Giroud,Giroud,Olivier_Giroud_133,Giroud,Olivier_Giroud_110,Giroud,
Given,,,,,,,Given,
Godfrey,,,,,Godfrey,Ben_Godfrey_273,Godfrey,
Goldson,Goldson,Connor_Goldson,,,,,Goldson,
Andre Gomes,,,AndrÈ Gomes,AndrÈ Filipe_Tavares Gomes_508,AndrÈ Gomes,Andr√© Filipe_Tavares Gomes_422,AndrÈ Gomes,
Angel Gomes,,,Gomes (Angel),Angel_Gomes_568,Gomes (Angel),Angel_Gomes_245,Gomes (Angel),
H Gomes,Gomes (Heurelho),Heurelho_Gomes,,Heurelho_Gomes_373,,Heurelho da Silva_Gomes_513,Gomes (Heurelho),
Gomez,Gomez,Joseph_Gomez,Gomez,Joseph_Gomez_242,Gomez,Joseph_Gomez_184,Gomez,
Gooch,,,,,,,Gooch,
Gordon,,,,,Gordon (Anthony),Anthony_Gordon_561,Gordon (Anthony),
Gosling,Gosling,Dan_Gosling,Gosling,Dan_Gosling_37,Gosling,Dan_Gosling_81,Gosling,
Grabban,,,,,,,Grabban,
Gradel,,Max_Gradel,,,,,Gradel,
K Grant,,,Grant (Karlan),Karlan_Grant_585,,,Grant (Karlan),
L Grant,Grant,Lee_Grant,,Lee_Grant_520,,Lee_Grant_237,Grant,
A Gray,Gray (Andre),Andre_Gray,Gray (Andre),Andre_Gray_395,Gray (Andre),Andre_Gray_364,Gray (Andre),
D Gray,Gray (Demarai),Demarai_Gray,Gray (Demarai),Demarai_Gray_225,Gray (Demarai),Demarai_Gray_175,Gray (Demarai),
Grealish,,,,,Grealish,Jack_Grealish_29,Grealish,
Greenwood,,,Greenwood,Mason_Greenwood_608,Greenwood,Mason_Greenwood_234,Greenwood,
Groeneveld,,,,,Danjuma Groeneveld,Arnaut_Danjuma Groeneveld_492,Danjuma Groeneveld,
Grosicki,,,,,,,Grosicki,
Gross,Groﬂ,Pascal_Groﬂ,Groﬂ,Pascal_Groﬂ_59,Groﬂ,Pascal_Gro√ü_49,Groﬂ,
Grot,,,,,,,Grot,
Grujic,Grujic,Marko_Grujic,,,,,Grujic,
Guaita,,,Guaita,Vicente_Guaita_137,Guaita,Vicente_Guaita_131,Guaita,
Gudmundsson,Gudmundsson,Johann Berg_Gudmundsson,Gudmundsson,Johann Berg_Gudmundsson_76,Gudmundsson,Johann Berg_Gudmundsson_96,Gudmundsson,
Guedioura,,,,,,,Guedioura,
Guendouzi,,,Guendouzi,Matteo_Guendouzi_451,Guendouzi,Matteo_Guendouzi_21,Guendouzi,
Gueye,Gueye,Idrissa_Gueye,Gueye,Idrissa_Gueye_168,,Idrissa_Gueye_156,Gueye,
Guilbert,,,,,Guilbert,Fr√©d√©ric_Guilbert_458,Guilbert,
Gundogan,G¸ndogan,Ilkay_G¸ndogan,G¸ndogan,Ilkay_G¸ndogan_274,G¸ndogan,Ilkay_G√ºndogan_222,G¸ndogan,
Gunn,,,Gunn,Angus_Gunn_452,Gunn,Angus_Gunn_319,Gunn,
Gunnarsson,,,Gunnarsson,Aron_Gunnarsson_102,,,Gunnarsson,
Guzan,,,,,,,Guzan,
Hadergjonaj,Hadergjonaj,Florent_Hadergjonaj,Hadergjonaj,Florent_Hadergjonaj_197,,,Hadergjonaj,
Haidara,Haidara,Massadio_Haidara,,,,,Haidara,
Haller,,,,,Haller,S√©bastien_Haller_457,Haller,
Hamer,Hamer,Ben_Hamer,Hamer,Ben_Hamer_190,,,Hamer,
Hanley,,Grant_Hanley,,,Hanley,Grant_Hanley_277,Hanley,
Harper,Harper,Rekeem_Harper,,,,,Harper,
Harris,,,Harris (Kadeem),Kadeem_Harris_535,,,Harris (Kadeem),
Harrison,,,,,,,Harrison,
Harrop,,,,,,,Harrop,
Hart,Hart,Joe_Hart,Hart,Joe_Hart_490,,Joe_Hart_95,Hart,
Hause,,,,Kortney_Hause_525,Hause,Kortney_Hause_25,Hause,
Havertz,,,,,,,Havertz,
Hayden,Hayden,Isaac_Hayden,Hayden,Isaac_Hayden_323,Hayden (Isaac),Isaac_Hayden_271,Hayden,
Hazard,Hazard,Eden_Hazard,Hazard,Eden_Hazard_122,,,Hazard,
Healey,,,Healey,Rhys_Healey_573,,,Healey,
Heaton,Heaton,Tom_Heaton,Heaton,Tom_Heaton_67,Heaton,Tom_Heaton_94,Heaton,
Hector,,,,,,,Hector,
Hefele,Hefele,Michael_Hefele,,,,,Hefele,
Hegazi,Hegazi,Ahmed El-Sayed_Hegazi,,,,,Hegazi,
Hemed,Hemed,Tomer_Hemed,,Tomer_Hemed_63,,,Hemed,
D Henderson,,,,,Henderson (Dean),Dean_Henderson_471,Henderson (Dean),
J Henderson,Henderson (Jordan),Jordan_Henderson,Henderson,Jordan_Henderson_249,Henderson (Jordan),Jordan_Henderson_198,Henderson (Jordan),
Hendrick,Hendrick,Jeff_Hendrick,Hendrick,Jeff_Hendrick_78,Hendrick,Jeff_Hendrick_100,Hendrick,
Hennessey,Hennessey,Wayne_Hennessey,Hennessey,Wayne_Hennessey_135,Hennessey,Wayne_Hennessey_132,Hennessey,
Henriksen,,,,,,,Henriksen,
A Hernandez,,,,,,,A Hernandez,
L Hernandez,,,,,,,L Hernandez,
O Hernandez,,,,,Hern·ndez (Onel),Onel_Hern√°ndez_284,Hern·ndez (Onel),
P Hernandez,,,,,,,Hern·ndez,
Herrera,Herrera,Ander_Herrera,Herrera,Ander_Herrera_299,,,Herrera,
Higuain,,,Higuain,Gonzalo_HiguaÌn_579,,,Higuain,
Hirst,,,,,Hirst,George_Hirst_661,Hirst,
Hoedt,Hoedt,Wesley_Hoedt,Hoedt,Wesley_Hoedt_336,,Wesley_Hoedt_485,Hoedt,
Hoever,,,,,,,Hoever,
Hogg,Hogg,Jonathan_Hogg,Hogg,Jonathan_Hogg_201,,,Hogg,
Hoilett,,,Hoilett,David Junior_Hoilett_99,,,Hoilett,
Hojbjerg,H¯jbjerg,Pierre-Emile_H¯jbjerg,H¯jbjerg,Pierre-Emile_H¯jbjerg_340,H¯jbjerg,Pierre-Emile_H√∏jbjerg_325,H¯jbjerg,
Holding,Holding,Rob_Holding,Holding,Rob_Holding_6,Holding,Rob_Holding_10,Holding,
Holebas,Holebas,JosÈ_Holebas,Holebas,JosÈ_Holebas_378,Holebas,Jos√©_Holebas_353,Holebas,
Holgate,Holgate,Mason_Holgate,Holgate,Mason_Holgate_160,Holgate,Mason_Holgate_478,Holgate,
Holland,,,,Nathan_Holland_611,Holland,Nathan_Holland_568,Holland,
Honeyman,,,,,,,Honeyman,
Hourihane,,,,,Hourihane,Conor_Hourihane_28,Hourihane,
Huddlestone,,,,,,,Huddlestone,
Hudson-Odoi,Hudson-Odoi,Callum_Hudson-Odoi,Hudson-Odoi,Callum_Hudson-Odoi_131,Hudson-Odoi,Callum_Hudson-Odoi_116,Hudson-Odoi,
Hughes,Hughes (Will),Will_Hughes,Hughes (Will),Will_Hughes_392,Hughes,Will_Hughes_370,Hughes,
Hugill,Hugill,Jordan_Hugill,,Jordan_Hugill_420,,,Hugill,
Hunemeier,H¸nemeier,Uwe_H¸nemeier,,,,,H¸nemeier,
Husband,,,,,,,Husband,
Huth,,Robert_Huth,,,,,Huth,
Hyndman,Hyndman,Emerson_Hyndman,Hyndman,Emerson_Hyndman_41,,,Hyndman,
Ibe,Ibe,Jordon_Ibe,Ibe,Jordon_Ibe_38,Ibe,Jordon_Ibe_78,Ibe,
Iborra,Iborra,Vicente_Iborra,Iborra,Vicente_Iborra_228,,,Iborra,
Ibrahimovic,Ibrahimovic,Zlatan_Ibrahimovic,,,,,Ibrahimovic,
Idah,,,,,Idah,Adam_Idah_538,Idah,
Ighalo,,,,,Ighalo,Odion_Ighalo_624,Ighalo,
Iheanacho,Iheanacho,Kelechi_Iheanacho,Iheanacho,Kelechi_Iheanacho_236,Iheanacho,Kelechi_Iheanacho_167,Iheanacho,
Imbula,,Giannelli_Imbula,,,,,Imbula,
Ince,Ince (Thomas),Tom_Ince,,Tom_Ince_203,,,Ince (Thomas),
Martins Indi,Martins Indi,Bruno_Martins Indi,,,,,Martins Indi,
Ings,Ings,Danny_Ings,Ings,Danny_Ings_258,Ings,Danny_Ings_313,Ings,
Ireland,Ireland,Stephen_Ireland,,,,,Ireland,
Ivanovic,,,,,,,Ivanovic,
Iwobi,Iwobi,Alex_Iwobi,Iwobi,Alex_Iwobi_15,Iwobi,Alex_Iwobi_17,Iwobi,
Izquierdo,Izquierdo,JosÈ Heriberto_Izquierdo Mena,Izquierdo,JosÈ Heriberto_Izquierdo Mena_61,,Jos√© Heriberto_Izquierdo Mena_51,Izquierdo,
Jagielka,Jagielka,Phil_Jagielka,Jagielka,Phil_Jagielka_158,Jagielka,Phil_Jagielka_444,Jagielka,
Jahanbakhsh,,,Jahanbakhsh,Alireza_Jahanbakhsh_476,Jahanbakhsh,Alireza_Jahanbakhsh_50,Jahanbakhsh,
Jakupovic,Jakupovic,Eldin_Jakupovic,,Eldin_Jakupovic_214,,Eldin_Jakupovic_169,Jakupovic,
D James,,,,,James (Daniel),Daniel_James_243,James (Daniel),
M James,James (Matthew),Matty_James,,Matty_James_229,James (Matthew),Matty_James_177,James (Matthew),
R James,,,,,James (Reece),Reece_James_506,James (Reece),
Janmaat,Janmaat,Daryl_Janmaat,Janmaat,Daryl_Janmaat_381,Janmaat,Daryl_Janmaat_359,Janmaat,
Janssen,Janssen,Vincent_Janssen,Janssen,Vincent_Janssen_614,,Vincent_Janssen_339,Janssen,
Januzaj,,,,,,,Januzaj,
Jedinak,,,,,,,Jedinak,
Jenkinson,,Carl_Jenkinson,Jenkinson,Carl_Jenkinson_581,,Carl_Jenkinson_9,Jenkinson,
Jese,Jese,JesÈ_RodrÌguez Ruiz,,,,,Jese,
Jesus,Jesus,Gabriel Fernando_de Jesus,Jesus,Gabriel Fernando_de Jesus_281,Jesus,Gabriel Fernando_de Jesus_211,Jesus,
Jimenez,,,Ra˙l JimÈnez,Ra˙l_JimÈnez_437,Ra˙l JimÈnez,Ra√∫l_Jim√©nez_409,Ra˙l JimÈnez,
Joelinton,,,,,Joelinton,Joelinton C√°ssio_Apolin√°rio de Lira_466,Joelinton,
Johansen,,,Johansen,Stefan_Johansen_185,,,Johansen,
B Johnson,,Ben_Johnson,Johnson (Ben),Ben_Johnson_605,Johnson (Ben),Ben_Johnson_384,Johnson (Ben),
G Johnson,Johnson (Glen),Glen_Johnson,,,,,Johnson (Glen),
T Johnson,,,Johnson (Tyreke),Tyreke_Johnson_562,,Tyreke_Johnson_326,Johnson (Tyreke),
Johnstone,,,,,,,Johnstone,
B Jones,,,,,,,B Jones,
C Jones,,Curtis_Jones,,Curtis_Jones_597,Jones (Curtis),Curtis_Jones_569,Jones (Curtis),
D Jones,,,,,,,D Jones,
P Jones,Jones (Phil),Phil_Jones,Jones (Phil),Phil_Jones_285,Jones (Phil),Phil_Jones_231,Jones (Phil),
Jonny,,,Jonny,Jonathan_Castro Otto_483,Jonny,Jonathan_Castro Otto_402,Jonny,
Jordao,,,,,Bruno Jordao,Bruno Andr√©_Cavaco Jordao_609,Bruno Jordao,
Jorginho,,,Jorginho,Jorge Luiz_Frello Filho_459,Jorginho,Jorge Luiz_Frello Filho_118,Jorginho,
Joselu,Joselu,Jose Luis_Mato SanmartÌn,Joselu,Jose Luis_Mato SanmartÌn_327,,,Joselu,
D Jota,,,Diogo Jota,Diogo_Jota_432,Diogo Jota,Diogo_Jota_410,Diogo Jota,
Jota,,,,,Jota,Jos√© Ignacio_Peleteiro Romallo_36,Jota,
Justin,,,,,Justin,James_Justin_433,Justin,
Jutkiewicz,,,,,,,Jutkiewicz,
Kabasele,Kabasele,Christian_Kabasele,Kabasele,Christian_Kabasele_380,Kabasele,Christian_Kabasele_354,Kabasele,
Kaboul,Kaboul,Younes_Kaboul,,Younes_Kaboul_375,,,Kaboul,
Kachunga,Kachunga,Elias_Kachunga,Kachunga,Elias_Kachunga_212,,,Kachunga,
Kaikai,Kaikai,Sullay_Kaikai,,Sullay_Kaikai_477,,,Kaikai,
Kamara,,,Kamara,Aboubakar_Kamara_189,,,Kamara,
Kane,Kane,Harry_Kane,Kane (Harry),Harry_Kane_372,Kane (Harry),Harry_Kane_338,Kane,
Kante,KantÈ,N'Golo_KantÈ,KantÈ,N'Golo_KantÈ_126,KantÈ,N'Golo_Kant√©_119,KantÈ,
Karius,Karius,Loris_Karius,,Loris_Karius_238,,,Karius,
Karnezis,Karnezis,Orestis_Karnezis,,,,,Karnezis,
Kayal,Kayal,Beram_Kayal,Kayal,Beram_Kayal_57,,Beram_Kayal_56,Kayal,
Kean,,,,,Kean,Moise_Kean_496,Kean,
M Keane,Keane,Michael_Keane,Keane,Michael_Keane_162,Keane,Michael_Keane_143,Keane,
W Keane,,,,,,,W Keane,
Kebano,,,Kebano,Neeskens_Kebano_187,,,Kebano,
Keita,,,Keita,Naby_Keita_256,Keita,Naby_Keita_196,Keita,
Kelleher,,,,,,,Kelleher,
L Kelly,,,,,Kelly (Lloyd),Lloyd_Kelly_64,Kelly (Lloyd),
M Kelly,Kelly,Martin_Kelly,Kelly,Martin_Kelly_140,Kelly (Martin),Martin_Kelly_128,Kelly (Martin),
Kenedy,Kenedy,Robert Kenedy_Nunes do Nascimento,Kenedy,Robert Kenedy_Nunes do Nascimento_458,,,Kenedy,
Kenny,Kenny,Jonjoe_Kenny,Kenny,Jonjoe_Kenny_161,,,Kenny,
Kepa,,,Kepa,Kepa_Arrizabalaga_498,Kepa,Kepa_Arrizabalaga_111,Kepa,
Khazri,,,,,,,Khazri,
Kightly,,,,,,,Kightly,
Kilman,,,Kilman,Max_Kilman_567,Kilman,Max_Kilman_408,Kilman,
A King,King (Andy),Andy_King,,,,Andy_King_480,King (Andy),
J King,King (Joshua),Joshua_King,King (Joshua),Joshua_King_45,King (Joshua),Joshua_King_68,King (Joshua),
Kingsley,,Stephen_Kingsley,,,,,Kingsley,
Kirchhoff,,,,,,,Kirchhoff,
Klaassen,Klaassen,Davy_Klaassen,,Davy_Klaassen_171,,,Klaassen,
Klavan,Klavan,Ragnar_Klavan,,Ragnar_Klavan_244,,,Klavan,
Klich,,,,,,,Klich,
Klose,,,,,Klose,Timm_Klose_272,Klose,
Knockaert,Knockaert,Anthony_Knockaert,Knockaert,Anthony_Knockaert_55,,Anthony_Knockaert_52,Knockaert,
Koch,,,,,,,Koch,
Kodjia,,,,,Kodjia,Jonathan_Kodjia_26,Kodjia,
Kolarov,,Aleksandar_Kolarov,,,,,Kolarov,
Kolasinac,Kolasinac,Sead_Kolasinac,Kolasinac,Sead_Kolasinac_8,Kolasinac,Sead_Kolasinac_3,Kolasinac,
Kompany,Kompany,Vincent_Kompany,Kompany,Vincent_Kompany_263,,,Kompany,
A Kone,,,,,,,A Kone,
L Kone,,,,,,,L Kone,
Kongolo,Kongolo,Terence_Kongolo,Kongolo,Terence_Kongolo_198,,,Kongolo,
Koscielny,Koscielny,Laurent_Koscielny,Koscielny,Laurent_Koscielny_3,,Laurent_Koscielny_7,Koscielny,
Kouyate,KouyatÈ,Cheikhou_KouyatÈ,KouyatÈ,Cheikhou_KouyatÈ_412,KouyatÈ,Cheikhou_Kouyat√©_139,KouyatÈ,
Kovacic,,,Kovacic,Mateo_Kovacic_499,Kovacic,Mateo_Kovacic_432,Kovacic,
Krafth,,,,,Krafth,Emil_Krafth_519,Krafth,
Krovinovic,,,,,,,Krovinovic,
Krul,,Tim_Krul,,,Krul,Tim_Krul_280,Krul,
Krychowiak,Krychowiak,Grzegorz_Krychowiak,,,,,Krychowiak,
Lacazette,Lacazette,Alexandre_Lacazette,Lacazette,Alexandre_Lacazette_22,Lacazette,Alexandre_Lacazette_12,Lacazette,
Ladapo,Freddie Ladapo,Olayinka Fredrick Oladotun_Ladapo,,,,,Freddie Ladapo,
Lallana,Lallana,Adam_Lallana,Lallana,Adam_Lallana_250,Lallana,Adam_Lallana_195,Lallana,
Lambert,,,,,,,Lambert,
Lamela,Lamela,Erik_Lamela,Lamela,Erik_Lamela_363,Lamela,Erik_Lamela_346,Lamela,
Lamptey,,,,,Lamptey,Tariq_Lamptey_586,Lamptey,
Lansbury,,,,,Lansbury,Henri_Lansbury_35,Lansbury,
Lanzini,Lanzini,Manuel_Lanzini,Lanzini,Manuel_Lanzini_414,Lanzini,Manuel_Lanzini_391,Lanzini,
Laporte,Laporte,Aymeric_Laporte,Laporte,Aymeric_Laporte_268,Laporte,Aymeric_Laporte_202,Laporte,
Larsson,,,,,,,Larsson,
Lascelles,Lascelles,Jamaal_Lascelles,Lascelles,Jamaal_Lascelles_312,Lascelles,Jamaal_Lascelles_258,Lascelles,
Lazaro,,,,,Lazaro,Valentino_Lazaro_614,Lazaro,
Leadbitter,,,,,,,Leadbitter,
Ledley,,,,,,,Ledley,
Lee,Lee,Chung-yong_Lee,,,,,Lee,
Leitner,,,,,Leitner,Moritz_Leitner_288,Leitner,
Leiva,,Leiva_Lucas,,,,,Leiva,
Lejeune,Lejeune,Florian_Lejeune,Lejeune,Florian_Lejeune_314,Lejeune,Florian_Lejeune_257,Lejeune,
Leko,,Jonathan_Leko,,,,,Leko,
Lemina,Lemina,Mario_Lemina,Lemina,Mario_Lemina_344,,Mario_Lemina_324,Lemina,
Lennon,Lennon,Aaron_Lennon,Lennon,Aaron_Lennon_83,Lennon,Aaron_Lennon_430,Lennon,
Leno,,,Leno,Bernd_Leno_2,Leno,Bernd_Leno_14,Leno,
Lens,,,,,,,Lens,
Lerma,,,Lerma,Jefferson_Lerma_494,Lerma,Jefferson_Lerma_82,Lerma,
Lescott,,,,,,,Lescott,
Lesniak,,,,,,,Lesniak,
Lewis,,,,,Lewis (Jamal),Jamal_Lewis_276,Lewis (Jamal),
Lichtsteiner,,,Lichtsteiner,Stephan_Lichtsteiner_11,,,Lichtsteiner,
Lindelof,Lindelof,Victor_Lindelˆf,Lindelof,Victor_Lindelˆf_292,Lindelof,Victor_Lindel√∂f_225,Lindelof,
Lingard,Lingard,Jesse_Lingard,Lingard,Jesse_Lingard_300,Lingard,Jesse_Lingard_241,Lingard,
Livermore,Livermore,Jake_Livermore,,,,,Livermore,
D Llorente,,,,,,,Llorente,
F Llorente,Llorente,Fernando_Llorente,Llorente,Fernando_Llorente_371,,,F Llorente,
Lloris,Lloris,Hugo_Lloris,Lloris,Hugo_Lloris_351,Lloris,Hugo_Lloris_340,Lloris,
Locadia,Locadia,J¸rgen_Locadia,Locadia,J¸rgen_Locadia_65,Locadia,J√ºrgen_Locadia_45,Locadia,
Loftus-Cheek,Loftus-Cheek,Ruben_Loftus-Cheek,Loftus-Cheek,Ruben_Loftus-Cheek_132,Loftus-Cheek,Ruben_Loftus-Cheek_115,Loftus-Cheek,
Lolley,Lolley,Joe_Lolley,,,,,Lolley,
K Long,Long (Kevin),Kevin_Long,Long (Kevin),Kevin_Long_73,Long (Kevin),Kevin_Long_88,Long (Kevin),
S Long,Long (Shane),Shane_Long,Long (Shane),Shane_Long_347,Long (Shane),Shane_Long_315,Long (Shane),
M Longstaff,,,,,Longstaff (Matthew),Matthew_Longstaff_540,Longstaff (Matthew),
S Longstaff,,,Longstaff,Sean_Longstaff_531,Longstaff (Sean),Sean_Longstaff_270,Longstaff (Sean),
Lookman,Lookman,Ademola_Lookman,Lookman,Ademola_Lookman_170,,Ademola_Lookman_155,Lookman,
Lossl,Lˆssl,Jonas_Lˆssl,Lˆssl,Jonas_Lˆssl_191,,,Lˆssl,
Love,,,,,,,Love,
Lovren,Lovren,Dejan_Lovren,Lovren,Dejan_Lovren_239,Lovren,Dejan_Lovren_186,Lovren,
Lowe,Lowe,Chris_Lˆwe,Lowe,Chris_Lˆwe_193,,,Lowe,
Lowton,Lowton,Matthew_Lowton,Lowton,Matthew_Lowton_69,Lowton,Matthew_Lowton_85,Lowton,
Douglas Luiz,,,,,Douglas Luiz,Douglas Luiz_Soares de Paulo_470,Douglas Luiz,
Luiz,Luiz,David_Luiz Moreira Marinho,Luiz,David_Luiz Moreira Marinho_116,Luiz,David_Luiz Moreira Marinho_106,Luiz,
Lukaku,Lukaku,Romelu_Lukaku,Lukaku,Romelu_Lukaku_306,,Romelu_Lukaku_232,Lukaku,
Lukebakio,Lukebakio,Dodi_Lukebakio,,,,,Lukebakio,
Lumeka,Lumeka,Levi_Lumeka,,,,,Lumeka,
Lundstram,,,,,Lundstram,John_Lundstram_297,Lundstram,
Maddison,,,Maddison,James_Maddison_233,Maddison,James_Maddison_171,Maddison,
Madine,,,Madine,Gary_Madine_109,,,Madine,
Maguire,Maguire,Harry_Maguire,Maguire,Harry_Maguire_220,Maguire,Harry_Maguire_160,Maguire,
Mahrez,Mahrez,Riyad_Mahrez,Mahrez,Riyad_Mahrez_223,Mahrez,Riyad_Mahrez_217,Mahrez,
Maitland-Niles,Maitland-Niles,Ainsley_Maitland-Niles,Maitland-Niles,Ainsley_Maitland-Niles_20,Maitland-Niles,Ainsley_Maitland-Niles_4,Maitland-Niles,
Malone,Malone,Scott_Malone,,Scott_Malone_196,,,Malone,
Maloney,,,,,,,Maloney,
Mandanda,,,,,,,Mandanda,
Mane,Mane,Sadio_ManÈ,Mane,Sadio_ManÈ_251,Mane,Sadio_Man√©_192,Mane,
Manga,,,Ecuele Manga,Bruno_Ecuele Manga_92,,,Ecuele Manga,
Mangala,Mangala,Eliaquim_Mangala,,,,,Mangala,
Mannone,,,,,,,Mannone,
Manquillo,Manquillo,Javier_Manquillo,Manquillo,Javier_Manquillo_315,Manquillo,Javier_Manquillo_256,Manquillo,
Marcal,,,,,,,MarÁal,
March,Solly March,Solomon_March,Solly March,Solomon_March_58,Solly March,Solomon_March_55,Solly March,
Le Marchand,,,Le Marchand,Maxime_Le Marchand_455,,,Le Marchand,
Mari,,,,,MarÌ,Pablo_Mar√≠_617,MarÌ,
Mariappa,Mariappa,Adrian_Mariappa,Mariappa,Adrian_Mariappa_382,Mariappa,Adrian_Mariappa_356,Mariappa,
Joao Mario,Jo„o M·rio,Jo„o M·rio_Naval Costa Eduardo,,,,,Jo„o M·rio,
Markovic,,,Lazar Markovic,Lazar_Markovic_594,,,Lazar Markovic,
Marney,,Dean_Marney,,,,,Marney,
Marshall,,,,,,,Marshall,
Martial,Martial,Anthony_Martial,Martial,Anthony_Martial_301,Martial,Anthony_Martial_239,Martial,
D Martin,,,,,Martin (David),David_Martin_553,Martin (David),
J Martin,,,,,Martin (Josh),Josh_Martin_632,Martin (Josh),
Martina,Cuco Martina,Cuco_Martina,,Cuco_Martina_163,,Rhu-endly_Martina_577,Cuco Martina,
Martinelli,,,,,Gabriel Martinelli,Gabriel Teodoro_Martinelli Silva_504,Gabriel Martinelli,
Martinez,,Damian Emiliano_Martinez,,Emiliano_MartÌnez_542,Martinez,Emiliano_Mart√≠nez_427,Martinez,
Masina,,,Masina,Adam_Masina_386,Masina,Adam_Masina_355,Masina,
B Mason,,Brandon_Mason,,,,,B Mason,
R Mason,,,,,,,R Mason,
Masuaku,Masuaku,Arthur_Masuaku,Masuaku,Arthur_Masuaku_410,Masuaku,Arthur_Masuaku_378,Masuaku,
Mata,Mata,Juan_Mata,Mata,Juan_Mata_297,Mata,Juan_Mata_242,Mata,
Matic,Matic,Nemanja_Matic,Matic,Nemanja_Matic_296,Matic,Nemanja_Matic_247,Matic,
Matip,Matip,Joel_Matip,Matip,Joel_Matip_243,Matip,Joel_Matip_185,Matip,
Maupay,,,,,Maupay,Neal_Maupay_502,Maupay,
Mavropanos,Mavropanos,Konstantinos_Mavropanos,Mavropanos,Konstantinos_Mavropanos_10,,Konstantinos_Mavropanos_8,Mavropanos,
Mawson,Mawson,Alfie_Mawson,Mawson,Alfie_Mawson_487,,,Mawson,
Mbemba,Mbemba,Chancel_Mbemba,,Chancel_Mbemba_316,,,Mbemba,
