Name,FFS17,vaastav17,FFS18,vaastav18,FFS19,vaastav19,FFS20,vaastav20
Bardsley,Bardsley,Phil_Bardsley,Bardsley,Phil_Bardsley_75,Bardsley,Phil_Bardsley_86,Bardsley,
Barkley,Barkley,Ross_Barkley,Barkley,Ross_Barkley_127,Barkley,Ross_Barkley_117,Barkley,
A Barnes,Barnes (Ashley),Ashley_Barnes,Barnes (Ashley),Ashley_Barnes_85,Barnes (Ashley),Ashley_Barnes_90,Barnes (Ashley),
H Barnes,Barnes (Harvey),Harvey_Barnes,Barnes (Harvey),Harvey_Barnes_571,Barnes (Harvey),Harvey_Barnes_172,Barnes (Harvey),
Barragan,,,,,,,Barragan,
Barreca,,,Barreca,Antonio_Barreca_588,,,Barreca,
Barrow,,Modou_Barrow,,,,,Barrow,
Barry,Barry,Gareth_Barry,,,,,Barry,
Bartley,Bartley,Kyle_Bartley,,,,,Bartley,
Barton,,,,,,,Barton,
Basham,,,,,Basham,Chris_Basham_423,Basham,
Baston,,,,,Baston,Borja_Gonz√°lez Tom√°s_623,Baston,
Batshuayi,Batshuayi,Michy_Batshuayi,Batshuayi,Michy_Batshuayi_592,Batshuayi,Michy_Batshuayi_461,Batshuayi,
Bauer,Bauer,Moritz_Bauer,,,,,Bauer,
Bednarek,Bednarek,Jan_Bednarek,Bednarek,Jan_Bednarek_335,Bednarek,Jan_Bednarek_307,Bednarek,
Begovic,Begovic,Asmir_Begovic,Begovic,Asmir_Begovic_24,,Asmir_Begovic_72,Begovic,
Behrami,,Valon_Behrami,,,,,Behrami,
Bellerin,BellerÌn,HÈctor_BellerÌn,BellerÌn,HÈctor_BellerÌn_4,BellerÌn,H√©ctor_Beller√≠n_2,BellerÌn,
Benalouane,Benalouane,Yohan_Benalouane,,Yohan_Benalouane_218,,,Benalouane,
Benkovic,,,,Filip_Benkovic_501,,Filip_Benkovic_597,Benkovic,
J Bennett,,,Bennett (Joe),Joe_Bennett_94,,,Bennett (Joe),
R Bennett,,,R Bennett,Ryan_Bennett_427,R Bennett,Ryan_Bennett_404,R Bennett,
Benrahma,,,,,,,Benrahma,
Bentaleb,,,,,Bentaleb,Nabil_Bentaleb_612,Bentaleb,
C Benteke,Benteke (Christian),Christian_Benteke,Benteke,Christian_Benteke_152,Benteke,Christian_Benteke_129,Benteke,
J Benteke,,,,,,,J Benteke,
Berahino,Berahino,Saido_Berahino,,,,,Berahino,
Berge,,,,,Berge,Sander_Berge_621,Berge,
Bergwijn,,,,,Bergwijn,Steven_Bergwijn_615,Bergwijn,
Bernard,,,Bernard,Bernard_AnÌcio Caldeira Duarte_507,Bernard,Bernard_An√≠cio Caldeira Duarte_152,Bernard,
Bernardo,,,Bernardo,Bernardo_Fernandes da Silva Junior_440,Bernardo,Bernardo_Fernandes da Silva Junior_39,Bernardo,
Bertrand,Bertrand,Ryan_Bertrand,Bertrand,Ryan_Bertrand_330,Bertrand,Ryan_Bertrand_305,Bertrand,
Besic,Besic,Muhamed_Besic,,,Besic,Muhamed_Be≈°iƒá_522,Besic,
Bettinelli,,,Bettinelli,Marcus_Bettinelli_178,,,Bettinelli,
Billing,Billing,Philip_Billing,Billing,Philip_Billing_202,Billing,Philip_Billing_476,Billing,
Bissouma,,,Bissouma,Yves_Bissouma_466,Bissouma,Yves_Bissouma_53,Bissouma,
Blind,Blind,Daley_Blind,,Daley_Blind_290,,,Blind,
Boga,Boga,Jeremie_Boga,,,,,Boga,
Bojan,Bojan,Bojan_Krkic Perez,,,,,Bojan,
Bolasie,Bolasie,Yannick_Bolasie,,Yannick_Bolasie_165,,,Bolasie,
