ID,Name,Pos,Price,Team,xPts GW36-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,36,37,38,xPts if play,36,37,38,Probability to play,36,37,38,xPts,36,37,38
183126,Areola,GK,5,WHU,0.593066607,6.277277134,5.441095723,,4.526315789,4.526315789,4.526315789,,4.019974255,3.441928926,3.806362358,,0.052631579,0.052631579,0.052631579,,0.211577592,0.181154154,0.200334861
140028,Kelleher,GK,4.5,LIV,0.438219752,6.24470565,5.419122469,,4.210526316,2.105263158,2.105263158,,4.80302947,4.124274644,4.474510157,,0.044125472,0.026315789,0.026315789,,0.211935941,0.108533543,0.117750267
225320,Gunn,GK,4,NOR,0.576441874,6.186364183,5.371308998,,8.526315789,4.263157895,4.263157895,,3.206163054,2.958973647,2.524547585,,0.089775688,0.052631579,0.052631579,,0.287835493,0.155735455,0.132870926
193308,Steffen,GK,4.5,MCI,0.352098182,6.178185743,5.361594046,,3.315789474,1.657894737,1.657894737,,4.5515903,3.509474787,3.748978774,,0.039587799,0.023684211,0.023684211,,0.18018744,0.08311914,0.088791603
88472,Leno,GK,5,ARS,0.354958604,6.161444503,5.344844271,,3.684210526,1.842105263,1.842105263,,3.905885784,3.370010279,3.569152665,,0.044125472,0.026315789,0.026315789,,0.172349053,0.088684481,0.09392507
234801,Gollini,GK,5,TOT,0.323452588,6.149540149,5.333382274,,3.315789474,1.657894737,1.657894737,,3.831046636,3.650572414,3.602778305,,0.039587799,0.023684211,0.023684211,,0.151662702,0.086460926,0.08532896
233403,Begovic,GK,4.5,EVE,0.351331654,6.145612039,5.330549004,,3.315789474,3.315789474,1.657894737,,3.462201528,3.800320983,2.694806989,,0.039587799,0.039587799,0.023684211,,0.137060937,0.150446342,0.063824376
233402,Hennessey,GK,4.5,BUR,0.378088648,6.145320574,5.324277659,,2.368421053,4.736842105,2.368421053,,3.158997627,3.258958226,3.320853345,,0.031578947,0.053226143,0.031578947,,0.09975782,0.173461776,0.104869053
90843,D Ward,GK,4,LEI,0.341315143,6.135595528,5.322919073,,3.315789474,3.315789474,1.657894737,,3.752479174,3.125993756,2.913820671,,0.039587799,0.039587799,0.023684211,,0.14855239,0.123751211,0.069011542
45019,Darlow,GK,4.5,NEW,0.304606043,6.115132359,5.297732257,,2.273684211,2.273684211,2.273684211,,3.04508468,3.258899516,3.341873831,,0.031578947,0.031578947,0.031578947,,0.096160569,0.102912616,0.105532858
