ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38
158282,Randolph,GK,4,WHU,0.00690428,2.002167438,2.002167438,,0.165789474,,2.91514047,,0.002368421,,0.00690428
23079,Jakupovic,GK,4,LEI,0.007188111,2.001924953,2.001924953,,0.184210526,,2.731482036,,0.002631579,,0.007188111
237977,Bettinelli,GK,4,CHE,0.004407052,2.001775473,2.001775473,,0.078947368,,3.349359623,,0.001315789,,0.004407052
23273,Adrian,GK,4.5,LIV,0.001005188,2.000478872,2.000478872,,0.018421053,,3.819715395,,0.000263158,,0.001005188
190419,Gillespie,GK,4,NEW,0.000814489,2.000288173,2.000288173,,0.018421053,,3.095057469,,0.000263158,,0.000814489
178022,Forster,GK,4.6,SOU,0,2,2,,0,,0.001333,,0,,0
192713,McGovern,GK,4,NOR,0.004820926,1.999557768,1.999557768,,0.184210526,,1.831952012,,0.002631579,,0.004820926
23157,Caballero,GK,4,SOU,0.051770334,1.999138755,1.999138755,,1.842105263,,1.967272707,,0.026315789,,0.051770334
273452,H Lewis,GK,4,SOU,0.003547851,1.998284693,1.998284693,,0.065789474,,1.348183438,,0.002631579,,0.003547851
28906,Trent,DEF,8.4,LIV,5.811965285,5.864596864,5.864596864,,84.54761905,,5.969045428,,0.973684211,,5.811965285
139835,Cancelo,DEF,7,MCI,5.171485956,5.224117535,5.224117535,,84.54761905,,5.311255847,,0.973684211,,5.171485956
45120,Robertson,DEF,8.2,LIV,4.981162918,5.033794497,5.033794497,,83.66666667,,5.115788943,,0.973684211,,4.981162918
77347,Laporte,DEF,6.3,MCI,4.894245435,4.946877014,4.946877014,,84.54761905,,5.026522339,,0.973684211,,4.894245435
45074,Rudiger,DEF,5.6,CHE,4.737108143,4.805529195,4.805529195,,83.89047619,,4.904907614,,0.965789474,,4.737108143
148332,R James,DEF,5.5,CHE,4.393213987,4.551108723,4.551108723,,66,,4.769775185,,0.921052632,,4.393213987
23393,Azpilicueta,DEF,5.4,CHE,4.39918016,4.504443318,4.504443318,,77.21428571,,4.643579058,,0.947368421,,4.39918016
28849,Alonso,DEF,5.6,CHE,4.07002903,4.491081662,4.491081662,,59.21428571,,5.155370105,,0.789473684,,4.07002903
23238,van Dijk,DEF,7,LIV,4.188659853,4.451817747,4.451817747,,75.78571429,,4.823305285,,0.868421053,,4.188659853
23135,Matip,DEF,6,LIV,3.887244836,4.308297468,4.308297468,,69.21428571,,4.923843459,,0.789473684,,3.887244836
225296,Sessegnon,DEF,4.6,TOT,4.116724152,4.22198731,4.22198731,,73.78571429,,4.34543105,,0.947368421,,4.116724152
56987,D Sanchez,DEF,4.6,TOT,4.140998455,4.219945823,4.219945823,,81.71428571,,4.311176474,,0.960526316,,4.140998455
181081,Gabriel,DEF,5.3,ARS,4.141774879,4.194406458,4.194406458,,85.42857143,,4.25371474,,0.973684211,,4.141774879
257275,Emerson R,DEF,5,TOT,3.846690245,3.951953403,3.951953403,,77.21428571,,4.060395259,,0.947368421,,3.846690245
176641,B White,DEF,5,ARS,3.894014943,3.946646522,3.946646522,,85.42857143,,3.99925859,,0.973684211,,3.894014943
23044,Stones,DEF,5.8,MCI,3.370554468,3.896870257,3.896870257,,63.5,,4.574323921,,0.736842105,,3.370554468
23490,Ben T Davies,DEF,4.8,TOT,3.846055676,3.888160939,3.888160939,,84.98571429,,3.928766551,,0.978947368,,3.846055676
23479,Dier,DEF,4.8,TOT,3.817175529,3.859280792,3.859280792,,85.87142857,,3.899265325,,0.978947368,,3.817175529
23260,Walker,DEF,5.6,MCI,2.710034427,3.446876532,3.446876532,,54.92857143,,4.290887843,,0.631578947,,2.710034427
180322,T Silva,DEF,5.4,CHE,2.749993498,3.434204025,3.434204025,,55.88095238,,4.179990117,,0.657894737,,2.749993498
230250,Tavares,DEF,4.6,ARS,2.953887589,3.37494022,3.37494022,,53.5,,3.741590946,,0.789473684,,2.953887589
138601,Cedric,DEF,4.5,ARS,2.889912877,3.310965509,3.310965509,,60.64285714,,3.660556311,,0.789473684,,2.889912877
23287,Tarkowski,DEF,4.8,BUR,3.196969195,3.249600773,3.249600773,,85.42857143,,3.283373767,,0.973684211,,3.196969195
45008,Dunk,DEF,5,BHA,3.193765591,3.24639717,3.24639717,,84.54761905,,3.28008358,,0.973684211,,3.193765591
257280,C Roberts,DEF,4.6,BUR,3.1690136,3.237434653,3.237434653,,82.14285714,,3.281267488,,0.965789474,,3.1690136
234803,Collins,DEF,4.5,BUR,2.953907004,3.16443332,3.16443332,,76.35714286,,3.301425475,,0.894736842,,2.953907004
242981,T Chalobah,DEF,5.1,CHE,2.013174663,3.11843782,3.11843782,,39.92857143,,4.500037481,,0.447368421,,2.013174663
