ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,37,38,xPts if play,37,38,Probability to play,37,38,xPts,37,38
193308,Steffen,GK,4.5,MCI,0.171632391,4.076895549,4.076895549,,1.657894737,1.657894737,,3.511317326,3.735383632,,0.023684211,0.023684211,,0.083162779,0.088469612
45019,Darlow,GK,4.5,NEW,0.200261516,4.073945727,4.073945727,,2.273684211,2.273684211,,3.127162112,3.214452573,,0.031578947,0.031578947,,0.098752488,0.101509029
225320,Gunn,GK,4,NOR,0.275428547,4.064902231,4.064902231,,4.263157895,4.263157895,,2.833165966,2.39997643,,0.052631579,0.052631579,,0.149113998,0.126314549
236836,Klaesson,GK,4.5,LEE,0.168555381,4.063292223,4.063292223,,1.842105263,1.842105263,,3.23076549,3.174339001,,0.026315789,0.026315789,,0.085020144,0.083535237
90843,D Ward,GK,4,LEI,0.188838201,4.062294182,4.062294182,,3.315789474,1.657894737,,3.069544954,2.842470651,,0.039587799,0.023684211,,0.121516527,0.067321673
197282,Steele,GK,4,BHA,0.166477517,4.06121436,4.06121436,,1.842105263,1.842105263,,3.058126416,3.268019245,,0.026315789,0.026315789,,0.080477011,0.086000506
88503,Ruddy,GK,4,WOL,0.154301732,4.049038574,4.049038574,,1.842105263,1.842105263,,3.454493963,2.408971839,,0.026315789,0.026315789,,0.090907736,0.063393996
274828,Lossl,GK,4.5,BRE,0.141148689,4.035885531,4.035885531,,1.842105263,1.842105263,,2.623567169,2.740083006,,0.026315789,0.026315789,,0.069041241,0.072107448
137863,D Henderson,GK,5,MUN,0.097981575,4.03482368,4.03482368,,0,2.210526316,,0.00128,3.102749882,,0,0.031578947,,0,0.097981575
221679,Norris,GK,4.5,BUR,0.023707122,4.010282637,4.010282637,,0.368421053,0.184210526,,3.646747441,3.35386992,,0.004080663,0.002631579,,0.014881148,0.008825973
237977,Bettinelli,GK,4,CHE,0.019291156,4.00876484,4.00876484,,0.184210526,0.184210526,,3.516584012,3.81405523,,0.002631579,0.002631579,,0.009254168,0.010036987
139990,Carson,GK,4.5,MCI,0.018640052,4.008113737,4.008113737,,0.184210526,0.184210526,,3.420593962,3.662625933,,0.002631579,0.002631579,,0.009001563,0.009638489
