ID,Name,Pos,Price,Team,xPts GW4-38,xPts +2 per sub,"xPts +2 per sub, GW4-18 with 0.86 decay",GW xMins,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
45113,Ederson,GK,6,MCI,161.1881906,161.7787169,29.71295806,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,5.03272407,4.392013564,4.326693749,5.044003789,4.820560762,5.126650732,4.19520162,4.972922943,4.907064933,4.62171034,4.917464505,5.083324449,4.815615672,4.742678772,4.706825988,4.864240068,4.477775773,4.691758372,4.732781454,5.146919811,4.723546373,4.722511874,4.666432478,4.522493929,4.823273213,5.108036449,4.739193867,4.581785087,4.789971848,5.203061869,4.507162345,5.054700066,4.603488143,4.935656473,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.989018835,4.353872393,4.28911983,5.000200598,4.778697998,5.082129818,4.158769606,4.929737033,4.864450948,4.581574434,4.874760208,5.03917979,4.773795852,4.701492351,4.66595092,4.821997983,4.438889826,4.651014155,4.691680984,5.102222876,4.682526101,4.681500587,4.625908196,4.483219639,4.781386893,5.063677185,4.69803771,4.541995901,4.748374724,5.157877385,4.468021199,5.010803987,4.563510482,4.892794193
90826,Alisson,GK,6,LIV,152.0259837,152.9207206,28.53288997,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,4.900756662,4.642142668,4.361594584,4.686894508,3.961118445,4.894359903,4.36612965,4.526775917,4.790152324,4.423508246,4.55840625,4.673013494,4.800387169,4.119929203,4.551616551,4.12362711,4.187862762,4.924439917,4.585349432,4.43593968,4.492108451,4.775918698,4.236538713,4.654691076,4.607479676,4.250607711,4.981059868,4.189866381,4.362733975,4.725438785,4.47860688,4.437849045,4.491678358,4.854414751,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,4.836273022,4.581061844,4.304205182,4.625224844,3.908998466,4.829960431,4.308680576,4.467213076,4.727124004,4.36530419,4.49842722,4.611526474,4.737224179,4.065719608,4.49172686,4.069368858,4.132759305,4.859644655,4.525015887,4.377572052,4.43300176,4.713077663,4.180794782,4.59344514,4.546854944,4.194678662,4.915519607,4.13473656,4.30532958,4.663261958,4.419677842,4.379456295,4.432577327,4.790540873
185291,E Mendy,GK,6,CHE,147.0935803,149.7777908,27.43189601,,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,,4.110337068,4.318235706,4.765689393,4.611682134,4.749801756,4.470044369,4.772812537,4.108781704,4.241305764,4.661602271,4.339366788,4.527948145,4.702929924,4.541525062,4.348860966,4.863440366,4.326644777,4.112298702,4.429859675,4.580492212,4.508891661,4.570611019,4.424527496,4.473029498,4.780996311,4.448746484,4.888857933,4.471544808,4.237200329,4.629882041,4.403961594,4.83262709,3.938649098,4.945337279,,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,,3.948086921,4.147779033,4.577570075,4.42964205,4.562309581,4.293595249,4.584412042,3.946592952,4.0738858,4.477591655,4.168075993,4.34921335,4.517287954,4.362254336,4.177195401,4.671462457,4.155856168,3.949971122,4.254996793,4.399683309,4.330909095,4.390192163,4.249875094,4.296462544,4.592272772,4.27313807,4.695876699,4.29503646,4.069942421,4.44712354,4.230121005,4.641865494,3.783176108,4.750126597
192988,R Sanchez,GK,4.5,BHA,136.2357701,136.8262964,25.20888258,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.999142497,4.154295282,4.088345853,4.011711742,3.935271329,3.771774307,4.379980894,3.907542622,4.106822816,3.913373694,4.04515661,3.993498869,4.448947501,3.514411381,4.510834028,3.750006404,3.975607926,4.501417147,3.671544989,4.021493118,4.248940941,4.376520774,4.240739692,4.028927139,3.945060898,3.768439687,4.344896857,3.783316034,3.6596358,4.369092603,4.123752087,3.810868605,3.807668956,4.220195396,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.964413102,4.118218507,4.052841797,3.976873193,3.901096604,3.739019425,4.341944218,3.873608699,4.071158302,3.879389133,4.010027618,3.958818484,4.410311904,3.483891493,4.471660996,3.717440559,3.94108291,4.462325893,3.639660519,3.986569625,4.212042243,4.338514146,4.203912216,3.993939087,3.910801159,3.735713764,4.307164858,3.750460921,3.627854752,4.331150483,4.087940556,3.77777422,3.774602357,4.183546331
176642,Meslier,GK,5,LEE,133.2705423,133.8610686,24.91582938,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.814845784,4.03018004,4.344766322,3.898835752,4.22928088,3.843122969,3.787502718,3.525611952,4.046468647,4.249240407,4.310723895,3.74996806,3.962490495,3.902191856,3.956976062,4.008843756,4.144434549,3.820156669,4.11602754,3.752449681,3.83616916,3.642176811,3.764879221,3.558054182,4.108930829,3.967143846,4.150751526,4.069741173,3.891194311,3.941942277,3.943954854,3.704003317,4.294424997,4.070545948,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.78171686,3.995181108,4.307035457,3.864977441,4.192552915,3.80974848,3.754611247,3.494994796,4.011328261,4.212339109,4.273288662,3.717402548,3.928079393,3.8683044,3.922612848,3.974030113,4.108443407,3.786981624,4.08028309,3.719862618,3.80285506,3.61054738,3.732184217,3.52715529,4.073248009,3.932692333,4.114705526,4.034398684,3.85740236,3.90770962,3.90970472,3.671836972,4.257131307,4.03519647
231959,Sa,GK,4.5,WOL,128.5524577,131.2366683,24.68532744,,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,,4.370247111,3.8795988,4.234331718,3.741725283,3.648755343,4.160293364,3.981766205,4.082410513,3.844406235,4.233738842,3.823743303,3.630156957,4.012796789,3.889396451,4.429475446,3.623760064,3.357442098,4.22787564,4.036706777,3.951516575,3.49581392,3.85993741,3.752499193,4.354999186,3.810666777,3.970402657,4.099185573,3.857636498,3.814903179,3.87601608,4.352155012,3.596470991,4.20219411,3.632411364,,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,,4.197737356,3.726456742,4.067187045,3.594025601,3.504725526,3.996071258,3.824591223,3.921262729,3.692653357,4.066617572,3.672806067,3.486861288,3.854396916,3.735867644,4.254627731,3.480716904,3.224911489,4.060985812,3.877363089,3.795535658,3.357821265,3.707571459,3.604374225,4.183091323,3.66024572,3.813676236,3.937375616,3.705361373,3.664314896,3.723015445,4.180359419,3.45450503,4.036318027,3.489026705
131313,Martinez,GK,5.5,AVL,138.991034,142.3715603,24.57917528,,83.21428571,87.80904762,87.80904762,29.68421053,29.68421053,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.409770323,3.867164898,3.911620905,4.582244186,4.098187771,4.405764731,4.277331027,4.647822517,4.296199835,4.358944751,4.159797038,4.389674673,4.220688724,4.501524553,4.278434788,4.134022353,4.448826014,4.025917374,4.216266581,4.308983053,4.180309401,4.691257478,4.418868671,4.511926293,4.211639862,4.281759038,4.338543036,4.138008415,4.362098954,3.943578998,4.469926875,4.250138248,4.58557528,4.396543464,,0.947368421,0.991315789,0.991315789,0.315789474,0.315789474,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.177677148,3.833581624,3.877651565,1.44702448,1.294164559,4.367504142,4.240185784,4.607459848,4.258890731,4.321090757,4.123672484,4.351553814,4.184035374,4.462432366,4.241279959,4.098121632,4.410191472,3.99095546,4.179651634,4.271562937,4.144006714,4.650517611,4.380494285,4.472743776,4.175065095,4.244575341,4.300866215,4.102073079,4.324217568,3.909332128,4.431109089,4.213229153,4.545753179,4.358362955
24087,Pope,GK,5.5,BUR,126.0856373,129.6645847,23.97030825,,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,,3.8935145,3.542122843,4.112546938,3.915249914,3.88734578,4.311011737,3.721176014,4.25784218,3.76081868,3.955540742,3.811346798,4.024486011,4.35152817,3.741119759,4.082870723,3.446870324,3.717277124,3.781940543,3.684205842,3.628962714,3.919404132,4.034465772,3.940762552,3.873744308,4.059410231,4.150042934,3.911009239,3.835607198,3.803008248,4.227703062,4.065510343,4.008120848,3.511203162,4.122625586,,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,,3.688592685,3.355695325,3.896097099,3.709184129,3.682748633,4.084116383,3.525324645,4.033745224,3.562880855,3.747354387,3.610749598,3.812670958,4.122500372,3.544218719,3.86798279,3.265456097,3.52163096,3.58289104,3.490300271,3.437964676,3.713119704,3.822125469,3.733353997,3.669863029,3.845757061,3.931619622,3.705166647,3.633733135,3.60284992,4.005192374,3.851536115,3.797167119,3.326402996,3.905645292
23433,Pickford,GK,5,EVE,129.2961277,129.886654,23.90032975,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.668644552,4.103301648,3.298689222,3.976253133,4.35278582,3.894001407,3.734288658,3.607527837,3.978226822,3.730531696,3.838695393,3.92563802,3.54475999,3.747241301,3.809620333,4.139794344,4.271312967,3.774084002,3.99223028,3.785738276,3.85805409,3.813160915,3.718012629,3.421102571,4.217423528,4.022385641,3.687297436,3.559455208,4.280593759,3.61197992,3.781420324,3.441802528,4.284956081,3.557788546,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.63678527,4.067667712,3.27004271,3.941722514,4.314985312,3.860185079,3.701859309,3.576199306,3.943679063,3.698134974,3.805359354,3.891546953,3.513976548,3.714699469,3.776536788,4.103843498,4.234219986,3.741309062,3.957560912,3.752862127,3.824549936,3.780046623,3.685724625,3.391392996,4.180798534,3.987454397,3.655276169,3.528544149,4.243420182,3.580612726,3.748581674,3.41191319,4.247744621,3.526891961
