ID,Name,Pos,Price,Team,xPts GW18-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
45113,Ederson,GK,6,MCI,99.93344317,100.29818,32.53945152,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.839442533,4.790450068,4.810187844,4.542422025,4.631087965,4.736478797,5.072836733,4.940002564,4.751220725,4.710534577,4.56439064,4.767102902,5.077856083,4.847142011,4.457999746,4.831950714,5.043425233,4.736826267,5.11116735,4.58538598,4.96097803,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.797415796,4.748848791,4.76841516,4.502974676,4.590870622,4.695346218,5.028783151,4.897102542,4.709960124,4.669627303,4.524752511,4.725704377,5.033758912,4.805048409,4.419285538,4.789989037,4.999627066,4.695690671,5.066780896,4.545565522,4.917895853
90826,Alisson,GK,6.1,LIV,98.71283897,99.26547055,32.06679397,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,4.442342132,4.968168054,4.533036894,4.430071134,5.039988477,4.774909916,4.757263846,4.853045511,5.163054311,4.557018513,4.820217274,4.842105262,4.517599707,5.002869042,4.388089136,4.6835174,4.942184931,4.817902716,4.6888992,4.743498582,5.063228113,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,4.383890262,4.902797421,4.473391672,4.371780724,4.97367284,4.712082154,4.69466827,4.789189649,5.095119385,4.497057743,4.756793363,4.778393351,4.458157606,4.937041818,4.330351121,4.621892171,4.877156182,4.75450926,4.627203158,4.681084127,4.996606691
131313,Ramsdale,GK,4.9,ARS,92.03458618,93.13984934,30.48112412,,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,86.30952381,,4.497624908,4.624365535,4.712611439,4.478436463,4.139804102,4.745848156,4.495205726,4.360566687,4.714970306,4.496439791,4.478794058,4.470529523,4.38144498,4.464334932,4.758475002,4.457582631,4.222953195,4.348202691,4.663381564,4.419840275,4.590595469,,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,,4.379266358,4.502671705,4.588595348,4.360582872,4.030861889,4.620957415,4.376910839,4.245814932,4.59089214,4.378112428,4.360931057,4.352884009,4.266143796,4.346852434,4.633251975,4.340277825,4.111822848,4.233776304,4.540660997,4.303528689,4.469790325
185291,Martinez,GK,5.5,AVL,91.14781578,91.51255262,29.82875928,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.632262839,4.2757542,4.347047387,4.385802609,4.088788407,4.249466619,4.53705273,4.303372229,4.551124829,4.434776371,4.524680181,4.195474974,4.348436884,4.369484258,4.207531801,4.309169637,4.165369311,4.718223508,4.410026903,4.563215585,4.329235518,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.592035293,4.23862265,4.309296713,4.347715376,4.053280508,4.212563356,4.497652009,4.266000838,4.511601902,4.396263839,4.485386906,4.159040587,4.310674143,4.331538737,4.170992709,4.2717479,4.129196367,4.677249461,4.371729301,4.52358766,4.291639525
140080,E Mendy,GK,6.3,CHE,77.29059142,87.54214959,25.65061424,,84.32142857,84.32142857,44.46428571,0,0,0,0,84.32142857,84.32142857,84.32142857,168.6428571,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,84.32142857,,4.590047383,4.441855378,4.847660008,0.001143,0.001143,0.001143,0.001143,4.56632187,4.533592991,4.544799048,9.034202753,4.83764268,4.696751493,4.821999738,4.502757831,4.509687511,4.605450913,4.462428214,4.846686342,4.05656539,4.78078777,,0.960526316,0.960526316,0.486842105,0,0,0,0,0.960526316,0.960526316,0.960526316,0.979484072,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,,4.408861302,4.266518981,2.360045004,0,0,0,0,4.386072322,4.354635373,4.365399086,8.8488577,4.646683101,4.511353408,4.631657643,4.325017391,4.33167353,4.423656798,4.286279732,4.655369776,3.896437809,4.592072463
77662,Sa,GK,4.6,WOL,81.55638842,83.21428316,26.86293127,,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,85.19047619,,3.938477531,4.286294099,3.835407954,3.578505422,4.256477856,4.08459384,4.055572096,3.683996529,4.045701815,3.865479572,4.310978672,3.956639346,4.256049775,4.188436237,4.049263446,3.894351915,4.118907903,4.379934872,3.785312672,4.468717472,3.868921798,,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,,3.783011313,4.11709828,3.684010272,3.437248629,4.088458993,3.923359872,3.895483724,3.538575613,3.886003059,3.712894852,4.140808461,3.800456214,4.08804781,4.023103228,3.889424099,3.740627497,3.956319433,4.207042706,3.635892435,4.29232073,3.716201201
23259,Lloris,GK,5.6,TOT,96.75042561,97.08933607,29.79898493,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,3.806938995,4.268105815,3.975754427,4.005039641,4.008622032,3.721883338,4.213207681,8.38317766,3.758507477,3.987856806,4.180616344,7.589315082,4.049175161,4.306935784,3.904638541,4.332355004,4.053187487,3.997149528,8.431176627,4.335076042,4.183304307,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,,3.773878736,4.231040685,3.941228139,3.970259034,3.973810314,3.689561719,4.176619298,8.346460909,3.725867807,3.953225418,4.144310992,7.556075301,4.014011271,4.269533447,3.870729838,4.294731921,4.017988754,3.96243744,8.394249649,4.297429329,4.146975612
23448,Meslier,GK,5,LEE,80.74730557,81.11204241,26.49364275,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.856611589,3.89224122,3.969522883,4.160436662,3.708275051,4.100226664,3.753118185,3.765079035,3.595719126,3.713834118,3.683971211,4.251031933,3.891334,4.043649316,3.851935037,3.785486839,3.856596423,3.810024428,3.687514464,4.175514769,3.902552166,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.823119962,3.858440178,3.93505071,4.124306554,3.67607161,4.064619433,3.720525316,3.732382296,3.564493144,3.6815824,3.651978829,4.214115076,3.857540837,4.008533414,3.818484022,3.752612875,3.823104928,3.776937374,3.655491313,4.139253719,3.868661581
23433,Pope,GK,5.5,BUR,83.46420396,85.57500728,28.29660863,,84.07142857,84.07142857,84.07142857,168.1428571,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,168.1428571,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,,3.741570576,4.004096086,3.410907607,7.715523624,3.838744944,3.658202682,3.576653401,3.742749019,3.947773517,3.854040789,3.744943346,7.40938243,4.043686578,3.733481758,4.017321204,3.683690183,4.150750711,3.845215749,3.970426846,3.490568827,4.123350458,,0.947368421,0.947368421,0.947368421,0.972299169,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.972299169,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,,3.544645809,3.793354186,3.231386154,7.501797207,3.636705736,3.465665699,3.388408485,3.545762229,3.739995963,3.651196537,3.547841065,7.20413638,3.830860969,3.536982718,3.805883246,3.489811752,3.932290147,3.642835973,3.761457012,3.306854678,3.906332012
