106430,Saka,MID,6.9,ARS,39.00298271,39.35022866,26.26329005,,75.15238095,150.3047619,75.15238095,75.15238095,150.3047619,75.15238095,75.15238095,,4.727914677,7.783196219,4.606215238,4.25755559,8.950645756,4.454252731,5.034295287,,0.965789474,0.998714829,0.965789474,0.965789474,0.998714829,0.965789474,0.965789474,,4.566170227,7.77319348,4.44863419,4.111902372,8.939142646,4.301870401,4.862069396
138306,Pepe,MID,7.5,ARS,11.18195073,15.10806466,10.06067328,,13.81578947,27.63157895,13.81578947,13.81578947,27.63157895,13.81578947,13.81578947,,1.953844028,2.628558735,1.925508673,1.820168374,2.91680976,1.878472285,2.053897026,,0.657894737,0.873734676,0.657894737,0.657894737,0.873734676,0.657894737,0.657894737,,1.285423703,2.296662913,1.266782022,1.197479193,2.548517829,1.23583703,1.351248043
140080,Ramsdale,GK,5.3,ARS,40.4514322,40.53860599,27.34545951,,87.80904762,175.6180952,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.873680341,8.803137303,4.427498969,4.387305279,8.890140803,4.507860517,4.762656938,,0.991315789,0.999917079,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,4.831356275,8.802407339,4.389049636,4.349204997,8.889403624,4.468713307,4.721297023
201990,Odegaard,MID,6.3,ARS,36.2686785,36.61592445,24.47556215,,76.02619048,152.052381,76.02619048,76.02619048,152.052381,76.02619048,76.02619048,,4.386783959,7.35459435,4.259029264,3.985197574,8.261539222,4.15338982,4.62048616,,0.965789474,0.998714829,0.965789474,0.965789474,0.998714829,0.965789474,0.965789474,,4.236709771,7.345142438,4.113325632,3.848861867,8.250921731,4.011300168,4.462416896
132434,Pulisic,MID,7.7,CHE,32.23531018,33.78464939,20.96389551,,42.07142857,56.14285714,56.14285714,56.14285714,112.2857143,112.2857143,56.14285714,,3.278139288,4.072279436,4.348592378,4.076121591,7.601586663,7.268850931,4.842664089,,0.789473684,0.868421053,0.868421053,0.868421053,0.981086251,0.981086251,0.868421053,,2.588004701,3.536453195,3.77640917,3.539789803,7.45781216,7.131369708,4.205471446
140008,Martinelli,MID,5.7,ARS,34.64706584,35.10322039,23.41585479,,61.40714286,122.8142857,61.40714286,61.40714286,122.8142857,61.40714286,61.40714286,,4.232699422,6.905770611,4.13723959,3.825609642,7.979935585,4.00190833,4.523593969,,0.955263158,0.997803468,0.955263158,0.955263158,0.997803468,0.955263158,0.955263158,,4.043341816,6.890601868,3.952152556,3.654463947,7.962407404,3.822875589,4.32122266
278661,Coutinho,MID,6.6,AVL,41.61414494,43.89296983,27.13718699,,76.9,0,76.9,76.9,153.8,153.8,76.9,,5.291311954,0.001702,5.182900605,6.847541865,9.824054413,11.25506519,3.968719504,,0.965789474,0,0.965789474,0.965789474,0.998714829,0.998714829,0.965789474,,5.110293387,0,5.005590848,6.613283854,9.811428823,11.24060051,3.832947521
197966,Smith Rowe,MID,6.4,ARS,29.53841326,29.99456781,20.04375642,,58.81428571,117.6285714,58.81428571,58.81428571,117.6285714,58.81428571,58.81428571,,3.598834735,6.00191337,3.503631274,3.287238817,6.743333533,3.422798134,3.79642664,,0.955263158,0.997803468,0.955263158,0.955263158,0.997803468,0.955263158,0.955263158,,3.437834234,5.988729978,3.346889875,3.140178133,6.728521588,3.269672955,3.626586501
161049,Bowen,MID,7,WHU,34.17849891,34.69428838,23.20608697,,72.07142857,78.64761905,78.64761905,78.64761905,78.64761905,78.64761905,78.64761905,,4.893212835,5.98190046,4.240961458,5.229120245,5.934550317,4.306928174,4.895838975,,0.947368421,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,0.965789474,,4.635675317,5.777256497,4.095875934,5.050229289,5.731526227,4.159585895,4.728349747
139802,Mount,MID,7.2,CHE,35.95927492,37.06039483,23.24721895,,61.78571429,61.78571429,61.78571429,61.78571429,123.5714286,123.5714286,61.78571429,,4.168373799,4.306637411,4.588482664,4.30479364,8.205777213,7.85167145,5.092479753,,0.894736842,0.894736842,0.894736842,0.894736842,0.987877917,0.987877917,0.894736842,,3.72959761,3.853307158,4.105484489,3.851657468,8.106306104,7.756492839,4.556429252
228177,Sancho,MID,7.9,MUN,33.2838095,33.75038852,23.44234391,,71.65714286,142.5714286,71.28571429,71.28571429,71.28571429,71.28571429,71.28571429,,4.376693647,8.777363005,3.940478223,4.89524606,4.137137645,4.022515072,4.133139478,,0.965789474,0.998289435,0.960526316,0.960526316,0.960526316,0.960526316,0.960526316,,4.226964654,8.762348753,3.78493303,4.702012663,3.97382958,3.863731583,3.969989236
110910,Tielemans,MID,6.4,LEI,37.82692729,38.4994756,25.30141547,,75.16666667,150.3333333,75.16666667,75.16666667,150.3333333,150.3333333,75.16666667,,4.369823949,7.516622869,4.273884715,3.652046328,8.403715841,6.886172914,4.181201019,,0.921052632,0.993171773,0.921052632,0.921052632,0.993171773,0.993171773,0.921052632,,4.024837848,7.465297665,3.936472764,3.363726881,8.346333366,6.839152566,3.851106202
23160,Gundogan,MID,7.4,MCI,25.51114728,28.13387138,18.32882901,,46.35714286,46.35714286,46.35714286,46.35714286,92.71428571,46.35714286,46.35714286,,3.561618503,4.096385548,4.647990679,4.082517436,6.700573236,3.71763312,4.129709438,,0.789473684,0.789473684,0.789473684,0.789473684,0.951795845,0.789473684,0.789473684,,2.811804081,3.23398859,3.669466325,3.223040081,6.377577763,2.934973516,3.260296925
