ID,xMins,xPts
425,22.10526316,0.793934851
426,72.07142857,2.31577386
427,0,0
428,3.947368421,0.120936303
429,84.54761905,2.348311456
430,73.4047619,3.490727449
431,79.57142857,2.628389657
432,20.63157895,0.637510262
433,0,0
434,48.83333333,1.797889419
435,76.9,2.881809567
436,56.83333333,1.97256871
437,76.35714286,2.547264181
438,0.657894737,0.040581048
439,17.05263158,0.475330572
440,56.83333333,2.112205951
441,0,0
442,6.315789474,0.237539182
443,8.842105263,0.262816425
444,1.842105263,0.061570694
445,64.33333333,2.468335741
446,1.578947368,0.045635182
447,0,0
448,11.18421053,0.274216631
449,50.64285714,2.081965822
450,0.789473684,0.044493281
451,0,0
452,1.842105263,0.061428944
453,46.35714286,1.529299774
454,3.684210526,0.116986033
455,41.5952381,2.47838457
456,32.42105263,0.573761788
457,36.21052632,0.630039777
458,37.78571429,1.316740229
459,11.78947368,0.58554658
460,74.73809524,2.488412414
461,69.90952381,2.903358532
462,36.83333333,1.38067556
463,26.94736842,0.768078143
464,5.684210526,0.248888409
465,59.21428571,2.150472147
466,0.789473684,0.033628816
467,2.105263158,0.086086769
468,36.83333333,1.833164868
469,0.394736842,0.019268212
470,76.5,2.369988459
471,29.47368421,0.945634229
472,1.842105263,0.095904237
473,66.35714286,2.982406883
474,71.5,1.54165731
475,85.19047619,2.967817848
476,0.184210526,0.007934547
477,18.10526316,0.365970708
478,8.526315789,0.299394091
479,33.15789474,1.03877679
480,5.263157895,0.207897684
481,0.921052632,0.037685777
482,37.78571429,1.661867177
483,78.92857143,2.400609848
484,16.84210526,0.936486209
485,72.07142857,4.519246801
486,1.657894737,0.06203744
487,16.84210526,0.609947769
488,76.83333333,1.692253846
489,70.66666667,2.968204667
490,1.842105263,0.058662625
491,19.73684211,0.590499005
492,25.26315789,1.55455467
493,25.78947368,0.555599831
494,27.63157895,0.774707231
495,0.789473684,0.043059569
496,0.526315789,0.039550048
497,1.578947368,0.088548231
498,3.684210526,0.117397858
499,1.184210526,0.047132655
500,6.315789474,0.292208988
501,7.368421053,0.392574571
502,0.592105263,0.028687568
503,3.157894737,0.168195907
504,0.657894737,0.038251303
505,0.394736842,0.022225085
506,18.94736842,0.934551514
507,0.328947368,0.02208872
508,0.328947368,0.019829273
509,0.184210526,0.008004892
510,6.315789474,0.307334659
511,0.328947368,0.022312861
512,0.921052632,0.05262608
513,60.07142857,2.414992728
514,0.184210526,0.007227907
515,1.184210526,0.030194416
516,19.89473684,0.777952943
517,3.157894737,0.188492732
518,9.473684211,0.375152455
519,8.526315789,0.331166881
520,0.131578947,0.007802274
521,0.460526316,0.021586212
522,0.328947368,0.018178388
523,4.736842105,0.266689065
524,2.105263158,0.115097445
525,22.10526316,0.931244462
526,7.105263158,0.271774633
