ID,xMins,xPts
1,2.297368421,0.108570371
4,0,0
5,3.573684211,0.171067449
6,77.98338095,4.889256223
7,0,0
10,8.168421053,0.407225763
12,0,0
14,47.045,2.169520653
15,0,0
16,79.67857143,4.240160348
17,0,0
19,59.77285714,2.361840969
20,25.73052632,1.696338891
21,62.72666667,3.24240583
22,74.593,4.210768262
23,82.01119048,4.036161773
26,62.72666667,4.020380777
28,1.624736842,0.062384822
30,86.05286667,3.799188242
32,0,0
33,62.01642857,3.197848437
34,5.415789474,0.293911593
35,82.21266667,2.821004218
36,42.44333333,1.602670916
37,0,0
38,82.85666667,3.003809159
39,8.252631579,0.307386467
40,80.5,3.737107965
41,0,0
42,0,0
43,67.305,3.017604091
44,80.71,3.004108065
45,53.83,1.978786304
50,78.78733333,2.323671006
51,70.63,2.469180273
52,16.09263158,0.649222179
53,0,0
54,0.541578947,0.020235541
55,64.68,2.792653719
56,0,0
58,72.73,2.456481432
59,45.43,1.615359026
60,45.43,1.849487075
61,82.85666667,2.629694716
62,81.13,2.636394886
63,69.86,3.235928586
64,71.56333333,3.321182794
67,82.01119048,3.726624203
69,86.05286667,3.483343065
70,0,0
71,58.87,2.128113535
73,5.157894737,0.29726372
74,62.23,2.694263527
75,75.362,2.549369177
76,83.70214286,3.540269146
77,79.59128571,2.598182351
78,83.05157143,3.559450475
79,0,0
80,0,0
81,67.10785714,2.724995934
82,0,0
83,77.715,3.318003157
84,67.10785714,2.41712896
85,12.76578947,0.669057891
86,52.965,2.262030992
87,0,0
88,6.252631579,0.361486484
89,9.847894737,0.471248703
90,7.815789474,0.30485638
91,81.95785714,3.623267175
96,71.35071429,3.199000089
97,0.390789474,0.02093242
98,164.8731429,5.563398793
99,3.789473684,0.111972099
100,49.65690476,1.358267272
101,94.19380952,2.582841586
102,3.536842105,0.153193853
103,4.128947368,0.105244771
104,110.0897143,4.671905836
105,24.35526316,1.556949405
106,164.8731429,5.175542522
107,159.392,5.654968526
108,122.7580952,4.769140993
109,70.78285714,3.579451071
110,159.1880952,5.077685202
111,86.47714286,4.436645303
112,167.8628571,6.907089975
113,119.4942857,4.110502709
114,0.353684211,0.012918536
115,139.272381,4.14628959
118,152.1047619,5.658058048
119,80.5,3.909813132
121,80.5,3.520161461
122,77.35,4.268220309
123,64.68,2.653641449
124,3.094736842,0.204936483
125,47.85666667,1.925937193
127,83.286,3.867605997
128,31.41157895,0.806209241
129,86.05286667,3.725798837
130,51.17,1.985779121
131,19.72894737,1.165155422
132,4.642105263,0.218598768
133,68.53,2.7722938
134,33.01052632,1.747207539
135,0,0
137,34.81578947,1.911666983
138,63.72333333,3.639700665
140,23.52,1.212623193
141,42.25666667,2.392733124
142,3.094736842,0.177434117
143,0,0
144,80.5,2.893911498
145,0,0
146,80.19666667,2.569044633
147,4.177894737,0.097459938
148,0,0
149,52.43,2.335515928
150,0,0
151,3.172105263,0.06762712
152,52.43,1.880210547
153,51.21666667,1.923657745
154,0,0
155,49.16333333,1.884008308
156,7.919947368,0.266016045
157,1.805263158,0.077188553
158,3.172105263,0.067685869
159,16.24736842,0.883078816
160,34.81578947,1.494671586
161,8.665263158,0.173970942
162,82.85666667,1.862195547
163,0,0
165,56.63,2.199515233
168,76.93,3.206931241
169,81.78333333,3.195387136
170,86.05286667,3.389630648
171,71.65666667,2.105033442
172,38.61666667,1.339815065
173,80.5,3.102444711
174,0,0
175,51.59,1.918204965
176,0,0
177,78.78733333,4.402937743
178,21.40526316,0.741655425
179,79.87,2.830641171
180,71.21333333,3.394945938
184,0,0
185,77.88214286,3.26640973
186,62.13214286,2.584348281
187,61.81071429,3.169083324
188,77.88214286,3.153548832
189,0,0
190,76.09285714,2.984043789
191,0,0
193,45.57857143,2.119930899
194,72.92142857,2.898210565
196,72.92142857,4.310847784
197,1.657894737,0.072915334
198,76.09285714,2.905806642
199,79.02814286,3.485824617
200,86.05286667,3.491254344
201,0,0
202,52.71,2.0965417
203,0,0
204,1.624736842,0.064238767
205,0,0
207,0,0
208,66.43,2.424646215
209,0,0
210,82.85666667,3.824682414
211,20.88947368,1.174833189
212,71.93666667,3.925720245
213,0,0
214,33.42315789,1.182758568
215,67.305,3.449694393
216,0,0
217,84.805,3.236135102
218,33.42315789,1.616837853
219,80.5,2.955427734
220,2.063157895,0.075980512
221,65.086,2.609929717
222,78.78733333,2.957879462
223,0.018052632,0.000818029
224,27.85263158,1.236348081
225,2.785263158,0.112120659
227,48.23,1.976034821
228,77.67666667,3.996762812
229,82.21266667,4.06966142
230,0,0
231,85.68,4.096131247
232,76.93,2.457846118
233,0,0
234,79.03,4.400613147
235,0.386842105,0.025652197
236,46.27,2.338452466
237,78.19,5.240718652
238,3.868421053,0.163483628
239,0,0
240,77.67666667,5.078359516
241,0,0
242,2.063157895,0.092824525
243,63.53666667,2.54469502
244,29.24526316,1.205557836
245,15.47368421,0.716865341
246,2.707894737,0.119172463
247,0.064473684,0.004380068
249,81.32142857,3.981479971
250,54.75642857,3.15324516
251,67.99178571,4.328028412
252,36.65357143,1.815015209
254,0,0
255,63.71357143,4.306852546
256,83.70214286,4.979210691
257,86.93095714,4.058218734
258,17.50736842,0.794393714
259,65.69357143,3.3962643
260,1.641315789,0.078206506
261,69.65357143,3.484218894
262,71.35071429,3.570931595
263,63.71357143,3.441270633
264,0,0
265,65.41071429,4.225182504
266,77.29071429,2.622729503
267,66.06428571,3.368531869
269,14.44210526,0.997906475
270,84.58333333,3.557210999
271,27.85263158,0.912286258
272,0,0
273,82.21266667,3.087847714
274,73.26666667,2.654068565
275,42.63,1.801067008
276,6.447368421,0.484384194
277,73.99,4.712994836
278,0.386842105,0.028406616
279,43.47,1.714510613
280,3.301052632,0.132666201
281,52.43,3.25095621
282,9.284210526,0.58882057
284,0,0
285,67.64333333,2.451615119
286,0,0
287,62.91857143,2.795836031
288,44.49666667,1.704641121
289,57.33,3.619531737
290,78.64761905,1.999794716
291,74.50714286,2.618189978
292,26.52631579,0.992337279
293,11.93684211,0.366504445
294,2.046315789,0.07726103
295,78.68571429,2.954256596
296,0,0
297,1.657894737,0.079367866
298,40.65,1.960820584
299,76.09285714,2.328028824
300,2.368421053,0.169443725
301,16.10526316,0.462248016
302,18.94736842,0.529927182
303,9.828947368,0.29480686
304,49.77857143,2.184848579
305,71.03571429,2.141104403
306,0,0
307,69.21,3.047941904
308,35.29285714,1.535709529
309,8.289473684,0.394193143
