ID,Name,Pos,Price,Team,xPts GW33-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,33,34,35,36,37,38,xPts if play,33,34,35,36,37,38,Probability to play,33,34,35,36,37,38,xPts,33,34,35,36,37,38,npG,33,34,35,36,37,38
559,Ramsdale,GK,5.1,ARS,31.73988641,31.80969178,23.12582147,,175.6180952,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,7.548877343,3.896213954,3.923888828,7.745489354,4.17519233,4.595571403,,0.999917079,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,7.548251383,3.862378412,3.889812951,7.744847091,4.138934081,4.555662493,,8.15E-04,0.000539632,0.000474702,0.001128255,0.000493228,6.22E-04
143,E Mendy,GK,6.1,CHE,31.99725257,32.21082193,21.87359089,,86.30952381,86.30952381,86.30952381,172.6190476,172.6190476,86.30952381,,3.983589004,4.168620169,4.16803947,8.252413911,7.374385739,4.504858533,,0.973684211,0.973684211,0.973684211,0.999239237,0.999239237,0.973684211,,3.878757714,4.058919638,4.058354221,8.246135784,7.368775583,4.386309625,,0.00E+00,0,0,0,0,0.00E+00
112,Pope,GK,5.4,BUR,29.53751332,29.64353775,21.5624886,,174.8571429,87.42857143,87.42857143,87.42857143,174.8571429,87.42857143,,7.155361513,4.291132099,3.896633168,3.866347125,6.401543924,4.142184779,,0.999809683,0.986842105,0.986842105,0.986842105,0.999809683,0.986842105,,7.153999723,4.234669835,3.845361679,3.815474137,6.400325598,4.087682347,,2.39E-04,1.21E-04,0.000124767,0.000120966,0.000189798,1.33E-04
257,Ederson,GK,6.1,MCI,30.35919124,30.44619919,21.40217834,,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.590950779,4.620395009,4.07227262,8.886863131,4.011804106,4.365752708,,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,4.551081996,4.580270526,4.036908147,8.886126224,3.976964755,4.327839592,,1.06E-03,0.001401887,0.001135834,0.002101749,0.000942844,1.10E-03
200,Schmeichel,GK,4.8,LEI,29.56536595,29.61796874,21.17685277,,175.6180952,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,,6.617721804,3.396447483,2.535707501,7.693897701,6.077688272,3.325993601,,0.999917079,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,,6.617173056,3.366952018,2.513686883,7.693259716,6.077184304,3.297109972,,0.000542198,0.000301076,0.000229026,0.000779209,0.000481027,3.38E-04
231,Alisson,GK,6,LIV,29.29590718,29.42786676,20.51028524,,87.42857143,87.42857143,87.42857143,174.8571429,87.42857143,87.42857143,,3.996226725,4.6720008,4.305909152,7.857573926,4.018723529,4.732832862,,0.986842105,0.986842105,0.986842105,0.999809683,0.986842105,0.986842105,,3.943644794,4.610527105,4.249252453,7.856078493,3.965845588,4.670558745,,0.000928776,0.001070851,0.000848907,0.001665494,0.000862798,9.54E-04
270,de Gea,GK,5.1,MUN,25.38462567,25.51944001,18.99840364,,166.1142857,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,6.960392411,3.412158467,4.037559619,3.87273696,3.580360298,3.778484301,,0.998382302,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,6.949132598,3.367261645,3.984433834,3.821779895,3.533250294,3.728767402,,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00
353,Lloris,GK,5.4,TOT,26.85027172,26.93727967,18.83567446,,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,4.249991114,3.80136932,3.806644885,6.624364537,4.341960932,4.203679787,,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,,4.213083297,3.768357428,3.77358718,6.623815238,4.30425443,4.167174146,,0,0.00E+00,0,0,0,0.00E+00
170,Pickford,GK,4.9,EVE,26.6553566,26.72516197,18.01165894,,87.80904762,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,,3.453125471,2.717730461,3.247371099,6.700995876,7.575330327,3.070441395,,0.991315789,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,,3.423137803,2.694129118,3.219170245,6.700440223,7.574702173,3.043777036,,0.000212797,0.000118113,0.000134923,0.000370652,0.000401136,0.000137609
69,R Sanchez,GK,4.6,BHA,24.32733083,24.41433878,17.98736968,,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,5.925436208,3.814503963,3.873578789,3.472485979,3.581558855,3.821468561,,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,5.924944865,3.781378008,3.839939815,3.442330179,3.550455844,3.788282124,,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00
295,Dubravka,GK,4.4,NEW,23.35423954,23.48619912,17.83966244,,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,7.267736258,3.897411677,2.789433852,2.609925647,3.350964617,3.654655813,,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,7.266353081,3.846129945,2.752730775,2.57558452,3.306872977,3.606568237,,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
146,Guaita,GK,4.6,CRY,24.6783915,25.07654947,17.2987722,,85.19047619,85.19047619,85.19047619,85.19047619,170.3809524,85.19047619,,3.709205923,3.843790829,3.374411261,4.195810705,6.931133254,3.365722303,,0.960526316,0.960526316,0.960526316,0.960526316,0.998289435,0.960526316,,3.5627899,3.692062244,3.241210817,4.030186599,6.919277098,3.232864843,,1.34E-04,1.93E-04,0.000136669,0.000192428,0.000259009,1.47E-04
