ID,Name,Pos,Price,Team,xPts GW14-38,xPts +2 per sub,xPts +2 per sub with 0.84 decay,GW xMins,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
90826,Alisson,GK,6,LIV,131.3392605,131.9189691,32.88158882,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,5.454327763,4.035865989,5.453146972,4.940693052,5.093535713,5.021581677,4.761165022,9.562088939,9.129964507,5.43688868,4.794767092,5.06916225,4.522484658,5.710431637,5.487136462,3.06306857,4.498279765,5.34673007,5.788818499,4.787116962,4.302949903,5.187140407,4.929534124,5.130510276,5.337439081,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,5.382560292,3.982762489,5.381395039,4.875683933,5.026515506,4.955508234,4.698518114,9.560269107,9.128226916,5.365350671,4.731678052,5.002462747,4.462978281,5.635294379,5.414937298,3.022765036,4.439091873,5.276378359,5.712649834,4.724128581,4.246332141,5.11888856,4.864671833,5.063003562,5.267209619
45113,Ederson,GK,6,MCI,126.1080774,126.4905144,31.71946846,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.62769522,5.238958993,4.975177628,4.989711065,5.214426259,3.890623747,4.065435239,9.324526658,7.870210588,4.967074235,5.35623209,5.381533236,4.850565147,4.831242792,4.813649156,3.679485416,4.983673253,4.881034973,4.555989691,4.389011639,5.030838557,5.195723655,4.99654819,4.229634422,4.724625951,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.587507341,5.19346277,4.931972138,4.946379364,5.169143083,3.856836752,4.030130143,9.323753459,7.869557982,4.923939116,5.309717443,5.334798869,4.808441818,4.789287262,4.771846413,3.64753199,4.940393986,4.838647038,4.516424517,4.350896538,4.987149696,5.150602897,4.953157114,4.192903387,4.683596305
140080,Ramsdale,GK,5,ARS,117.8589883,118.438697,29.75764703,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,5.404725849,3.46666935,4.783993056,4.51533972,4.269957635,4.539701214,3.498173071,8.939779615,8.459629515,4.754212658,4.45027862,4.451816968,5.424353274,4.909935338,4.816743261,5.018941393,2.830822514,4.290985115,5.03088028,2.500106386,3.768099653,4.30256592,4.516426213,5.278416274,4.979252047,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,5.333611035,3.421055279,4.721045779,4.455927355,4.213773982,4.479968304,3.452144478,8.938078219,8.4580195,4.691657229,4.391722322,4.393240429,5.352980205,4.845330925,4.75336506,4.95290269,2.793574849,4.234524785,4.964684487,2.46721025,3.718519394,4.24595321,4.456999552,5.208963428,4.913735573
23259,Lloris,GK,5.5,TOT,114.4472917,114.8469312,28.44594252,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,5.331378931,3.209575866,5.059505085,4.602669811,4.724207509,4.653041512,4.042990063,7.445957046,2.893029208,4.494736671,4.563396376,3.824760233,4.829774706,5.445561036,4.924640338,4.896113109,4.566946617,5.465783047,4.352758272,4.085177016,2.889110931,4.865004092,4.498572105,4.798721572,4.921865709,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,5.285080114,3.181703233,5.015567278,4.562699258,4.683181497,4.61263352,4.007879886,7.445339621,2.867905534,4.455703432,4.523766881,3.79154521,4.787831926,5.398270637,4.881873724,4.853594232,4.527286291,5.418317036,4.314958003,4.049700479,2.864021284,4.822755372,4.459505558,4.757048464,4.879123191
23433,Pickford,GK,4.7,EVE,100.3932225,100.792862,25.91766745,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.535333331,4.19197995,4.92767575,4.534088225,1.908168417,4.010822482,4.628186373,7.002549057,3.439834508,2.258182033,4.60971101,4.186793694,4.923599753,4.314807773,2.915522833,3.218591416,3.32544947,4.64215158,4.160090424,4.035803526,4.050633925,3.791867358,2.196605212,4.362047649,5.041441526,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.495947542,4.155575914,4.884882777,4.494713249,1.891597481,3.975991655,4.587994229,7.001968399,3.409962261,2.238571505,4.569679309,4.150434696,4.880842176,4.277337074,2.890203819,3.19064049,3.296570566,4.601838159,4.123963323,4.000755759,4.015457367,3.758937983,2.17752943,4.324166709,4.997660586
24087,Pope,GK,4.8,NEW,113.1564092,113.5560487,28.6992851,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.654827491,4.917525519,3.711715578,4.46778059,5.029644893,3.704651851,5.064862293,8.812789292,4.495594287,5.317186713,3.08440919,4.488156891,2.442255216,4.971465031,5.30960769,4.007775315,4.573938566,4.443716383,3.73571184,4.870664382,5.042209949,3.949026842,4.915497922,4.636024413,3.424188263,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.614403989,4.874820693,3.679482259,4.428981442,4.985966398,3.672479874,5.020877963,8.812058527,4.4565536,5.271011144,3.057623532,4.449180792,2.421046158,4.928291782,5.263497939,3.97297095,4.53421752,4.405126214,3.703270132,4.828366507,4.998422336,3.914732661,4.872810703,4.595764201,3.394451891
88473,Guaita,GK,4.5,CRY,106.9957515,107.5754601,27.37385296,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,4.603533866,3.845822329,4.833492692,4.629327631,4.851983518,3.35857969,3.041485265,7.647246246,7.092197067,4.111164532,4.113331661,2.737099856,4.010314647,2.423953921,3.292360461,4.213253977,4.417552878,4.426433713,4.609877986,4.347734676,4.095924944,3.059623427,5.021288784,4.449941068,4.995153309,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,4.542961052,3.795219404,4.769894104,4.568415426,4.78814163,3.314387852,3.001465722,7.645790842,7.090847298,4.057070261,4.059208876,2.701085384,3.957547349,2.39205979,3.249039929,4.157816424,4.359427182,4.368191164,4.549221697,4.290527641,4.042031195,3.019365224,4.955219195,4.391389212,4.929427608
23173,de Gea,GK,5.1,MUN,115.820888,116.3916493,29.29431695,,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,174.8571429,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.80904762,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,4.298668911,4.229929104,4.699400859,5.219279691,4.575386108,5.241390629,2.58668719,7.791389005,9.306393391,4.672250183,4.4286882,4.550485686,2.590958749,4.830192089,4.050250485,4.08317791,4.825128969,5.081304971,3.533534933,3.265041357,4.46339012,4.069755555,4.781388935,5.094479998,4.853430034,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,0.999809683,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.991315789,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,4.242107478,4.174272142,4.637566637,5.150604958,4.515183659,5.172424963,2.552651832,7.789906168,9.304622222,4.610773207,4.370415987,4.490610874,2.556867186,4.766636929,3.996957715,4.047718734,4.76164043,5.014445695,3.487041052,3.222080287,4.404661303,4.01620614,4.718475923,5.027447367,4.789569113
192208,Raya,GK,4.7,BRE,108.3260683,108.7257078,27.50753355,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.89350295,5.366280638,2.20989633,3.547430665,4.238760761,2.825477854,5.420313169,9.882651775,5.030401497,3.588179636,4.692257158,3.713098794,5.040205936,4.885247757,4.573735116,4.161227298,4.376967531,4.764569656,4.535832947,3.244430732,5.414331439,2.576024634,4.382694987,3.347261465,2.478506763,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.85100674,5.319678727,2.190705125,3.51662403,4.20195047,2.80094081,5.373242028,9.881832296,4.986716432,3.557019128,4.651508609,3.680853463,4.996435727,4.842823237,4.534015838,4.125090324,4.338957024,4.72319313,4.496442819,3.216255413,5.367312245,2.553653893,4.344634741,3.318193142,2.456982889
