ID,Name,Pos,Price,Team,xPts GW19-38,xPts +2 per sub,xPts +2 per sub with 0.84 decay,GW xMins,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
92390,Kepa,GK,5.2,CHE,91.76491673,95.47536608,31.72305805,,165.2333333,79.5952381,119.3928571,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,79.5952381,,7.834096777,5.254456038,4.881717237,5.296379343,4.777949286,5.485359371,3.993243112,5.531949848,4.926852464,5.467638793,5.072438426,5.292387443,4.84057428,4.299425564,5.107334835,4.145842919,5.672613998,5.707950653,2.975849979,4.87249044,,0.996060323,0.894736842,0.93818869,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,,7.803232967,4.701355403,4.5799719,4.738865728,4.275007256,4.907953121,3.572901732,4.949639338,4.408236415,4.892097867,4.538497539,4.735294028,4.331040146,3.846854452,4.569720642,3.709438401,5.075496735,5.107113742,2.662602613,4.35959671
45113,Ederson,GK,5.9,MCI,97.33503208,98.62752541,31.45249415,,87.80904762,149.275381,87.80904762,87.80904762,175.6180952,87.80904762,43.90452381,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.940725401,7.044353025,5.241818284,3.904233247,8.928211857,5.272107725,5.336905048,4.792418573,4.885918428,4.839496991,3.709942082,5.01685803,4.887802976,4.485936204,4.360116022,4.869588218,5.240408279,5.040263535,4.274156408,4.6661544,,0.991315789,0.997125726,0.991315789,0.991315789,0.999917079,0.991315789,0.495657895,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.906503312,7.024105627,5.196297231,3.870328064,8.927471521,5.226323632,2.64527912,4.750800201,4.843488083,4.79746978,3.677724164,4.973290578,4.845356266,4.446979389,4.322251857,4.827299689,5.19489947,4.996492825,4.237038734,4.625632533
140080,Ramsdale,GK,5.1,ARS,93.45473326,93.95325778,30.34625137,,87.80904762,87.80904762,153.6658333,87.80904762,175.6180952,87.80904762,79.02814286,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.47062133,3.539377954,7.832447193,4.891735367,7.499121024,4.434591997,4.454627912,5.364496805,4.683923318,4.863636533,5.075392108,2.87633299,4.321758227,5.047178654,2.554032039,3.833638595,4.226006875,4.439937686,5.155791483,5.039646966,,0.991315789,0.991315789,0.997583818,0.991315789,0.999917079,0.991315789,0.892184211,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.431797514,3.508641251,7.813522575,4.849254508,7.49849919,4.396081066,3.974348687,5.317910386,4.643247142,4.821399689,5.031316334,2.851354309,4.284227169,5.003347892,2.531852287,3.80034647,4.189307342,4.401380332,5.111017504,4.995881611
90826,Alisson,GK,6,LIV,105.6100999,106.0720655,31.29090575,,87.42857143,87.42857143,131.1428571,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,174.8571429,,5.010302859,4.721461721,6.38584102,5.358487674,5.519328103,4.764611881,5.166322347,4.615052505,5.717522854,5.359252864,3.134535218,4.504766904,5.489200657,5.747888668,4.866987009,4.373322421,5.171109711,4.995332288,5.155697819,10.78040356,,0.986842105,0.986842105,0.992891694,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.999809683,,4.944377822,4.659337224,6.340448508,5.287981257,5.446705364,4.701919619,5.098344421,4.55432813,5.64229229,5.288736379,3.093291333,4.445493656,5.416974333,5.672258554,4.802947706,4.315778705,5.103068794,4.929604232,5.08785969,10.77835186
23259,Lloris,GK,5.3,TOT,90.25277391,90.57115404,27.79445174,,87.80904762,149.275381,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.673655273,5.759776733,4.694071839,2.914727759,4.464876056,4.564028261,3.860470746,4.869307752,5.309245066,4.91032142,4.902905412,4.462845018,5.378419169,4.245511719,4.108725773,2.903291417,4.884205625,4.451471376,4.695669584,4.956130994,,0.991315789,0.997125726,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.633068267,5.743221558,4.653307531,2.889415649,4.426102132,4.524393279,3.826945605,4.827021659,5.263138464,4.867679155,4.860327549,4.424088732,5.331711844,4.208642801,4.073044734,2.878078623,4.841790155,4.412813861,4.654891401,4.913090909
192988,R Sanchez,GK,5.1,BHA,88.9551695,89.85294886,27.30229817,,87.80904762,87.80904762,140.4944762,87.80904762,87.80904762,87.80904762,61.46633333,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,,4.643975591,2.987706366,6.960990014,5.147697379,4.41386623,4.639417998,3.983908034,4.329067325,4.697029012,3.872782754,4.462040392,3.297037451,3.295646052,2.674990518,4.906409107,4.82446023,4.840168254,3.456627551,4.825992629,8.561086238,,0.991315789,0.991315789,0.996219558,0.991315789,0.991315789,0.991315789,0.693921053,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,,4.603646329,2.961760495,6.934674393,5.102993691,4.375535286,4.599128315,2.764517656,4.291472793,4.656239023,3.839150693,4.423291094,3.268405284,3.267025968,2.651760337,4.863800817,4.782563602,4.798135214,3.426609469,4.784082693,8.560376344
131313,E Martinez,GK,4.6,AVL,89.85658164,90.16937906,27.22118274,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,,4.966260163,5.033040897,4.8781993,4.56537181,2.376715813,3.820145808,4.843999345,4.767025804,4.236950459,5.315015584,3.385476798,5.244141837,4.350217248,4.423447542,4.782767192,3.754369377,4.796402784,3.67507735,2.710814611,8.643316393,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,,4.923132114,4.98933291,4.83583599,4.52572516,2.356075912,3.786970858,4.801933035,4.725627948,4.200155889,5.268858869,3.356076605,5.198600605,4.312439046,4.385033392,4.741232635,3.721765643,4.754749813,3.643162205,2.687273326,8.642599681
176642,Meslier,GK,4.5,LEE,84.88838902,85.1913789,26.71042366,,87.80904762,140.4944762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,,4.080450048,6.08027985,4.288271782,4.922075179,3.596336266,4.625223098,4.736819426,2.979429038,3.920876383,4.555061966,3.221741969,4.423880871,2.504204051,4.393679878,4.251176995,4.990756708,1.905481016,3.960353753,3.947702286,8.147464984,,0.991315789,0.996219558,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,,4.045014561,6.057293704,4.251031527,4.879330842,3.565104924,4.585056687,4.695683889,2.953555049,3.886826667,4.515504849,3.193763683,4.385462959,2.482457016,4.355524237,4.214258879,4.947415926,1.888933417,3.925961207,3.913419608,8.146789389
192208,Raya,GK,4.8,BRE,89.62638836,90.93050157,27.0310513,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,43.90452381,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,,2.965821739,5.528226001,5.327889626,5.233493639,3.706450751,4.878656934,3.95531392,4.964601607,5.132881564,4.744491529,4.219397653,4.424932449,5.053415443,4.658743442,3.448309419,5.461151388,2.735539017,4.56150761,3.541793906,7.779084233,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.495657895,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,,2.940065919,5.480217722,5.281621111,5.188044878,3.674263152,4.83628965,1.960482571,4.921487962,5.08830654,4.703289366,4.182755515,4.386505404,5.009530519,4.618285933,3.418363574,5.4137256,2.71178302,4.521894518,3.511036222,7.778439183
