ID,Name,Pos,Price,Team,xPts GW22-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
90826,Alisson,GK,6,LIV,87.25121362,88.37858412,35.27016312,,87.42857143,87.42857143,87.42857143,87.42857143,148.6285714,87.42857143,103.1657143,87.42857143,87.42857143,87.42857143,69.94285714,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,5.345701584,5.571701075,4.698586068,5.164171198,8.319309089,5.800519423,6.857017087,3.073841737,4.44001522,5.47905819,5.617034654,4.90280661,4.366997468,5.205958488,5.070070159,5.217597584,5.47710671,,0.986842105,0.986842105,0.986842105,0.986842105,0.995601351,0.986842105,0.82229235,0.986842105,0.986842105,0.986842105,0.789473684,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,5.275363405,5.498389218,4.636762567,5.096221577,8.282715365,5.724196799,5.638472693,3.033396451,4.381593967,5.406965319,4.434501042,4.838295996,4.309536975,5.137459034,5.00335871,5.148944985,5.405039517
140080,Ramsdale,GK,5.1,ARS,80.29898932,81.12661935,33.97753687,,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,131.7135714,87.80904762,87.80904762,87.80904762,62.34442381,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,5.015910774,7.606573725,4.572049749,4.594162825,5.481557635,4.796333007,7.467540155,5.128257428,2.965538648,4.419577829,5.140286131,2.563227419,3.87717011,4.218673513,4.429044427,5.048658532,5.072325986,,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.995328433,0.991315789,0.991315789,0.991315789,0.703834211,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.972351548,7.605942981,4.532345106,4.554266147,5.433954634,4.754680641,7.432655041,5.083722561,2.939785286,4.381197284,3.617909231,2.540967812,3.843499948,4.182037664,4.390581673,5.004814919,5.028276839
45113,Ederson,GK,5.9,MCI,77.8258285,80.42602593,33.18705825,,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,35.12361905,87.80904762,87.80904762,87.80904762,36.8798,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,3.871605787,8.862980823,5.08872409,5.354390635,4.709183778,4.853042481,4.830269137,3.711722798,5.000328913,4.904583503,4.393522863,4.278816213,4.855637691,5.205635185,5.049391998,4.239840278,4.667432756,,0.991315789,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.396526316,0.991315789,0.991315789,0.991315789,0.416352632,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,3.837983947,8.862245896,5.044532539,5.30789198,4.668288235,4.810897638,1.915328825,3.679489415,4.956905004,4.861991068,1.829254806,4.241658072,4.813470311,5.160428354,5.005542015,4.203020613,4.626899788
92390,Kepa,GK,5.2,CHE,77.88809388,80.20287494,32.12507492,,87.80904762,87.80904762,84.07142857,84.07142857,84.07142857,84.07142857,126.1071429,84.07142857,84.07142857,84.07142857,46.23928571,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,84.07142857,,5.235688634,4.712516055,5.414112923,3.909584393,5.409738408,4.883727422,7.051776046,5.057448324,5.168260427,4.704668876,4.145282426,5.050372035,3.996220353,5.632673944,5.467724159,2.868325244,4.738769307,,0.991315789,0.991315789,0.947368421,0.947368421,0.947368421,0.947368421,0.970504204,0.947368421,0.947368421,0.947368421,0.521052632,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,,5.190220812,4.671591573,5.129159611,3.703816793,5.125015334,4.626689136,6.843778297,4.791266833,4.89624672,4.457054725,2.159910317,4.784562981,3.785892966,5.33621742,5.179949204,2.717360758,4.489360396
176642,Meslier,GK,4.5,LEE,67.69656264,69.00577175,30.00496094,,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,101.8584952,87.80904762,87.80904762,87.80904762,57.07588095,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,7.965375306,3.524727468,4.645356889,4.743543266,2.960720278,3.840190058,6.504817772,3.127754174,4.403774383,2.546984306,4.405863053,4.301529286,5.027135028,1.867535373,3.880423183,3.950501774,3.229705745,,0.999917079,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.814017837,0.991315789,0.991315789,0.991315789,0.644355263,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,7.964714809,3.494117992,4.605015632,4.702349338,2.93500876,3.806841039,5.295037696,3.100592098,4.365531079,2.524865758,2.838941047,4.2641739,4.983478329,1.851317303,3.846724771,3.916194785,3.201658301
192988,R Sanchez,GK,5.1,BHA,75.89507334,80.38960094,31.04638807,,87.80904762,87.80904762,87.80904762,0,175.6180952,149.275381,37.75789048,87.80904762,87.80904762,87.80904762,36.8798,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,,5.213884244,4.42376454,4.685434324,0.001132,8.236799753,7.901289405,3.839951853,4.516041168,3.318675347,3.314253532,2.669664361,4.73588077,4.813924198,4.902232582,3.414165321,4.864894344,9.248238568,,0.991315789,0.991315789,0.991315789,0,0.999917079,0.997125726,0.426265789,0.991315789,0.991315789,0.991315789,0.416352632,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.999917079,,5.168605776,4.385347637,4.644745026,0,8.23611675,7.878578937,1.636840108,4.476822916,3.289855271,3.285471857,1.111521782,4.694753384,4.772119067,4.859660562,3.384515991,4.822646577,9.247471696
23173,de Gea,GK,5.3,MUN,70.90349022,75.16212562,31.53158579,,175.6180952,87.80904762,87.80904762,0,87.80904762,87.80904762,37.75789048,126.4450286,87.80904762,87.80904762,48.29497619,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,9.373879485,4.688737583,4.463871722,0.001399,2.626554126,4.846423084,3.85681661,5.848109736,4.882843273,4.734803738,3.550074811,3.266816393,4.479218337,4.097071288,4.788418552,5.065423925,4.649581107,,0.999917079,0.991315789,0.991315789,0,0.991315789,0.991315789,0.426265789,0.994802063,0.991315789,0.991315789,0.545223684,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,9.373102194,4.648019599,4.42510652,0,2.603744577,4.804335726,1.644028977,5.817711632,4.840439634,4.693685705,1.935584868,3.238446672,4.440319862,4.061491459,4.746834917,5.021434717,4.609203165
24087,Pope,GK,5.3,NEW,71.59667209,74.56554423,29.03549905,,87.80904762,87.80904762,87.80904762,0,175.6180952,87.80904762,131.7135714,87.80904762,87.80904762,87.80904762,55.3197,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.43695293,5.140212935,3.093094132,0.001429,6.549857611,4.885206828,6.890186687,3.897192942,4.360847089,4.353427488,3.682320262,4.793807715,4.938330074,3.767556579,4.767275142,4.568109907,3.377238825,,0.991315789,0.991315789,0.991315789,0,0.999917079,0.991315789,0.995328433,0.991315789,0.991315789,0.991315789,0.624528947,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.398421497,5.095574244,3.066233051,0,6.54931449,4.842782663,6.857998718,3.863348898,4.322976575,4.315621407,2.299715597,4.75217728,4.895444576,3.734838324,4.725875122,4.528439479,3.347910172
131313,E Martinez,GK,4.6,AVL,72.07849975,72.3483692,27.90687806,,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,131.7135714,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,4.595094436,2.285176972,3.7158779,4.86582096,4.725359156,4.228996709,7.532738297,3.3323999,5.036751319,4.242753219,4.415996656,4.783100812,3.652533317,4.73189688,3.631029822,2.696127961,4.207782775,,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.995328433,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,4.555189668,2.265332014,3.683608435,4.823565147,4.684323142,4.192271211,7.497548605,3.303460637,4.99301111,4.205908257,4.377647212,4.741563358,3.620813949,4.690804091,3.599497195,2.672714218,4.171241504
